timestamp,x,y,z,w
152168708798,-0.106262,-0.689819,-0.0801392,0.71167
152168730128,-0.105835,-0.689697,-0.0802002,0.711792
152168745145,-0.105469,-0.689575,-0.0802002,0.711975
152168768825,-0.105286,-0.689453,-0.0802002,0.712158
152168790217,-0.105164,-0.689209,-0.0802612,0.712402
152168805220,-0.105103,-0.689026,-0.0803223,0.712585
152168844464,-0.105103,-0.688782,-0.0803833,0.71283
152168852123,-0.105042,-0.688538,-0.0805664,0.713013
152168865128,-0.104919,-0.688354,-0.0807495,0.713196
152168889484,-0.104919,-0.688171,-0.0809326,0.713379
152168910854,-0.10498,-0.687927,-0.0811157,0.713562
152168925224,-0.105103,-0.687683,-0.0812988,0.713745
152168963160,-0.105225,-0.687439,-0.081543,0.713928
152168971948,-0.105347,-0.687195,-0.0817261,0.714111
152168986370,-0.105347,-0.687195,-0.0817261,0.714172
152169007490,-0.10498,-0.687012,-0.0820312,0.714294
152169038107,-0.10498,-0.687012,-0.0820312,0.714294
152169046393,-0.10498,-0.687012,-0.0820312,0.714294
152169067505,-0.104919,-0.687012,-0.0820923,0.714355
152169090654,-0.104919,-0.687012,-0.0820923,0.714355
152169106421,-0.104919,-0.687012,-0.0820923,0.714355
152169127474,-0.104919,-0.687012,-0.0820923,0.714355
152169150651,-0.104919,-0.687012,-0.0820923,0.714355
152169166431,-0.104919,-0.687012,-0.0820923,0.714355
152169187500,-0.104858,-0.687012,-0.0821533,0.714355
152169210676,-0.104858,-0.687012,-0.0821533,0.714355
152169226419,-0.104858,-0.687012,-0.0821533,0.714355
152169255637,-0.104858,-0.686951,-0.0821533,0.714355
152169270688,-0.104797,-0.686951,-0.0821533,0.714355
152169286432,-0.104797,-0.68689,-0.0820923,0.714478
152169307492,-0.104858,-0.686829,-0.0819092,0.714539
152169330638,-0.104919,-0.686768,-0.0817261,0.7146
152169346431,-0.105042,-0.686584,-0.081543,0.714783
152169367488,-0.105103,-0.686462,-0.0814209,0.714905
152169390599,-0.105286,-0.68634,-0.0812378,0.715027
152169406384,-0.105469,-0.686218,-0.0810547,0.715149
152169427449,-0.105713,-0.686035,-0.0808105,0.715271
152169449942,-0.106018,-0.685852,-0.0805054,0.715454
152169466434,-0.106445,-0.685669,-0.0800781,0.715637
152169487485,-0.106873,-0.685425,-0.0794678,0.715881
152169510025,-0.107422,-0.685242,-0.0787964,0.716064
152169526421,-0.107971,-0.684937,-0.0780029,0.716309
152169547472,-0.108643,-0.68457,-0.0772705,0.716675
152169569974,-0.109375,-0.684265,-0.0764771,0.716919
152169586386,-0.110107,-0.683899,-0.0756226,0.717224
152169607615,-0.110779,-0.683594,-0.0748291,0.717529
152169630014,-0.111206,-0.683228,-0.0741577,0.717834
152169646510,-0.111816,-0.683105,-0.0736694,0.717957
152169667476,-0.112244,-0.683044,-0.0733643,0.717957
152169689957,-0.112549,-0.683044,-0.0730591,0.717957
152169706401,-0.11261,-0.683105,-0.0727539,0.717896
152169727467,-0.112793,-0.683167,-0.0725708,0.717834
152169750006,-0.112915,-0.683167,-0.0722656,0.717834
152169766440,-0.112976,-0.683289,-0.0718994,0.717773
152169789576,-0.11322,-0.68335,-0.0715942,0.717712
152169809980,-0.113342,-0.683411,-0.071228,0.717651
152169826430,-0.113586,-0.683533,-0.0709229,0.717529
152169848887,-0.113708,-0.683655,-0.0704956,0.717407
152169869983,-0.113892,-0.683838,-0.0700684,0.717285
152169886412,-0.114014,-0.683838,-0.0697632,0.717285
152169908924,-0.114197,-0.68396,-0.0697021,0.717163
152169930017,-0.11438,-0.684143,-0.0697021,0.71698
152169946420,-0.114441,-0.684265,-0.0698242,0.716797
152169968950,-0.114441,-0.684448,-0.0698853,0.716614
152169990007,-0.114197,-0.684692,-0.0700073,0.71637
152170006425,-0.114014,-0.684998,-0.0700073,0.716187
152170028918,-0.113831,-0.685242,-0.0701904,0.715942
152170049933,-0.113708,-0.685425,-0.0702515,0.715759
152170066503,-0.113525,-0.685608,-0.0703125,0.715576
152170088952,-0.113586,-0.685791,-0.0703125,0.715393
152170110042,-0.113525,-0.685974,-0.0703735,0.715271
152170126458,-0.113464,-0.686096,-0.0703735,0.71521
152170148988,-0.113342,-0.686218,-0.0703125,0.715027
152170170185,-0.113281,-0.68634,-0.0701904,0.714966
152170186436,-0.113281,-0.68634,-0.0701904,0.714966
152170208947,-0.113342,-0.686462,-0.0700073,0.714844
152170230079,-0.113342,-0.686584,-0.0698242,0.714722
