timestamp,x,y,z
61902606070,0.927246,-0.174805,0.292969
61902637873,0.925293,-0.174805,0.27832
61902638647,0.911621,-0.169434,0.272949
61902651725,0.923828,-0.169434,0.292969
61902674298,0.927734,-0.180176,0.291016
61902696788,0.914551,-0.191895,0.302734
61902711724,0.914551,-0.18457,0.289062
61902734277,0.915527,-0.168457,0.286133
61902756734,0.913574,-0.17041,0.285156
61902771096,0.920898,-0.181152,0.298828
61902794784,0.928711,-0.185059,0.300781
61902824924,0.925293,-0.189453,0.293945
61902839221,0.919434,-0.181152,0.289062
61902855675,0.913086,-0.17334,0.296387
61902884886,0.919434,-0.187988,0.300293
61902891115,0.919922,-0.196289,0.302246
61902947073,0.914551,-0.189941,0.297852
61902959087,0.915527,-0.172363,0.294922
61902970338,0.913574,-0.171875,0.293945
61902975767,0.925293,-0.182617,0.299805
61902996750,0.918457,-0.189453,0.291016
61903011131,0.913086,-0.195801,0.297363
61903034288,0.928711,-0.178711,0.298828
61903056774,0.927246,-0.169922,0.29541
61903071077,0.919922,-0.17334,0.293945
61903094246,0.912109,-0.181152,0.30127
61903116904,0.919922,-0.186523,0.307129
61903131093,0.933594,-0.184082,0.31543
61903154303,0.929199,-0.180664,0.32373
61903178214,0.905762,-0.17627,0.315918
61903191081,0.912598,-0.169434,0.306641
61903215656,0.904785,-0.18457,0.305176
61903236779,0.908203,-0.187012,0.302246
61903251074,0.909668,-0.187012,0.296387
61903274279,0.910645,-0.178711,0.302246
61903296764,0.914551,-0.176758,0.308594
61903311128,0.911133,-0.172363,0.312988
61903334247,0.908203,-0.179688,0.305176
61903356801,0.910645,-0.171875,0.302246
61903372501,0.917969,-0.176758,0.299805
61903394325,0.915527,-0.174805,0.302734
61903416773,0.911133,-0.177246,0.287598
61903432519,0.916504,-0.17041,0.293945
61903454272,0.924316,-0.173828,0.304199
61903476806,0.925293,-0.177734,0.302734
61903492589,0.92334,-0.173828,0.297363
61903522838,0.916504,-0.174805,0.29541
61903536768,0.92627,-0.177246,0.303711
61903552542,0.92334,-0.181152,0.308105
61903574241,0.921875,-0.183105,0.307617
61903596821,0.916992,-0.175781,0.304688
61903612574,0.915039,-0.179688,0.313965
61903635751,0.911133,-0.178223,0.32959
61903656807,0.900879,-0.174316,0.337402
61903672520,0.901367,-0.179199,0.341797
61903695075,0.907715,-0.174805,0.330566
61903716806,0.899902,-0.16748,0.328613
61903732502,0.900391,-0.169434,0.333496
61903755083,0.895508,-0.187988,0.34082
61903778187,0.900879,-0.196777,0.341797
61903792579,0.905273,-0.191406,0.32959
61903815057,0.905762,-0.180176,0.323242
61903838219,0.900879,-0.182129,0.335449
61903852574,0.890137,-0.210938,0.354004
61903875129,0.868164,-0.222168,0.374023
61903898238,0.861816,-0.219727,0.393066
61903912608,0.867676,-0.217285,0.410156
61903935048,0.882324,-0.202148,0.414062
61903958221,0.899902,-0.209961,0.42627
61903972566,0.890625,-0.205078,0.429688
