timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
605067114773,8,41,25,49,1,31,12,11
605067114773,4,7,4,77,2,25,2,5
605067115520,-10,-35,-21,-90,-6,-43,-13,-13
605067115520,-2,10,6,-23,-4,0,-2,1
605067116322,1,2,-1,49,2,20,3,1
605067116322,-6,-35,-19,-44,-2,-38,-7,-12
605067117130,-3,9,4,-17,-3,0,-4,2
605067117130,5,17,9,33,1,26,12,3
605067128505,-4,-17,-8,31,2,-7,-7,-8
605067128505,-3,2,0,-47,-6,-14,-11,-1
605067136422,5,26,16,39,2,25,7,9
605067136422,-1,-5,-5,27,-1,4,-3,2
605067142780,-8,-22,-12,-66,-5,-31,-3,-6
605067142780,0,11,6,4,2,11,4,2
605067157791,4,4,4,46,0,13,3,-1
605067157791,-6,-22,-12,-24,-2,-21,-11,-8
605067167179,-2,-3,0,-48,-5,-10,-6,-1
605067167179,2,16,9,42,0,14,7,2
605067172767,-2,-11,-14,-40,2,1,-8,-2
605067172767,-1,-1,4,15,1,-14,-1,-2
605067196713,1,6,5,36,-3,7,5,2
605067196713,-1,1,-1,-7,-3,6,2,-1
605067198306,-3,-6,-4,-4,0,-8,-3,-2
605067198306,0,5,0,-18,-3,4,6,2
605067243555,-7,-14,-8,-74,-5,-34,-17,-5
605067243555,8,36,23,0,-3,31,14,10
605067244375,2,6,4,88,2,20,6,3
605067244375,-7,-24,-13,-89,-4,-38,-11,-10
605067245172,2,13,7,14,-1,4,2,4
605067245172,1,-5,-6,48,3,11,4,1
605067248293,-9,-34,-18,-50,-4,-33,-12,-11
605067248293,-1,1,-2,-38,-3,-3,0,1
605067255108,3,16,8,44,2,29,6,4
605067255108,-6,-24,-12,-1,1,-17,-3,-8
605067262589,-2,3,2,-41,-4,-14,-6,0
605067262589,4,24,11,46,1,23,7,7
605067272244,0,-3,0,19,-3,7,5,0
605067272244,-8,-15,-9,-40,-2,-26,-13,-5
605067285837,1,13,7,-12,0,5,4,-1
