timestamp,roll,pitch,yaw
610101410931,-0.122293,-0.0656804,1.73068
610101433555,-0.120189,-0.0652958,1.73101
610101457207,-0.120246,-0.0648572,1.73114
610101472216,-0.12194,-0.06438,1.73108
610101493614,-0.123222,-0.0640024,1.73137
610101517213,-0.122798,-0.0639115,1.73189
610101563061,-0.121549,-0.0642393,1.73254
610101565043,-0.120182,-0.0643185,1.73298
610101577281,-0.119395,-0.0641103,1.73324
610101595024,-0.119989,-0.0637765,1.73365
610101615041,-0.120814,-0.0631738,1.73387
610101637217,-0.120702,-0.0627307,1.73419
610101681019,-0.119651,-0.0624397,1.73463
610101691015,-0.118429,-0.062171,1.73504
610101697353,-0.117805,-0.0617683,1.73549
610101712291,-0.117079,-0.0612885,1.73576
610101734977,-0.116338,-0.0606369,1.73601
610101756037,-0.115374,-0.0602533,1.73662
610101772457,-0.114496,-0.059951,1.73707
610101794788,-0.113977,-0.0597853,1.73759
610101815957,-0.113384,-0.0597283,1.73808
610101832320,-0.113032,-0.0595583,1.73842
610101877320,-0.113111,-0.0594652,1.73842
610101884034,-0.113279,-0.0592528,1.7388
610101892349,-0.113219,-0.0593256,1.73935
610101922993,-0.113298,-0.0592325,1.73935
610101945470,-0.113976,-0.0599319,1.73968
610101966598,-0.114092,-0.0599655,1.74046
610101974809,-0.113896,-0.0603795,1.74122
610101997305,-0.114702,-0.0615087,1.74159
610102012286,-0.11494,-0.0591226,1.74197
610102034904,-0.114883,-0.0574723,1.74201
610102057849,-0.114472,-0.0573754,1.7429
610102072334,-0.113939,-0.0570471,1.74338
610102094980,-0.112933,-0.0563257,1.7438
610102117415,-0.112081,-0.0561809,1.74465
610102132439,-0.111631,-0.0566967,1.74542
610102154278,-0.111109,-0.0575039,1.74582
610102176662,-0.110101,-0.057754,1.74611
610102191644,-0.109059,-0.0576532,1.74639
610102214080,-0.107991,-0.0572,1.74683
610102236669,-0.106358,-0.0562836,1.74716
610102251752,-0.103755,-0.0551838,1.7476
610102274258,-0.0993222,-0.0539842,1.74807
610102296317,-0.0933633,-0.0521397,1.74873
610102311512,-0.0878375,-0.0503426,1.74931
610102334074,-0.0843054,-0.0494077,1.75011
610102356526,-0.0819201,-0.048826,1.75046
610102371530,-0.0794792,-0.0486958,1.75047
610102394047,-0.0774938,-0.0487853,1.75052
610102415926,-0.0767928,-0.0486685,1.75066
610102440487,-0.0762482,-0.0483644,1.75079
610102455487,-0.0750141,-0.0481219,1.75089
610102475921,-0.0733577,-0.0480095,1.75095
610102490905,-0.072445,-0.0485299,1.75074
610102513377,-0.0718709,-0.0496001,1.75152
610102536529,-0.0713122,-0.0500731,1.75172
610102551546,-0.071303,-0.0500899,1.75133
610102574073,-0.071118,-0.0470662,1.7515
610102596533,-0.0713364,-0.0466132,1.75148
610102611534,-0.0716114,-0.0466592,1.75189
610102634121,-0.0704096,-0.0467618,1.75202
610102656780,-0.067979,-0.0466234,1.75241
610102671084,-0.0660165,-0.0459184,1.75283
610102693528,-0.0648256,-0.045053,1.75346
610102716682,-0.0637241,-0.0442716,1.75392
610102731134,-0.0620281,-0.0436364,1.75434
610102753593,-0.0605482,-0.0435023,1.75464
610102776817,-0.0597573,-0.0433057,1.75496
610102791126,-0.0601718,-0.0429987,1.75534
610102813467,-0.0603437,-0.0429783,1.75537
610102836591,-0.0600772,-0.0429161,1.75535
610102850929,-0.0590938,-0.0425729,1.75545
610102873414,-0.0583603,-0.0421157,1.75558
610102896578,-0.0584837,-0.041584,1.75556
610102910955,-0.0581728,-0.0410056,1.75569
610102933364,-0.0577994,-0.0406845,1.75586
610102956604,-0.0575986,-0.0403519,1.75602
610102970916,-0.0572295,-0.0400306,1.75636
610103009090,-0.0571064,-0.0396041,1.75652
610103025493,-0.0567131,-0.0391202,1.75648
610103040510,-0.0562784,-0.0390695,1.75664
610103054900,-0.0562947,-0.0392414,1.75665
610103078039,-0.0560602,-0.0402913,1.75726
610103093891,-0.0560352,-0.0408924,1.75749
610103113426,-0.056896,-0.0408123,1.75753
610103136605,-0.0568951,-0.0388961,1.75781
610103159119,-0.0572319,-0.0379193,1.75757
610103173446,-0.0573945,-0.037718,1.75796
610103196577,-0.057233,-0.037716,1.75854
610103210956,-0.0563963,-0.0379593,1.75889
610103233422,-0.0550677,-0.0376461,1.759
610103255951,-0.0538044,-0.0370668,1.75927
610103270951,-0.0532456,-0.0365911,1.7596
610103293402,-0.0531513,-0.0365132,1.75959
610103315955,-0.052905,-0.0366192,1.75978
610103330943,-0.0525361,-0.0372532,1.75999
610103353454,-0.0530856,-0.0375483,1.76003
610103375960,-0.0541956,-0.0373529,1.76009
610103390976,-0.0549654,-0.0371895,1.7603
610103413436,-0.0553295,-0.0373203,1.76053
610103435947,-0.0553295,-0.0373203,1.76053
610103450964,-0.0553092,-0.0379212,1.76094
610103473473,-0.0552557,-0.0381783,1.76132
610103495936,-0.0548817,-0.0378628,1.76148
610103510929,-0.0540392,-0.0371542,1.76178
610103533429,-0.0530581,-0.0368061,1.7621
610103571597,-0.0527007,-0.0366628,1.76226
610103588003,-0.0527007,-0.0366628,1.76226
610103603029,-0.0532469,-0.0369616,1.76211
610103617336,-0.053885,-0.0363803,1.76212
610103640544,-0.0543734,-0.0361684,1.76158
610103655515,-0.0543369,-0.035833,1.76136
610103675915,-0.0532076,-0.0348956,1.76146
610103690972,-0.0528752,-0.0368352,1.76153
610103713431,-0.0527388,-0.0381531,1.76139
610103735943,-0.0530165,-0.0382018,1.76197
610103751001,-0.0531886,-0.0381854,1.76198
610103773459,-0.0528276,-0.0380463,1.76196
610103795986,-0.0528276,-0.0380463,1.76196
610103810942,-0.0528276,-0.0380463,1.76196
610103833422,-0.0529053,-0.0379521,1.76196
610103864751,-0.0524835,-0.0380791,1.76194
610103870939,-0.0517616,-0.0378009,1.7619
610103893452,-0.0518393,-0.0377068,1.7619
610103915963,-0.0518393,-0.0377068,1.7619
610103930953,-0.0521188,-0.0379442,1.76173
610103953489,-0.0521691,-0.0384598,1.76176
610103975942,-0.052556,-0.0389511,1.76142
610103990916,-0.0530981,-0.0392543,1.76108
610104013420,-0.0537217,-0.0394593,1.76093
610104035948,-0.0537217,-0.0394593,1.76093
610104050965,-0.0537217,-0.0394593,1.76093
610104073428,-0.0537217,-0.0394593,1.76093
610104095950,-0.0538938,-0.039443,1.76094
610104128053,-0.0538938,-0.039443,1.76094
610104149069,-0.0538938,-0.039443,1.76094
610104165515,-0.054001,-0.039697,1.76077
610104180498,-0.05394,-0.039963,1.76078
610104201601,-0.0539141,-0.0388459,1.76052
610104218089,-0.0543323,-0.0387237,1.76035
610104232394,-0.0546877,-0.0379095,1.76032
610104253458,-0.054915,-0.0393584,1.76042
610104275948,-0.0545814,-0.0405336,1.75988
610104292347,-0.0545203,-0.0407995,1.75989
610104313465,-0.0550657,-0.0410949,1.75976
610104335997,-0.0555948,-0.0412227,1.7596
610104352388,-0.0555948,-0.0412227,1.7596
610104373427,-0.0556891,-0.0413005,1.75961
610104395913,-0.0556891,-0.0413005,1.75961
610104412376,-0.0556891,-0.0413005,1.75961
610104433462,-0.0558613,-0.0412843,1.75962
610104455989,-0.0558613,-0.0412843,1.75962
610104472431,-0.0558613,-0.0412843,1.75962
610104493490,-0.0558613,-0.0412843,1.75962
610104515979,-0.0559556,-0.0413622,1.75963
610104532406,-0.0559556,-0.0413622,1.75963
610104554894,-0.055939,-0.0411903,1.75962
610104576016,-0.0560334,-0.0412681,1.75962
610104592367,-0.0560334,-0.0412681,1.75962
610104613483,-0.0561278,-0.041346,1.75963
610104635931,-0.0561278,-0.041346,1.75963
610104652372,-0.0561278,-0.041346,1.75963
610104690520,-0.0561278,-0.041346,1.75963
610104711629,-0.0557709,-0.041202,1.7598
610104728070,-0.055414,-0.0410581,1.75996
610104743071,-0.0550699,-0.0410947,1.75993
610104758051,-0.0550983,-0.0412492,1.76052
610104779132,-0.0553117,-0.0415637,1.76094
610104793442,-0.0552655,-0.0410436,1.7611
610104815988,-0.0546815,-0.0421359,1.76131
610104832346,-0.0546625,-0.0429264,1.76097
610104853503,-0.0553678,-0.0430331,1.76101
610104875973,-0.0554455,-0.042939,1.76101
610104892380,-0.0551829,-0.0428688,1.7612
610104913424,-0.0551829,-0.0428688,1.7612
610104935935,-0.0553551,-0.0428525,1.76121
610104952418,-0.0553551,-0.0428525,1.76121
610104973422,-0.0550801,-0.0426146,1.76154
610104995962,-0.0546286,-0.042389,1.76171
610105012397,-0.0545214,-0.042135,1.76189
610105033458,-0.0545214,-0.042135,1.76189
610105055969,-0.0545991,-0.0420409,1.76188
610105072452,-0.0545991,-0.0420409,1.76188
610105096354,-0.0545127,-0.0419545,1.76225
610105115987,-0.0536185,-0.0416927,1.7622
610105132418,-0.0528797,-0.0412427,1.76214
610105153487,-0.0527852,-0.041165,1.76213
610105175972,-0.0535423,-0.0408248,1.76253
610105192421,-0.05362,-0.0407306,1.76253
610105214963,-0.05303,-0.0408699,1.7627
610105253846,-0.0529355,-0.0407922,1.76269
610105254595,-0.054131,-0.0404923,1.76312
610105289294,-0.0546421,-0.0402579,1.7637
610105305544,-0.0531884,-0.0395223,1.76398
610105320516,-0.05122,-0.0405683,1.7645
610105334921,-0.0500824,-0.0411805,1.76525
610105355969,-0.0514891,-0.040433,1.76546
610105372396,-0.0516779,-0.0396224,1.76583
610105402410,-0.051376,-0.0409492,1.7659
610105415954,-0.0503831,-0.0406196,1.76563
610105432363,-0.0506957,-0.0410081,1.76624
610105454919,-0.0518901,-0.0414842,1.76707
610105476141,-0.0515243,-0.0421196,1.76729
610105492559,-0.0502852,-0.0426678,1.76764
610105514982,-0.0502852,-0.0426678,1.76764
610105536067,-0.0513043,-0.0423865,1.76788
610105552461,-0.0514763,-0.0423696,1.76789
610105575029,-0.050839,-0.0419911,1.76822
610105596084,-0.0497935,-0.041917,1.76835
610105612442,-0.0495268,-0.0418565,1.76834
610105634938,-0.0495095,-0.0416846,1.76833
610105656139,-0.0499429,-0.0415445,1.76891
610105672435,-0.049887,-0.0418029,1.76913
610105694945,-0.0494871,-0.0420993,1.76931
610105716196,-0.0492244,-0.042035,1.76948
610105732411,-0.0492244,-0.042035,1.76948
610105754905,-0.0493191,-0.0421124,1.76949
610105775923,-0.0484242,-0.041854,1.76944
610105823728,-0.0474386,-0.0415144,1.76957
610105824565,-0.0473439,-0.041437,1.76956
610105844919,-0.0474386,-0.0415144,1.76957
610105868088,-0.047456,-0.0416863,1.76958
610105883111,-0.0471275,-0.0409312,1.76991
610105898044,-0.0469633,-0.0409409,1.77028
610105911819,-0.0467254,-0.040267,1.77043
610105934095,-0.046722,-0.0410452,1.77065
610105956890,-0.0466686,-0.042265,1.77053
610105973096,-0.046921,-0.0413791,1.77029
610105994288,-0.0466408,-0.0411433,1.77046
610106016658,-0.046718,-0.0410488,1.77046
610106031778,-0.046718,-0.0410488,1.77046
610106054224,-0.0468128,-0.0411262,1.77047
610106076782,-0.0465883,-0.0406278,1.77044
610106091788,-0.0465883,-0.0406278,1.77044
610106114333,-0.0466656,-0.0405333,1.77044
610106136844,-0.0466656,-0.0405333,1.77044
610106153127,-0.0467428,-0.0404389,1.77043
610106174319,-0.0468376,-0.0405162,1.77044
610106196689,-0.0468376,-0.0405162,1.77044
610106213063,-0.046652,-0.0403578,1.77062
610106234151,-0.0461996,-0.0401394,1.77078
610106256655,-0.0461996,-0.0401394,1.77078
610106273103,-0.0466703,-0.0387906,1.77074
610106294115,-0.0467475,-0.0386961,1.77074
610106316631,-0.0463902,-0.0393257,1.77133
610106333070,-0.0465942,-0.0404303,1.77158
610106354102,-0.0455311,-0.0401865,1.77171
610106376696,-0.0448685,-0.0404203,1.77207
610106393094,-0.0456337,-0.0402529,1.77212
610106414219,-0.0457109,-0.0401584,1.77211
610106436703,-0.0453531,-0.0400176,1.77228
610106453079,-0.0453531,-0.0400176,1.77228
610106474346,-0.0454479,-0.0400948,1.77229
610106496853,-0.0455251,-0.0400003,1.77229
610106513108,-0.0455251,-0.0400003,1.77229
610106534402,-0.0455251,-0.0400003,1.77229
610106556758,-0.0456023,-0.0399057,1.77229
610106573223,-0.0456023,-0.0399057,1.77229
610106594134,-0.0456794,-0.0398112,1.77229
610106616630,-0.0457742,-0.0398884,1.77229
610106633042,-0.0453951,-0.0395794,1.77227
610106654200,-0.0453003,-0.0395021,1.77226
610106676644,-0.0453774,-0.0394076,1.77226
610106693099,-0.0454722,-0.0394848,1.77227
610106714121,-0.0453178,-0.0396776,1.77225
610106759842,-0.0453949,-0.0395831,1.77225
610106760644,-0.0453949,-0.0395831,1.77225
610106775566,-0.0454721,-0.0394885,1.77225
610106796105,-0.0447805,-0.0395612,1.77203
610106828665,-0.0442277,-0.040819,1.77265
610106837053,-0.0440395,-0.0414396,1.77304
610106856700,-0.0451661,-0.0414126,1.77309
610106873148,-0.0449907,-0.0404656,1.77344
610106894358,-0.0446941,-0.0408299,1.77403
610106916833,-0.0446941,-0.0408299,1.77403
610106933174,-0.0446941,-0.0408299,1.77403
610106954165,-0.0447712,-0.0407352,1.77403
610106976634,-0.0446764,-0.0406581,1.77402
610106993117,-0.0447712,-0.0407352,1.77403
610107014155,-0.0444132,-0.0405985,1.77417
610107036654,-0.0444903,-0.0405039,1.77417
610107052428,-0.0444903,-0.0405039,1.77417
610107074147,-0.0446623,-0.0404865,1.77418
610107096635,-0.0443954,-0.0404267,1.77417
610107112416,-0.0443954,-0.0404267,1.77417
610107135587,-0.0443954,-0.0404267,1.77417
610107156613,-0.0444725,-0.0403321,1.77417
610107172446,-0.044283,-0.0401741,1.77417
610107195777,-0.044283,-0.0401741,1.77417
610107216705,-0.0443601,-0.0400795,1.77417
610107232538,-0.0444549,-0.0401566,1.77418
610107255733,-0.044532,-0.040062,1.77418
610107276693,-0.044532,-0.040062,1.77418
610107315003,-0.0446091,-0.0399674,1.77418
610107321856,-0.0446091,-0.0399674,1.77418
610107338087,-0.0444964,-0.0397184,1.77416
610107353148,-0.0440991,-0.0392416,1.77411
610107389172,-0.0441226,-0.0401813,1.77473
610107398123,-0.0440657,-0.0412191,1.77517
610107412453,-0.0442929,-0.0409385,1.77498
610107435603,-0.0439585,-0.0401883,1.77512
610107456649,-0.0434724,-0.040399,1.7757
610107472416,-0.0434724,-0.040399,1.7757
610107495570,-0.0434724,-0.040399,1.7757
610107516733,-0.0435494,-0.0403043,1.7757
610107532565,-0.0435494,-0.0403043,1.7757
610107555750,-0.0436264,-0.0402096,1.7757
610107576871,-0.0436264,-0.0402096,1.7757
610107592540,-0.0437034,-0.0401149,1.77569
610107615721,-0.0437034,-0.0401149,1.77569
610107636750,-0.0437804,-0.0400202,1.77569
610107652471,-0.0437804,-0.0400202,1.77569
610107675705,-0.0442268,-0.0400552,1.77609
610107696717,-0.0448953,-0.0405913,1.77633
610107712452,-0.0447452,-0.0407772,1.77652
610107735586,-0.0440653,-0.040841,1.77687
610107764186,-0.0437656,-0.0412095,1.77727
610107772434,-0.0438425,-0.0411148,1.77727
610107795620,-0.0438169,-0.0426921,1.77658
610107816673,-0.0436317,-0.0417598,1.77652
610107832486,-0.0418716,-0.0406291,1.77679
610107878195,-0.0382726,-0.0392505,1.77754
610107879089,-0.0342438,-0.0387931,1.77811
610107900737,-0.0332975,-0.0393891,1.77965
610107915645,-0.0353425,-0.0417072,1.77868
610107945042,-0.0415366,-0.0420205,1.77858
610107966847,-0.0468436,-0.0412992,1.77858
610107975650,-0.0435234,-0.0389868,1.77678
610107996901,-0.0355481,-0.0365777,1.77246
610108012610,-0.0338204,-0.0317385,1.77124
610108035078,-0.0382702,-0.0326639,1.77221
610108065591,-0.0430359,-0.0364856,1.77412
610108072443,-0.0452294,-0.0366933,1.77424
610108094952,-0.0424731,-0.0352409,1.77405
610108118094,-0.0397424,-0.0370494,1.77575
610108132470,-0.0419607,-0.0409045,1.77564
610108154980,-0.04944,-0.0413895,1.77409
610108178119,-0.0559487,-0.0401789,1.77186
610108192436,-0.0577056,-0.041692,1.77358
610108214936,-0.0577573,-0.0429802,1.77386
610108244198,-0.0565098,-0.0406516,1.77153
610108252549,-0.0565581,-0.0371264,1.77018
610108275041,-0.0570042,-0.0354167,1.7707
610108298192,-0.0552477,-0.0354235,1.77389
610108312539,-0.0501882,-0.0365976,1.77525
610108335066,-0.0454619,-0.0369872,1.77562
610108358174,-0.0433327,-0.0372827,1.77611
610108373034,-0.0438377,-0.0372401,1.77556
610108394965,-0.0468361,-0.0362696,1.77428
610108441326,-0.0485689,-0.0354966,1.77376
610108442145,-0.0452554,-0.0380197,1.78128
610108461657,-0.0412387,-0.0435922,1.78464
610108478149,-0.0419027,-0.0431393,1.78175
610108493146,-0.0439918,-0.0417188,1.781
610108530624,-0.0477202,-0.0427399,1.77988
610108538150,-0.0465453,-0.0430157,1.77674
610108559185,-0.0453051,-0.0414398,1.77523
610108574992,-0.0445023,-0.0404862,1.77478
610108598147,-0.0426375,-0.0391019,1.7754
610108619359,-0.0416467,-0.0393563,1.77653
610108635080,-0.0436167,-0.0406135,1.77726
610108658240,-0.046864,-0.0420516,1.77979
610108679266,-0.0467552,-0.0445103,1.77895
610108694976,-0.0437573,-0.0456688,1.77575
610108718180,-0.0440239,-0.0447421,1.77283
610108739288,-0.0522513,-0.0443232,1.77381
610108755027,-0.0584817,-0.0453817,1.77557
610108778207,-0.0581742,-0.0449832,1.77534
610108799178,-0.0542495,-0.044772,1.77549
610108814965,-0.0516458,-0.0454616,1.77614
610108838122,-0.0529989,-0.0465075,1.77726
610108859148,-0.0544393,-0.0472552,1.77953
610108874991,-0.0453834,-0.0477594,1.77983
610108898153,-0.0292336,-0.0472957,1.77828
610108919203,-0.0167026,-0.0462585,1.77794
610108935026,-0.00799756,-0.0473331,1.77946
610108957530,0.000205571,-0.0491519,1.78064
610109003971,0.00773668,-0.0485538,1.78047
610109004647,0.0117408,-0.0479528,1.78272
610109024381,0.0114967,-0.0509701,1.78318
610109040726,0.0146187,-0.0535886,1.78592
610109055595,0.0167081,-0.0548702,1.78709
610109076882,0.0182947,-0.0542419,1.78549
610109108146,0.0170711,-0.0543334,1.78219
610109129552,0.0112877,-0.0500643,1.78142
610109152496,0.00526941,-0.0536141,1.78474
610109159243,0.00230048,-0.0589445,1.78639
610109183140,-0.00108454,-0.0591853,1.7855
610109197473,0.000238456,-0.0586276,1.78389
610109220644,0.00185507,-0.0596722,1.78425
610109234975,0.000964106,-0.0619252,1.78554
610109273281,-0.00164716,-0.0622571,1.78738
610109274076,-0.00288822,-0.0634236,1.78689
610109295024,-0.00424938,-0.0646658,1.78719
610109317521,-0.0020291,-0.0658602,1.78698
610109340677,0.00122169,-0.0669998,1.78748
610109355061,0.00518593,-0.0692637,1.78882
610109377597,0.00319304,-0.0728008,1.79236
610109400694,0.00156029,-0.0751459,1.7941
610109415082,0.00219963,-0.0740778,1.79186
610109437546,0.0025636,-0.0718417,1.78863
610109460641,0.00865009,-0.0707593,1.787
610109481684,0.0144853,-0.071671,1.78864
610109497446,0.0172898,-0.0734156,1.79235
610109520774,0.0191618,-0.0750291,1.79334
610109541902,0.0226043,-0.0737288,1.79105
610109587537,0.0253246,-0.0745384,1.79024
610109588353,0.0290595,-0.0754696,1.78998
610109603147,0.0310205,-0.0765181,1.79254
610109618193,0.0317799,-0.0772757,1.79567
610109639417,0.0297567,-0.0779306,1.79654
610109655745,0.0277601,-0.0765623,1.79594
610109676007,0.0249666,-0.0753627,1.79518
610109692464,0.0241315,-0.0722959,1.79411
610109713507,0.0187838,-0.0720387,1.79382
610109736727,0.0102164,-0.0729759,1.79232
610109751005,-0.005354,-0.068196,1.78796
610109773634,-0.0150224,-0.0621916,1.78749
610109796875,-0.0147726,-0.058753,1.78594
610109811095,-0.0124473,-0.0556135,1.78632
610109833781,-0.00921605,-0.0554385,1.7895
610109856790,-0.00912375,-0.0564013,1.79168
610109871284,-0.00855612,-0.0557653,1.79245
610109893749,-0.00545928,-0.0551551,1.7929
610109916906,-0.00387747,-0.0551574,1.79226
610109931077,-0.00729599,-0.0549504,1.79101
610109953633,-0.0135587,-0.0535657,1.79058
610109976751,-0.0168111,-0.0524284,1.79025
610109991056,-0.0169829,-0.0524095,1.79025
610110013545,-0.0169829,-0.0524095,1.79025
610110036778,-0.017714,-0.0517153,1.79122
610110051109,-0.0181115,-0.0520149,1.79184
610110073727,-0.0174688,-0.0522549,1.7928
610110096749,-0.0164441,-0.0521905,1.79373
610110111143,-0.0148674,-0.0525481,1.79175
610110133754,-0.0199594,-0.0512185,1.78953
610110165778,-0.0268222,-0.050287,1.79015
610110188152,-0.0294239,-0.0501705,1.79046
610110201694,-0.0280497,-0.0503215,1.79041
610110218143,-0.0259159,-0.0508236,1.78976
610110233147,-0.0242837,-0.0501311,1.79005
610110253584,-0.0236481,-0.0481986,1.79053
610110276730,-0.0233344,-0.0499665,1.79098
610110291081,-0.0242099,-0.0469176,1.79088
610110313574,-0.0247093,-0.0465061,1.79186
610110336787,-0.025485,-0.047289,1.79156
610110351075,-0.0248077,-0.0483253,1.79117
610110382616,-0.023977,-0.0487697,1.79075
610110396846,-0.0240534,-0.0486743,1.79075
610110411209,-0.024016,-0.0495332,1.79234
610110433737,-0.0207758,-0.0492833,1.79241
610110456833,-0.0196114,-0.0489779,1.79236
610110471107,-0.0204254,-0.0483636,1.79294
610110493683,-0.0196638,-0.0485326,1.79294
610110516885,-0.019541,-0.0488899,1.79335
610110531041,-0.0190033,-0.0478171,1.79405
610110553572,-0.0178501,-0.0467273,1.79455
610110576758,-0.0168577,-0.047008,1.79531
610110591067,-0.0166818,-0.0474542,1.7967
610110613578,-0.017328,-0.0468547,1.79748
610110636727,-0.0154075,-0.045159,1.79794
610110651084,-0.0128447,-0.0438831,1.79862
610110673543,-0.0110113,-0.0438339,1.79854
610110696750,-0.0106102,-0.0443166,1.79757
610110711026,-0.00943041,-0.0448002,1.79677
610110749390,-0.00836927,-0.0449232,1.79537
610110765771,-0.00761528,-0.0460506,1.7948
610110780698,-0.007132,-0.0472345,1.79444
610110795239,-0.00748545,-0.0481524,1.79407
610110818239,-0.00487417,-0.0487042,1.79482
610110834064,-0.00358658,-0.0484154,1.79675
610110856503,-0.00674788,-0.0485794,1.79741
610110876309,-0.00903045,-0.0459681,1.79995
610110891196,-0.00689844,-0.0490814,1.80116
610110913826,-0.00711581,-0.050185,1.80122
610110936111,-0.0092441,-0.050461,1.80167
610110951308,-0.0110047,-0.0512119,1.80253
610110973551,-0.0119853,-0.0511803,1.80356
610110996027,-0.0104848,-0.0507453,1.80467
610111011062,-0.0102845,-0.0512018,1.80489
610111034995,-0.00773003,-0.0510679,1.80421
610111056062,-0.0101893,-0.0515578,1.80628
610111071057,-0.0107651,-0.0518361,1.80709
610111093643,-0.0109638,-0.0519844,1.80732
610111116175,-0.0119971,-0.0532517,1.8078
610111131232,-0.0117086,-0.0538104,1.80759
610111153762,-0.0100301,-0.0527921,1.80789
610111176280,-0.0114158,-0.0514903,1.81026
610111191271,-0.0128721,-0.0506965,1.81305
610111213706,-0.0161267,-0.0497674,1.8155
610111236146,-0.0167375,-0.0495297,1.81333
610111251058,-0.0151374,-0.0493081,1.80969
610111273568,-0.0140285,-0.0480639,1.80606
610111296073,-0.0141073,-0.0466818,1.80168
610111328321,-0.0149589,-0.0433828,1.79864
610111342542,-0.0171137,-0.0412313,1.7971
610111365791,-0.018894,-0.0401662,1.79669
610111380804,-0.0175526,-0.0404876,1.79726
610111395728,-0.0163623,-0.0414018,1.79765
610111416796,-0.0165387,-0.0405981,1.79801
610111434020,-0.0159346,-0.0413619,1.79821
610111455194,-0.0154074,-0.0412471,1.79857
610111476151,-0.0133642,-0.0387018,1.79786
610111491076,-0.0119791,-0.0394659,1.79805
610111513738,-0.0112005,-0.0394676,1.79822
610111536275,-0.0113652,-0.0394492,1.79784
610111551194,-0.0113003,-0.0397196,1.79745
610111573791,-0.0126169,-0.0398306,1.79748
610111596223,-0.0140694,-0.0395781,1.79771
610111611251,-0.0139738,-0.039502,1.7977
610111633673,-0.0139738,-0.039502,1.7977
610111656298,-0.0137704,-0.0399574,1.79792
610111671118,-0.0138169,-0.0402991,1.79831
610111693706,-0.0142988,-0.0406783,1.79853
610111716240,-0.0142988,-0.0406783,1.79853
610111739468,-0.0142988,-0.0406783,1.79853
610111761713,-0.0147105,-0.040367,1.79912
610111776323,-0.0151032,-0.0406646,1.79957
610111791262,-0.0161586,-0.0407184,1.79996
610111813735,-0.0178959,-0.0406903,1.80003
610111836180,-0.0196156,-0.0404917,1.80026
610111852552,-0.0209922,-0.0403324,1.80049
610111873690,-0.0216598,-0.0400792,1.80052
610111896293,-0.0216598,-0.0400792,1.80052
610111927600,-0.0212644,-0.0403846,1.80071
610111949400,-0.0207707,-0.040613,1.80073
610111965822,-0.0207939,-0.0399998,1.80109
610111980856,-0.0210669,-0.0392721,1.80163
610111995185,-0.0207198,-0.037744,1.80179
610112018258,-0.0210141,-0.0379686,1.80218
610112032605,-0.0213685,-0.0365365,1.80215
610112053780,-0.0208425,-0.0372028,1.80237
610112076285,-0.0211947,-0.0387268,1.80242
610112092644,-0.0217342,-0.0388346,1.80265
610112113699,-0.0215626,-0.0388545,1.80265
610112136328,-0.0210503,-0.0389155,1.80281
610112152601,-0.0208788,-0.0389354,1.8028
610112173728,-0.0216821,-0.0391004,1.80285
610112196251,-0.0216821,-0.0391004,1.80285
610112212587,-0.0217578,-0.0390047,1.80285
610112233814,-0.0217578,-0.0390047,1.80285
610112256134,-0.0221851,-0.0396494,1.80307
610112272569,-0.0221851,-0.0396494,1.80307
610112293660,-0.0222608,-0.0395537,1.80307
610112316239,-0.0222608,-0.0395537,1.80307
610112332580,-0.0222608,-0.0395537,1.80307
610112353783,-0.0223567,-0.0396295,1.80308
610112376303,-0.0223567,-0.0396295,1.80308
610112392611,-0.0224334,-0.0395311,1.8031
610112413774,-0.0213675,-0.0405134,1.80484
610112436274,-0.0185222,-0.0421488,1.80502
610112452620,-0.0144413,-0.0429765,1.80473
610112474226,-0.0122017,-0.0432418,1.80427
610112514013,-0.0169466,-0.0409552,1.80296
610112514749,-0.0245895,-0.0401507,1.803
610112549312,-0.0275885,-0.0420682,1.80276
610112565803,-0.0254546,-0.0413863,1.80028
610112580771,-0.0240067,-0.0410359,1.79946
610112601812,-0.0246583,-0.0392278,1.79902
610112616290,-0.025763,-0.0396148,1.79985
610112632602,-0.0274888,-0.0413916,1.80178
610112653659,-0.0234192,-0.0440142,1.80427
610112676208,-0.000947202,-0.0422052,1.79983
610112692649,0.013117,-0.0405828,1.79679
610112713613,0.0167182,-0.039432,1.79711
610112736297,0.0188618,-0.038651,1.79867
