myot,x,y,z
152012915007,2.75,4.9375,15.75,1464789801551
152012922510,-1.8125,4.3125,12.25,1464789801559
152012944999,-1.25,6.125,12.0625,1464789801581
152012967638,-0.375,7.1875,11.375,1464789801604
152012982568,1.3125,6.6875,9.375,1464789801619
152013005065,5.875,6.625,8.125,1464789801641
152013027587,8.1875,5.75,6.6875,1464789801664
152013042626,-1.1875,4,2.5625,1464789801679
152013065077,2.125,4.9375,-0.625,1464789801701
152013087603,1.375,2.4375,-5,1464789801724
152013102581,1.125,-0.3125,-5.75,1464789801739
152013126302,6.5,0.75,-6.375,1464789801762
152013147558,9.25,-0.75,-8.8125,1464789801784
152013162585,12.375,-1.25,-11.1875,1464789801799
152013185100,17.25,-1.6875,-11.625,1464789801821
152013207527,20.1875,-3.75,-13.3125,1464789801844
152013222648,25.75,-3.9375,-13.625,1464789801859
152013245065,30.8125,-4.3125,-16.25,1464789801881
152013267580,24.75,-0.25,-18.6875,1464789801904
152013282572,14.75,1.3125,-17.125,1464789801919
152013304979,20.6875,2.3125,-16,1464789801941
152013327618,17.1875,1.875,-16.3125,1464789801964
152013342594,17.0625,3.5,-20.6875,1464789801979
152013365001,25.5,6.6875,-23.3125,1464789802001
152013387602,12.75,9.625,-22.1875,1464789802024
152013402653,1.625,8.25,-18.4375,1464789802039
152013425064,11.375,8.875,-17.4375,1464789802061
152013447556,12.625,10.25,-17.3125,1464789802084
152013462564,7.625,10.875,-16.6875,1464789802099
152013485080,10.8125,10.3125,-15.625,1464789802121
152013507521,9.1875,10.1875,-14.875,1464789802144
152013522563,5.25,9.5,-13.5625,1464789802159
152013545003,5.0625,9.3125,-12.4375,1464789802181
152013567537,3,8.6875,-11.875,1464789802204
152013582622,3.25,8.0625,-12,1464789802219
152013605098,4.4375,7.125,-12.0625,1464789802241
152013627630,2,5.75,-11.6875,1464789802264
152013642608,2.125,4.4375,-11.6875,1464789802279
152013665007,2,3.625,-11.5,1464789802301
152013687513,2.375,2.9375,-11.125,1464789802324
152013702648,0,2.1875,-10.625,1464789802339
152013725038,0.1875,2.5625,-9.9375,1464789802361
152013747490,0.5,2.8125,-7.4375,1464789802383
152013762512,-8.625,3.0625,-4.875,1464789802399
152013785043,-6.125,4.375,-3.25,1464789802421
152013807950,-3.75,4.8125,-2,1464789802444
152013830036,-3.5,4.625,-0.6875,1464789802466
152013845025,-2.0625,4.3125,0.0625,1464789802481
152013867538,0.9375,4.25,0.0625,1464789802504
152013882542,-0.375,3.9375,0.0625,1464789802519
152013905021,0.125,3.25,0.3125,1464789802541
152013927571,1.4375,2.875,0.0625,1464789802564
152013942579,1.0625,2.25,0.375,1464789802579
152013965051,-0.375,1.8125,0.75,1464789802601
152013987592,-1.375,1.5625,0.875,1464789802624
152014002526,-0.125,1.75,0.875,1464789802639
152014032587,-1.4375,1.6875,1.3125,1464789802669
152014055139,-1.375,1.4375,1.875,1464789802691
152014062591,0.5,1.5625,2.0625,1464789802699
152014085026,0.375,1.625,2.75,1464789802721
152014107621,-1.4375,1.6875,3.75,1464789802744
152014122576,-2.0625,1.8125,4.8125,1464789802759
152014145096,-2.875,1.875,5.6875,1464789802781
152014167608,-3.9375,1.875,6.6875,1464789802804
152014182604,-4.5625,1.8125,7.625,1464789802819
152014205109,-5.125,1.75,8.5625,1464789802841
152014227601,-9.3125,3.125,10.5,1464789802864
152014242529,-2.125,1.9375,9.75,1464789802878
152014265167,-3.375,2,10.25,1464789802901
152014287568,-3.25,1.625,10.875,1464789802923
152014302511,-3.875,1.5625,11.125,1464789802938
152014325104,-3.125,1.3125,11.1875,1464789802961
152014347580,-2.3125,1.1875,11.1875,1464789802984
152014362557,-2.3125,0.9375,10.875,1464789802999
152014385134,-2.8125,0.5,10.875,1464789803021
152014407631,-1.6875,0.125,11,1464789803044
152014422568,0.75,0,11.25,1464789803059
152014445146,2.0625,-0.5,11.75,1464789803081
152014467609,2.0625,-0.875,12.0625,1464789803104
152014482582,2.625,-0.8125,12.25,1464789803119
152014505063,3.3125,-0.8125,13,1464789803141
152014527550,-0.1875,-1.375,15.1875,1464789803164
152014542625,-0.3125,-0.4375,15.9375,1464789803179
152014565119,-0.875,-0.0625,16.9375,1464789803201
152014587591,-2.0625,0.125,17.1875,1464789803224
152014610064,-0.9375,-0.3125,17.125,1464789803246
152014625121,-3.5,-0.5,15.3125,1464789803261
152014647523,-2.875,-0.5,14.375,1464789803284
152014662619,-3.1875,-0.125,12.8125,1464789803299
152014685113,-1.5,-0.375,11.875,1464789803321
152014707586,-3.75,-0.6875,10.125,1464789803344
152014722576,-3.3125,-0.875,7.75,1464789803359
152014745056,-1.1875,-1.1875,5.875,1464789803381
152014767622,-3.4375,-1.5625,3.0625,1464789803404
152014782580,-1.5625,-1.875,1.4375,1464789803419
152014805053,0.375,-2.5625,1.3125,1464789803441
152014827612,-0.25,-2.4375,0.75,1464789803464
152014842555,-0.375,-2.125,0.1875,1464789803479
152014864999,-2.1875,-2.0625,-0.25,1464789803501
152014887599,-0.6875,-1.875,-0.1875,1464789803524
152014902597,-0.5,-1.875,0.3125,1464789803538
152014925014,-1.3125,-1.875,0.6875,1464789803561
152014947599,-2.25,-1.5,3.625,1464789803584
152014962538,-0.0625,-1.75,1.75,1464789803598
152014985139,0.125,-1.5625,2.0625,1464789803621
152015007613,-0.1875,-1.6875,2.25,1464789803644
152015022616,-0.125,-1.75,2.0625,1464789803659
152015045082,-0.4375,-1.625,2.0625,1464789803681
152015067670,-0.5625,-1.5625,1.9375,1464789803704
152015082629,-1.0625,-1.4375,1.9375,1464789803719
152015105043,-0.8125,-1.4375,1.625,1464789803741
152015127557,-1.8125,-1.3125,1.375,1464789803764
152015142545,-1.6875,-1.3125,1.1875,1464789803778
152015165078,-1.1875,-1.3125,0.9375,1464789803801
152015187615,-0.25,-1.4375,1,1464789803823
152015202506,-0.3125,-1.4375,0.8125,1464789803839
152015225088,0.5,-1.4375,0.625,1464789803861
152015247613,0.1875,-1.1875,0.625,1464789803884
152015262570,-0.0625,-1.1875,0.5625,1464789803899
152015285108,0.375,-1.1875,0.75,1464789803921
152015307584,-1.4375,-0.625,0.6875,1464789803944
152015322580,-0.25,-0.875,1.125,1464789803959
152015345150,-0.6875,-0.6875,1.375,1464789803981
152015367558,-0.5625,-0.75,1.625,1464789804004
152015382557,0.0625,-0.6875,1.8125,1464789804019
152015405120,-0.25,-0.75,1.75,1464789804041
152015427591,0.125,-0.6875,1.5625,1464789804064
152015442579,0.5,-0.6875,1.375,1464789804079
152015465110,0.75,-0.8125,1.125,1464789804101
152015487595,1.1875,-0.6875,1.0625,1464789804124
152015502618,1.25,-0.6875,1.125,1464789804139
152015525156,1.375,-0.6875,1.3125,1464789804161
152015547659,1.5625,-0.5,1.5,1464789804184
152015562541,1.625,-0.4375,1.4375,1464789804199
152015585143,1.375,-0.5,1.5,1464789804221
152015607611,1.625,-0.5625,1.3125,1464789804243
152015622647,1.25,-0.5,1.125,1464789804259
152015645160,2.375,-0.5625,0.75,1464789804281
152015667649,1.375,-0.25,0.4375,1464789804304
152015682678,1.375,-0.375,0.625,1464789804319
152015705073,1.5625,-0.5,0.9375,1464789804341
152015727613,1.1875,-0.4375,0.6875,1464789804364
152015742537,2.75,-0.625,1.0625,1464789804379
152015765089,0.9375,-0.25,0.6875,1464789804401
152015787609,1.5625,-0.0625,1.125,1464789804424
152015802570,0.6875,-0.125,1.5,1464789804438
152015825111,0.6875,-0.1875,1.75,1464789804461
152015847672,0.625,-0.1875,1.5625,1464789804484
152015862565,0.875,-0.125,1.75,1464789804499
152015885089,0.375,-0.125,1.4375,1464789804521
152015907581,0.625,-0.375,1.4375,1464789804544
152015922614,0.625,-0.3125,1.125,1464789804559
152015945022,0.1875,-0.25,1.0625,1464789804581
152015967640,0.375,-0.375,0.875,1464789804604
152015982626,0.1875,-0.4375,0.75,1464789804619
152016005111,0.5,-0.4375,0.625,1464789804641
152016027683,0.1875,-0.4375,0.5625,1464789804664
152016042631,0.3125,-0.5625,0.375,1464789804679
152016065140,0,-0.5625,0.125,1464789804701
152016087631,0.375,-0.625,0.125,1464789804724
152016102685,0.375,-0.5625,0.0625,1464789804739
152016125103,-0.1875,-0.625,0,1464789804761
152016147623,0,-0.625,-0.125,1464789804784
152016162663,-0.3125,-0.8125,-0.0625,1464789804799
152016185137,-0.25,-0.6875,-0.125,1464789804821
152016207552,-0.9375,-0.6875,-0.0625,1464789804843
152016222758,-2.0625,-0.5,-0.4375,1464789804859
152016245126,-2.5625,-0.6875,-0.5625,1464789804881
152016267532,-4.4375,-0.6875,-1.625,1464789804903
152016282581,-0.625,-1.3125,-1.0625,1464789804919
152016305103,-1.125,-1.375,-1,1464789804941
152016327585,-3.1875,-1.0625,-1.125,1464789804964
152016350177,-2.3125,-0.8125,-0.8125,1464789804986
152016365104,-1.3125,-0.8125,-0.375,1464789805001
152016387635,-0.5625,-1,0.375,1464789805024
152016402621,-0.5,-0.9375,0.5625,1464789805039
152016425204,-0.5,-0.8125,0.75,1464789805061
152016447648,-0.4375,-0.625,0.75,1464789805084
152016462625,-0.3125,-0.8125,0.875,1464789805099
152016485129,-0.5625,-0.75,0.75,1464789805121
152016507612,-0.625,-0.5625,0.75,1464789805144
152016522644,-1.125,-0.5625,0.8125,1464789805159
152016545171,-1.5625,-0.4375,0.4375,1464789805181
152016567533,-1,-0.5625,0.4375,1464789805203
152016582617,-0.3125,-0.5,0.4375,1464789805219
152016605087,-0.375,-0.4375,0.5625,1464789805241
152016627667,-0.3125,-0.3125,0.5625,1464789805264
152016642609,0,-0.25,0.75,1464789805279
152016665120,0.3125,-0.3125,0.625,1464789805301
152016687645,0.3125,-0.1875,0.625,1464789805324
152016702660,0.5,-0.1875,0.5625,1464789805339
152016725126,0.5625,-0.1875,0.4375,1464789805361
152016747690,0.6875,-0.125,0.3125,1464789805384
152016762610,1.0625,-0.125,0.3125,1464789805399
152016785150,1.25,-0.0625,0.3125,1464789805421
152016807668,1.5625,-0.1875,0.3125,1464789805444
152016822665,2.1875,-0.125,0.5,1464789805459
152016845226,2.25,-0.1875,0.5,1464789805481
