timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
6388346578,-15,-51,-23,-1,-8,-5,-5,2
6388346578,6,23,-11,-28,4,3,0,2
6388347466,-8,-4,-10,-12,0,-5,-2,0
6388347466,-2,0,-7,10,-2,-1,-3,-2
6388348757,4,11,9,-8,-1,2,2,1
6388348757,-14,-15,0,4,-2,-3,-1,-2
6388349539,2,-28,2,6,-2,0,-5,-2
6388349539,4,9,-6,-14,1,0,-2,1
6388397068,7,6,28,16,-1,1,0,-6
6388397068,-3,-11,-12,2,-5,3,5,0
6388397883,48,48,8,1,4,17,11,12
6388397883,-10,-56,3,12,7,3,4,-1
6388424018,9,28,-1,-16,4,3,9,5
6388424018,-10,-43,4,12,-3,-9,-6,-6
6388424795,-21,-6,-13,-8,-5,-3,1,-5
6388424795,1,-10,-13,0,-7,-2,-2,0
6388433115,18,5,-16,21,32,14,10,12
6388433115,-6,7,20,15,1,2,-2,-1
6388434743,2,-7,-4,-20,1,-1,1,2
6388434743,-9,-1,-3,2,-4,-6,-6,-6
6388435561,-17,-24,-18,-18,-12,-7,-3,-7
6388435561,-7,0,-8,10,-15,-7,-3,-4
6388439466,5,-6,-6,-1,8,4,3,1
6388439466,3,11,16,3,14,-1,-4,-2
6388445468,-17,-19,3,16,-15,-6,-11,-7
6388445468,6,3,-36,-25,-6,-3,2,3
6388454424,-5,-24,6,-16,19,-3,2,3
6388454424,-12,0,-9,28,-11,-9,-6,-6
6388476854,4,-3,-24,-10,-5,2,1,5
6388476854,-28,-25,25,8,2,-14,-15,-12
6388478423,-15,-9,-50,-21,-16,-5,-9,-8
6388478423,18,10,-18,-60,-9,8,16,16
6388482948,-49,-30,32,75,17,-23,-19,-17
6388482948,-30,-26,-25,1,3,-8,-19,-6
6388523198,-13,31,-10,-61,-13,-14,-25,5
6388523198,-52,-1,28,74,-19,-60,-78,-20
6388523937,85,16,20,22,-10,21,-46,-6
6388523937,63,-15,28,-54,22,53,107,13
6388525561,-32,-102,-66,13,97,-5,56,-5
6388525561,-98,-40,-68,-69,20,-51,29,-3
6388528626,-128,37,33,-7,-67,-38,-47,-13
6388528626,82,105,28,48,-48,56,27,3
6388535498,39,45,-15,-1,-94,44,27,9
6388535498,-35,37,13,-2,-13,30,23,16
6388542995,-2,-39,-4,-27,-25,-31,-21,1
6388542995,-39,-60,-53,-21,2,-34,-48,-1
6388582446,-33,29,11,24,10,-13,-26,-9
6388582446,-23,-17,-5,8,32,5,-1,1
6388583238,-65,-20,-6,-12,31,-6,-3,-8
6388583238,-23,-13,-2,-28,15,20,-15,0
6388584874,-19,-52,15,10,-8,-65,-15,-17
6388584874,4,-16,-22,-20,-1,16,-4,34
6388588627,-5,-12,-7,-16,-3,6,23,-7
6388588627,-30,-22,-13,-8,14,-25,-7,14
6388595416,31,16,6,6,4,15,-22,-10
6388595416,54,30,39,19,-11,24,-3,-21
6388603027,61,36,-12,-6,11,21,62,66
6388603027,-45,-15,-18,0,-2,-31,-6,1
6388617961,-67,1,34,33,-12,1,-12,-5
6388617961,-34,1,-6,-22,-12,4,3,-12
6388641860,-6,5,-19,8,16,16,8,-2
6388641860,76,16,11,-4,3,7,-11,-3
6388643438,62,13,34,14,-5,15,6,7
6388643438,37,0,11,11,0,4,-3,-14
6388648676,-39,-6,5,11,3,-3,1,-27
6388648676,-43,20,10,5,-2,-4,-18,-8
6388655441,6,1,10,4,-8,-4,-1,6
6388655441,4,-15,-1,-7,-2,-9,6,-18
6388663017,-6,24,5,-3,9,14,-27,-8
6388663017,-6,-1,-5,-14,-8,-18,2,-1
6388677964,14,13,26,18,3,12,21,22
6388677964,9,-11,-12,-19,-8,1,14,-14
6388694791,6,-14,6,-12,0,-14,5,-39
6388694791,26,17,20,33,12,26,41,50
6388700562,10,51,74,73,-9,-17,1,-95
6388700562,-14,-35,-42,-39,-10,-32,-15,12
6388708780,-4,-10,-24,-19,-6,-9,-7,-39
6388708780,15,27,15,25,10,26,18,56
6388715704,-26,-22,-19,-22,-6,-8,-12,-22
6388715704,16,17,22,17,1,9,4,9
6388723159,20,-19,-22,-15,-2,-6,6,17
6388723159,-38,-21,-26,-33,-15,-32,-32,-37
6388738089,-22,-30,-21,-13,0,4,-6,32
6388738089,17,13,4,10,3,7,-4,4
6388753861,3,-26,-20,-19,1,-2,9,31
6388753861,-20,9,11,15,-4,-9,-13,-35
6388760654,-10,-19,-32,-33,-1,-6,-14,38
6388760654,2,4,2,4,-3,3,0,-2
6388768489,32,23,10,4,-5,14,21,9
