myot,myox,myoy,myoz,myost
myot,myox,myoy,myoz,myost
107809895,0.916504,-0.193848,0.266113,1468766047178
107833860,0.919922,-0.190918,0.273438,1468766047201
107847415,0.925293,-0.171875,0.29248,1468766047215
107870141,0.924805,-0.165527,0.283203,1468766047238
107886435,0.92041,-0.161133,0.277344,1468766047254
107907712,0.908691,-0.158691,0.274902,1468766047276
107930038,0.918945,-0.158691,0.277344,1468766047298
107946420,0.92041,-0.137695,0.285645,1468766047314
107967625,0.92627,-0.133301,0.294922,1468766047336
107990097,0.940918,-0.121094,0.300293,1468766047358
108006441,0.929199,-0.130859,0.30127,1468766047374
108027476,0.913086,-0.143555,0.296875,1468766047395
108050150,0.905273,-0.143555,0.302734,1468766047418
108066394,0.904785,-0.144531,0.308594,1468766047434
108087437,0.910645,-0.125,0.310059,1468766047455
108109911,0.92627,-0.119629,0.311035,1468766047478
108126377,0.914551,-0.131348,0.3125,1468766047494
108147388,0.918457,-0.101562,0.293945,1468766047515
108169951,0.923828,-0.0810547,0.300293,1468766047538
108186353,0.92041,-0.0893555,0.308594,1468766047554
108207501,0.913574,-0.0839844,0.309082,1468766047575
108230097,0.915527,-0.0717773,0.307129,1468766047598
108246406,0.921387,-0.0722656,0.31543,1468766047614
108267613,0.922363,-0.0625,0.3125,1468766047635
108289959,0.924316,-0.0556641,0.310547,1468766047658
108306423,0.925781,-0.0581055,0.303711,1468766047674
108327711,0.9375,-0.0449219,0.307129,1468766047696
108350008,0.937988,-0.0649414,0.306641,1468766047718
108366380,0.9375,-0.0649414,0.309082,1468766047734
108387472,0.908691,-0.0649414,0.300781,1468766047755
108409975,0.895996,-0.081543,0.299316,1468766047778
108426387,0.904297,-0.0869141,0.302246,1468766047794
108447460,0.922852,-0.0800781,0.306641,1468766047815
108469904,0.926758,-0.0615234,0.301758,1468766047838
108486342,0.921387,-0.03125,0.30127,1468766047854
108507449,0.933105,-0.0219727,0.299805,1468766047875
108530063,0.938477,-0.0390625,0.310547,1468766047898
108546481,0.936523,-0.0639648,0.309082,1468766047914
108567639,0.916016,-0.0834961,0.308105,1468766047936
108590109,0.907715,-0.0805664,0.302246,1468766047958
108606487,0.914551,-0.0629883,0.300781,1468766047974
108637154,0.925293,-0.0581055,0.30127,1468766048005
108650132,0.932129,-0.0512695,0.306641,1468766048018
108666503,0.929199,-0.0507812,0.30127,1468766048034
108688936,0.932129,-0.059082,0.303223,1468766048057
108709959,0.923828,-0.0761719,0.304688,1468766048078
108726504,0.91748,-0.0834961,0.307617,1468766048094
108750378,0.916016,-0.0830078,0.303223,1468766048118
108770110,0.925781,-0.0727539,0.300293,1468766048138
108786439,0.922852,-0.0712891,0.306152,1468766048154
108808876,0.928711,-0.0664062,0.306641,1468766048177
108830170,0.933594,-0.0561523,0.302246,1468766048198
108846493,0.919434,-0.0703125,0.304199,1468766048214
108868916,0.92041,-0.0810547,0.302246,1468766048237
108890176,0.927734,-0.0766602,0.305664,1468766048258
108906476,0.928223,-0.0844727,0.307617,1468766048274
108928998,0.918945,-0.0830078,0.304199,1468766048297
108949936,0.917969,-0.0722656,0.302246,1468766048318
108973884,0.916504,-0.0756836,0.309082,1468766048341
108988938,0.92627,-0.0727539,0.307617,1468766048357
109009925,0.923828,-0.0712891,0.310547,1468766048378
109026387,0.919922,-0.0727539,0.312012,1468766048394
109048884,0.924316,-0.0737305,0.300781,1468766048416
109078065,0.922363,-0.0717773,0.310547,1468766048446
109086476,0.927734,-0.074707,0.305176,1468766048454
109108901,0.924316,-0.0834961,0.308105,1468766048477
109130170,0.92334,-0.0751953,0.302246,1468766048498
109146450,0.922852,-0.0727539,0.302734,1468766048514
109168957,0.92627,-0.0751953,0.305176,1468766048537
109190171,0.925293,-0.0688477,0.305664,1468766048558
109206442,0.927246,-0.0712891,0.304688,1468766048574
109229057,0.92334,-0.0761719,0.307129,1468766048597
109250635,0.926758,-0.0791016,0.310059,1468766048618
109265700,0.92041,-0.0742188,0.307129,1468766048633
109288154,0.92041,-0.0791016,0.305176,1468766048656
109310609,0.918945,-0.0859375,0.308594,1468766048678
109325628,0.92334,-0.0717773,0.308594,1468766048693
109348149,0.929199,-0.0668945,0.307129,1468766048716
109370589,0.921387,-0.0766602,0.308594,1468766048738
109385619,0.916016,-0.0849609,0.310059,1468766048753
109408084,0.92334,-0.0844727,0.308105,1468766048776
109430585,0.921387,-0.0722656,0.306152,1468766048798
109445623,0.92334,-0.0776367,0.308105,1468766048813
109468272,0.922852,-0.0874023,0.310059,1468766048836
109490675,0.916992,-0.0795898,0.305176,1468766048858
109505566,0.918945,-0.081543,0.306152,1468766048873
109528201,0.916992,-0.0805664,0.3125,1468766048896
109550764,0.923828,-0.0756836,0.304688,1468766048919
109565717,0.934082,-0.0698242,0.299805,1468766048934
109588390,0.922852,-0.0810547,0.29541,1468766048956
109610830,0.914551,-0.0849609,0.304688,1468766048979
109625786,0.918945,-0.0805664,0.30957,1468766048994
109648150,0.92334,-0.0859375,0.312012,1468766049016
109670643,0.926758,-0.090332,0.308594,1468766049038
109685625,0.921387,-0.0820312,0.302246,1468766049053
109708143,0.91748,-0.0742188,0.298828,1468766049076
109730607,0.920898,-0.0717773,0.308594,1468766049098
109747062,0.928711,-0.0620117,0.311035,1468766049115
109768087,0.939941,-0.0566406,0.29834,1468766049136
109790719,0.92041,-0.0795898,0.297852,1468766049158
109807174,0.914551,-0.0620117,0.304199,1468766049175
109828422,0.916016,-0.0830078,0.307617,1468766049196
109850792,0.925293,-0.0957031,0.311523,1468766049219
109867153,0.925293,-0.0654297,0.297852,1468766049235
109888309,0.931152,-0.0791016,0.312012,1468766049256
109910867,0.933105,-0.0834961,0.41748,1468766049279
109927127,0.905762,-0.123047,0.187012,1468766049295
109948173,0.934082,-0.116211,0.174805,1468766049316
109970663,0.90625,-0.0551758,0.26709,1468766049338
109987058,0.907715,-0.0800781,0.364746,1468766049355
110008107,0.928711,-0.0551758,0.416504,1468766049376
110030608,0.914062,-0.122559,0.422363,1468766049398
110047041,0.90918,-0.12793,0.27832,1468766049415
110068120,0.927246,-0.0395508,0.274902,1468766049436
110090652,0.908691,-0.043457,0.314453,1468766049458
110107098,0.904297,-0.0756836,0.355957,1468766049475
110128369,0.904297,-0.059082,0.36377,1468766049496
110150746,0.913086,-0.0605469,0.353516,1468766049519
110167079,0.91748,-0.0532227,0.354492,1468766049535
110188203,0.92041,-0.0551758,0.348633,1468766049556
110210749,0.908691,-0.0463867,0.347656,1468766049578
110227145,0.900391,-0.0488281,0.344238,1468766049595
110248174,0.902832,-0.0742188,0.345703,1468766049616
110270617,0.912109,-0.0976562,0.333984,1468766049638
110287061,0.918457,-0.116211,0.291016,1468766049655
110308091,0.929688,-0.0976562,0.27832,1468766049676
110330586,0.928711,-0.0639648,0.286621,1468766049698
110347086,0.925293,-0.0673828,0.29834,1468766049715
110368180,0.922363,-0.0756836,0.312988,1468766049736
