myot,x,y,z
105687531,1.125,-0.625,-0.75,1468766045055
105711254,1.9375,-0.875,-0.875,1468766045079
105726203,1.625,-1.25,-1.125,1468766045094
105747602,1.875,-1.25,-1.3125,1468766045115
105771233,1.5,-1.0625,-1.25,1468766045139
105786242,1.1875,-1,-1.3125,1468766045154
105833207,0.9375,-1,-1.25,1468766045201
105834080,1.4375,-0.6875,-0.75,1468766045202
105846274,0.625,-0.4375,-0.125,1468766045214
105868416,-0.25,0,0.6875,1468766045236
105892316,-1.5,0.375,1.375,1468766045260
105905232,-1.5625,0.625,1.875,1468766045273
105928813,-1.375,0.75,1.75,1468766045297
105958210,-0.5,0.3125,0.6875,1468766045326
105968579,1.5,-0.0625,-0.125,1468766045336
105988257,1.1875,-0.375,-0.5625,1468766045356
106010618,0.5625,-0.3125,-0.4375,1468766045379
106025726,-0.4375,-0.25,-0.375,1468766045394
106048144,-0.4375,-0.4375,-0.8125,1468766045416
106070784,0.6875,-0.4375,-0.6875,1468766045439
106085744,1.3125,-0.375,-0.6875,1468766045454
106108126,0.625,-0.3125,-0.3125,1468766045476
106130735,-0.3125,-0.125,0.375,1468766045499
106145764,-0.625,0.0625,0.3125,1468766045514
106168312,-0.0625,-0.1875,0,1468766045536
106190789,1,-0.375,-0.5,1468766045559
106205777,1.625,-0.5,-0.8125,1468766045574
106228275,0.8125,-0.375,-0.8125,1468766045596
106250736,0.1875,-0.375,-0.75,1468766045619
106265632,0.375,-0.3125,-0.5625,1468766045633
106288246,0.8125,-0.4375,-0.4375,1468766045656
106310736,1.5,-0.3125,-0.3125,1468766045679
106325751,0.375,-0.125,-0.0625,1468766045694
106348123,0.5625,0.25,-0.125,1468766045716
106371428,-0.625,0.1875,-0.0625,1468766045739
106385787,-0.1875,-0.0625,-0.625,1468766045754
106416426,0.9375,-0.375,-1.3125,1468766045784
106430638,2.1875,-0.625,-1.5,1468766045799
106445146,1.6875,-0.5,-1.375,1468766045813
106468255,0.25,-0.3125,-0.75,1468766045836
106490618,-0.125,-0.125,-0.0625,1468766045858
106504860,-0.3125,0.0625,0.625,1468766045873
106528031,0.375,0.125,0.625,1468766045896
106550532,1.8125,0,0.5625,1468766045918
106564836,1.9375,-0.375,-0.0625,1468766045933
106588053,2.5625,-1,-0.9375,1468766045956
106610665,4.1875,-1.4375,-1.875,1468766045978
106625048,4.6875,-1.25,-2.9375,1468766045993
106648167,5.25,-1.6875,-4.0625,1468766046016
106670812,6,-2,-5.5625,1468766046039
106685089,7.5,-2.9375,-7.1875,1468766046053
106708296,13.75,-4.4375,-8.375,1468766046076
106730814,15.0625,-6.125,-10.125,1468766046099
106745188,11.5,-6.375,-9.0625,1468766046113
106769509,19.8125,-5.3125,-7.4375,1468766046137
106790545,15.5625,-3.875,-4.625,1468766046158
106804867,8.6875,-2.5,-1.9375,1468766046173
106828095,8.5,-1.5,-0.0625,1468766046196
106850588,7.125,-1.9375,1.1875,1468766046218
106864913,8.0625,-2.375,1.3125,1468766046233
106888054,8.5,-2.375,0.9375,1468766046256
106910571,14.0625,-1,0.625,1468766046278
106924851,13.6875,-0.8125,-0.25,1468766046293
106947413,9.4375,-1.5625,-1.25,1468766046315
106969908,9.9375,-2,-1.6875,1468766046338
106984886,12.4375,-1.8125,-1.3125,1468766046353
107007400,15,-1.4375,-0.6875,1468766046375
107029851,11.4375,-1.4375,-1,1468766046398
107044836,10.1875,-1.0625,-0.375,1468766046412
107067508,8.375,0.0625,-0.875,1468766046435
107090136,9.625,1.125,-3,1468766046458
107104985,10.5625,1.3125,-5,1468766046473
107127569,9.8125,0.375,-7.25,1468766046496
107150022,10.6875,0.25,-9.5,1468766046518
107165013,8.625,0.1875,-10.25,1468766046533
107187589,8.625,0.75,-11.6875,1468766046556
107210110,6.3125,1.25,-12.5625,1468766046578
107225178,8.1875,3.25,-11.5,1468766046593
107247586,10.6875,4.3125,-15.75,1468766046615
107270096,9.0625,3.25,-20,1468766046638
107284886,7.3125,2.1875,-21.6875,1468766046653
107307407,11.1875,2,-22.5625,1468766046675
107329929,15.4375,3.0625,-21.625,1468766046698
107344932,10.875,3.875,-20.5625,1468766046713
107367386,7.8125,4.1875,-19.875,1468766046735
107389896,8.3125,4.625,-20.0625,1468766046758
107405029,8.625,4.4375,-20.875,1468766046773
107427495,12.5625,3.625,-22.1875,1468766046795
107450130,16.6875,2.6875,-23.4375,1468766046818
107465190,16,2.25,-22.9375,1468766046833
107487628,12,2.875,-20.75,1468766046856
107509995,10.4375,3.6875,-17.75,1468766046878
107524953,11.0625,3.8125,-16.625,1468766046893
107547557,12.4375,3.75,-16.6875,1468766046916
107578814,13.625,4.75,-15.375,1468766046947
107585112,11.3125,6.125,-14.8125,1468766046953
107607628,7.0625,7.8125,-13.9375,1468766046976
107630088,3.875,8.0625,-14.5,1468766046998
107645073,-0.75,7.9375,-15.1875,1468766047013
107667429,0.125,7.875,-13.8125,1468766047035
107690045,1.625,7.125,-12.4375,1468766047058
107706408,3.125,7,-11.375,1468766047074
107727474,3.0625,7.5,-10.5,1468766047095
107749925,2.9375,7.8125,-10,1468766047118
107766336,0.3125,8.4375,-10.1875,1468766047134
107787414,-5.0625,8.8125,-10.1875,1468766047155
107809895,-5.0625,8.625,-10.3125,1468766047178
107833860,-1.125,8.3125,-10.625,1468766047201
107847415,-0.625,8.25,-11.125,1468766047215
107870141,-1.4375,8.125,-11.625,1468766047238
107886435,-1.125,8.3125,-12,1468766047254
107907712,-1.5,8.375,-12.5,1468766047276
107930038,-0.625,8.625,-12.375,1468766047298
107946420,-1.375,8.3125,-11.875,1468766047314
107967625,-1.8125,7.9375,-11.875,1468766047336
107990097,-1.6875,7.4375,-12.5625,1468766047358
108006441,-2.6875,6.5625,-13.5625,1468766047374
108027476,-1.5,6.1875,-14,1468766047395
108050150,-0.5,5.25,-13.6875,1468766047418
108066394,0.625,4.4375,-13.0625,1468766047434
108087437,3.375,3.875,-13.125,1468766047455
108109911,2.875,3.0625,-13.9375,1468766047478
108126377,4.6875,2.3125,-13.875,1468766047494
108147388,6.6875,2.125,-13.75,1468766047515
108169951,5,1.6875,-13.75,1468766047538
108186353,2.5625,1.25,-13.1875,1468766047554
108207501,3.5,0.75,-12,1468766047575
108230097,4.0625,0.5625,-11.25,1468766047598
108246406,2.75,0.0625,-9.875,1468766047614
108267613,3.125,-0.3125,-7.9375,1468766047635
108289959,1.5625,-0.625,-6.3125,1468766047658
108306423,1.125,-0.875,-5.625,1468766047674
108327711,1.9375,-0.9375,-5.375,1468766047696
108350008,0.5625,-1.125,-5.5,1468766047718
108366380,3.75,-1.1875,-5.3125,1468766047734
108387472,3.625,-1.25,-4.5625,1468766047755
108409975,1.6875,-1.125,-3.5625,1468766047778
108426387,2.375,-0.625,-3.125,1468766047794
108447460,4.75,-0.25,-2.375,1468766047815
108469904,5.75,-0.1875,-1.0625,1468766047838
108486342,2.125,0.125,0.3125,1468766047854
108507449,-2.75,0.375,0.9375,1468766047875
108530063,-5.5,0.25,1,1468766047898
108546481,-4.25,-0.5,1,1468766047914
108567639,-0.0625,-1.125,1.3125,1468766047936
108590109,2.875,-1,1.8125,1468766047958
108606487,3,-0.5625,2.125,1468766047974
108637154,0.875,-0.25,2.25,1468766048005
108650132,-1.75,0.125,2.25,1468766048018
108666503,-4.375,0.375,1.9375,1468766048034
108688936,-6.5625,0.625,1.4375,1468766048057
108709959,-6,0.5625,1.625,1468766048078
108726504,-3.5625,0.5625,1.9375,1468766048094
108750378,0.1875,0.3125,2,1468766048118
108770110,2.4375,0.25,1.875,1468766048138
108786439,1.125,-0.125,1.75,1468766048154
108808876,0.1875,0.1875,1.375,1468766048177
108830170,-1.1875,0.125,0.6875,1468766048198
108846493,-4.4375,0.375,0.25,1468766048214
108868916,-3.4375,0.5,0.3125,1468766048237
108890176,-3.125,0.625,0.1875,1468766048258
108906476,-1.4375,0.5625,-0.125,1468766048274
108928998,1.3125,0.625,0,1468766048297
108949936,1.4375,0.5625,0.0625,1468766048318
108973884,0.25,0.5,0.1875,1468766048341
108988938,0.75,0.3125,0,1468766048357
109009925,-0.125,0.125,0.0625,1468766048378
109026387,-1.125,0,0.125,1468766048394
109048884,-1.25,-0.125,0.375,1468766048416
109078065,-0.6875,-0.4375,0.6875,1468766048446
109086476,-0.75,-0.625,0.625,1468766048454
109108901,-0.1875,-0.5625,0.3125,1468766048477
109130170,1.0625,-0.5,0.4375,1468766048498
109146450,0.0625,-0.1875,0.5,1468766048514
109168957,-0.375,0.125,0.375,1468766048537
109190171,-0.0625,0.25,0.3125,1468766048558
109206442,-0.875,0.25,0.3125,1468766048574
109229057,-1.375,0.375,0.375,1468766048597
109250635,-0.75,0.5,0.4375,1468766048618
109265700,-0.125,0.5625,0.3125,1468766048633
109288154,-0.25,0.5,0.3125,1468766048656
109310609,0.125,0.625,0.3125,1468766048678
109325628,0.875,0.5625,0.25,1468766048693
109348149,-0.5,0.5,0.125,1468766048716
109370589,-2.0625,0.4375,0.25,1468766048738
109385619,-1.5,0.3125,0.1875,1468766048753
109408084,0.3125,0.25,0.4375,1468766048776
109430585,0.4375,0.125,0.6875,1468766048798
109445623,-0.625,0.125,0.6875,1468766048813
109468272,-0.1875,0.125,0.4375,1468766048836
109490675,0.5,0.0625,0.375,1468766048858
109505566,-0.125,-0.0625,0.5,1468766048873
109528201,-0.375,-0.125,0.4375,1468766048896
109550764,-0.4375,0.0625,0.3125,1468766048919
109565717,-0.5,0.1875,-0.3125,1468766048934
109588390,-0.8125,-0.25,-0.4375,1468766048956
109610830,-0.75,-0.375,0,1468766048979
109625786,-0.0625,-0.25,0.3125,1468766048994
109648150,0.6875,0.125,0.125,1468766049016
109670643,1.75,0,-0.3125,1468766049038
109685625,2.25,0,-0.5625,1468766049053
109708143,0.625,0.25,-0.3125,1468766049076
109730607,-1.0625,0.5625,0.3125,1468766049098
109747062,-0.4375,0.9375,0.625,1468766049115
109768087,-1.3125,1,0.4375,1468766049136
109790719,-2.625,0.8125,1,1468766049158
109807174,1.125,0.375,1.5,1468766049175
109828422,2.0625,-1.0625,0.5,1468766049196
109850792,1.75,0.5625,0.5625,1468766049219
109867153,1.4375,1.8125,-0.0625,1468766049235
109888309,-3,1.625,-0.4375,1468766049256
109910867,-1.875,3.4375,-1.375,1468766049279
109927127,-3.625,15.25,-7,1468766049295
109948173,-0.4375,11.75,-4.625,1468766049316
109970663,-0.375,3.9375,-3.8125,1468766049338
109987058,-10.1875,0.25,-2.4375,1468766049355
110008107,-5.25,0.4375,-1.5,1468766049376
110030608,-1.75,4.0625,-3.5625,1468766049398
110047041,2.5,6.875,-3.25,1468766049415
110068120,4.6875,3.75,-1.9375,1468766049436
110090652,-4.75,0.4375,-1.875,1468766049458
110107098,-3.0625,-0.5625,-1.4375,1468766049475
110128369,-0.125,-0.25,-1.4375,1468766049496
110150746,-1.4375,-0.25,-0.9375,1468766049519
110167079,-1.375,-0.625,-0.625,1468766049535
110188203,-2.25,-1.1875,-0.375,1468766049556
110210749,-2.3125,-2.375,0.1875,1468766049578
110227145,-3.6875,-4.875,0.6875,1468766049595
110248174,-5.375,-7.1875,1.4375,1468766049616
110270617,-3.125,-7.8125,2.375,1468766049638
110287061,1.25,-7.5,3.1875,1468766049655
110308091,4.875,-7.0625,3.375,1468766049676
110330586,3,-5.8125,3.0625,1468766049698
110347086,-2.3125,-4.25,2.1875,1468766049715
110368180,-4.0625,-2.4375,1.875,1468766049736
110384025,-4.625,-0.875,1.625,1468766049752
110407113,-3.625,0.625,1.5625,1468766049775
110428286,-2.3125,1.5,1.5625,1468766049796
110443953,-1.125,1.75,1.875,1468766049812
110467171,1.3125,1.5,2.25,1468766049835
110495663,0.5625,1.125,2,1468766049863
110503926,1.875,1.0625,2.4375,1468766049872
110526417,-0.3125,1.1875,2.5625,1468766049894
110548118,-2.9375,1.5,2.375,1468766049916
110563914,-1.5625,1.625,2.9375,1468766049932
110586392,2.5,1.875,3.625,1468766049954
110608177,3.75,1.8125,2.875,1468766049976
110623920,0.375,0.9375,1.875,1468766049992
110646443,-1.125,-0.5625,0.625,1468766050014
110669639,-4.125,-1.125,1.4375,1468766050037
110684041,4.5,-0.0625,-0.9375,1468766050052
110706652,-4.0625,-3.1875,1.875,1468766050074
110729673,14.875,3.875,2.5,1468766050097
110743936,2.6875,7,1.5625,1468766050112
110766491,-9.5625,0.4375,0.8125,1468766050134
110789658,-10,-5.875,-0.125,1468766050157
110803914,-5.625,-10.4375,-0.8125,1468766050172
110826512,-2.125,-14.375,-1.0625,1468766050194
110857058,-0.5,-16.625,-1.875,1468766050225
110878111,2.8125,-20.3125,-1.75,1468766050246
110886416,1,-23.625,-0.75,1468766050254
110910039,0.5,-30.4375,0.1875,1468766050278
110938319,-2.1875,-37.125,0.1875,1468766050306
110946653,1,-42.9375,0.75,1468766050314
110969695,5.0625,-44.375,1.125,1468766050337
110998268,7.5625,-46.5625,2.5,1468766050366
111006568,6.875,-50.0625,3.625,1468766050374
111030897,5.1875,-52.875,5.4375,1468766050399
111050792,4.5625,-51.0625,6.0625,1468766050419
111066522,2.5,-47.5625,6,1468766050434
111089640,2.625,-45.375,6.625,1468766050457
111112174,0.0625,-42.25,6.5625,1468766050480
111126628,0.4375,-38.4375,6.625,1468766050494
111149697,-1.3125,-35.125,6.875,1468766050517
111170853,0.875,-31.9375,5.9375,1468766050539
111186581,0.6875,-28.25,6,1468766050554
111209632,2.3125,-24.6875,5.3125,1468766050577
111230813,2.125,-21.5,4.8125,1468766050599
111246510,4.3125,-17.25,3.875,1468766050614
111269607,5.25,-12.6875,3.3125,1468766050637
111290650,4,-6.625,1.0625,1468766050658
111306408,1.5,-0.4375,-0.5625,1468766050674
111337238,3.8125,-0.6875,0.25,1468766050705
111350871,1.1875,-4.125,2.25,1468766050719
111366656,0.6875,-8.9375,4.0625,1468766050734
111389711,-2,-10.3125,5,1468766050757
111410903,-2.6875,-9.5625,4.625,1468766050779
111426489,-5.3125,-8.1875,3.5625,1468766050794
111449672,-9.6875,-7.3125,3.25,1468766050817
111470707,-11.75,-7.3125,3.3125,1468766050839
111486391,-9.4375,-7.75,4.125,1468766050854
111517121,-4.8125,-8.5,5.3125,1468766050885
111530657,-3.875,-8.75,5.3125,1468766050898
111546504,-6.1875,-8.25,4.5,1468766050914
111569058,-8.375,-6.8125,4.3125,1468766050937
111590888,-4.5625,-5.5,4.125,1468766050959
111606468,-0.25,-4.25,3.0625,1468766050974
111637105,5.0625,-3.625,1.6875,1468766051005
111652208,6.25,-3.5,0.625,1468766051020
111666638,4.75,-3.6875,0.625,1468766051034
111689029,0.0625,-3.125,0.625,1468766051057
111712200,-2.0625,-2.5,1,1468766051080
111726576,-2.1875,-2.0625,1,1468766051094
111749047,-1.3125,-1.8125,0.9375,1468766051117
111772128,2.375,-1.6875,0.4375,1468766051140
111786530,4.5625,-1.6875,-0.4375,1468766051154
111808934,2.6875,-2,-2.0625,1468766051177
111832085,2.1875,-1.3125,-2.375,1468766051200
111846520,-0.0625,-0.4375,-1.9375,1468766051214
111868979,-1.25,0.25,-1.3125,1468766051237
111892129,-1,0.875,-0.5625,1468766051260
111906610,-0.0625,1.25,-0.4375,1468766051274
111929026,-0.125,1.375,-0.6875,1468766051297
111952141,1.5,1.25,-0.3125,1468766051320
111966565,2.5,1.1875,0.1875,1468766051334
111989074,0.125,1.375,0.1875,1468766051357
112019689,-0.0625,1.3125,0.375,1468766051387
112026628,-0.25,1.3125,0.4375,1468766051394
112049047,-0.75,1.125,0,1468766051417
112072002,0.5625,0.4375,0.0625,1468766051440
112086534,0.6875,-0.375,-0.25,1468766051454
112108933,0.5,-1.0625,-0.5,1468766051477
112132093,1.6875,-1.1875,-0.6875,1468766051500
112153119,2.0625,-1.1875,-0.625,1468766051521
112168906,1.0625,-1.1875,-0.5625,1468766051537
112192173,-0.4375,-0.5,-0.4375,1468766051560
112213366,-5.8125,0.1875,-0.3125,1468766051581
112229091,-8.125,-0.4375,0.0625,1468766051597
112252244,-4.25,-0.5625,-0.4375,1468766051620
112273340,-0.1875,-1.25,-0.9375,1468766051641
112288960,0.5625,-2.375,-1.9375,1468766051657
112312225,1.9375,-3.25,-1.875,1468766051680
112333202,-0.9375,-3.8125,-1.8125,1468766051701
112348960,-2.0625,-3.875,-1.125,1468766051717
112372112,-2.125,-3.9375,-0.3125,1468766051740
112393359,-1.3125,-4.375,-0.1875,1468766051761
112408975,-1.5,-5.1875,0.1875,1468766051777
112431482,0.25,-6,0.8125,1468766051799
112453386,-0.0625,-6.75,2.0625,1468766051821
112469025,-0.375,-6.625,2.5625,1468766051837
112491483,1.125,-7.375,3,1468766051859
112513206,4.1875,-7.8125,2.4375,1468766051881
112528933,5.8125,-6.6875,0.75,1468766051897
112551519,4.5,-7,-0.9375,1468766051919
112574630,4.0625,-6.625,-1.8125,1468766051942
112588981,1.875,-5.9375,-1.5625,1468766051957
112611676,-1.375,-5.125,-1.3125,1468766051979
112634677,-1.875,-4.6875,-1.25,1468766052002
112649010,-1.5625,-4.4375,-1,1468766052017
112671570,-0.0625,-4.125,-0.75,1468766052039
112694663,1.4375,-3.3125,-0.4375,1468766052062
112709102,1.75,-2.75,0.0625,1468766052077
112731502,0.5625,-2.0625,0.4375,1468766052099
112754655,0.4375,-1.25,0.6875,1468766052122
112768959,-2,-0.5625,0.0625,1468766052137
112782567,-0.9375,-0.1875,-0.3125,1468766052150
112805052,0.6875,0.375,-0.375,1468766052173
112828434,0.75,0.9375,-0.625,1468766052196
112850844,0.4375,1.375,-0.9375,1468766052219
112865132,0.125,1.8125,-1.25,1468766052233
112888307,0,2.0625,-1.125,1468766052256
112902608,0.1875,2.125,-0.9375,1468766052270
112925054,0.125,2.0625,-1,1468766052293
112948234,0.6875,1.75,-1.3125,1468766052316
112962597,0.8125,1.375,-1.8125,1468766052330
112985276,1.6875,1.0625,-1.875,1468766052353
113008267,1.6875,0.6875,-1.8125,1468766052376
113022564,1.3125,0.625,-1.375,1468766052390
113045198,0.5625,0.5625,-1.0625,1468766052413
113068310,0.125,0.1875,-0.8125,1468766052436
113090833,0,-0.125,-0.9375,1468766052459
113106620,1.875,-0.3125,-0.6875,1468766052474
113128331,1.8125,-0.25,-0.5625,1468766052496
113144058,1.4375,-0.1875,-0.8125,1468766052512
113165237,1.125,-0.125,-0.8125,1468766052533
113188401,-0.125,0.25,-1.3125,1468766052556
113202783,0.6875,0.5625,-1.875,1468766052571
113225043,1.3125,0.8125,-2.5,1468766052593
113256478,1.75,1,-2.875,1468766052624
113262602,1.4375,1,-3.125,1468766052631
113285230,0.8125,0.8125,-3.3125,1468766052653
113308401,-0.4375,0.75,-3.9375,1468766052677
113322600,0.5625,0.6875,-4,1468766052690
113345265,0.6875,0.5,-3.625,1468766052713
113369695,0.5625,0.1875,-3.125,1468766052737
113382789,0.25,-0.1875,-2.8125,1468766052751
113406532,-0.1875,-0.5,-2.375,1468766052774
113428391,0.3125,-0.8125,-1.875,1468766052796
113442734,0.1875,-1,-1.6875,1468766052811
113465264,0.5625,-0.9375,-1.0625,1468766052833
113487576,0.25,-0.75,-0.25,1468766052855
113510927,-0.875,-0.4375,0.375,1468766052879
113525145,-0.75,-0.3125,0.875,1468766052893
113547674,-0.75,-0.625,1.125,1468766052916
113564019,-0.3125,-1.125,1.125,1468766052932
