myot,myox,myoy,myoz,myost
myot,myox,myoy,myoz,myost
151571635510,0.973633,-0.0791016,0.0610352,1464789360289
151571657367,0.975098,-0.0644531,0.0571289,1464789360311
151571672189,0.980469,-0.0688477,0.0556641,1464789360326
151571695862,0.973633,-0.065918,0.0551758,1464789360350
151571717215,0.976562,-0.0673828,0.059082,1464789360371
151571732238,0.974121,-0.0668945,0.0541992,1464789360386
151571786583,0.975586,-0.0629883,0.059082,1464789360440
151571788637,0.975586,-0.0678711,0.0551758,1464789360442
151571800757,0.975586,-0.0722656,0.0595703,1464789360454
151571818688,0.976562,-0.0644531,0.0649414,1464789360472
151571838729,0.973633,-0.0654297,0.0517578,1464789360492
151571853714,0.976074,-0.0654297,0.0571289,1464789360507
151571904534,0.978027,-0.0688477,0.0615234,1464789360558
151571914698,0.976074,-0.0683594,0.0615234,1464789360568
151571920988,0.979004,-0.065918,0.0556641,1464789360575
151571935936,0.976562,-0.0693359,0.0649414,1464789360590
151571958494,0.978027,-0.0698242,0.0620117,1464789360612
151571979512,0.976074,-0.0683594,0.0600586,1464789360633
151571996101,0.976074,-0.0703125,0.0546875,1464789360650
151572018524,0.977051,-0.0693359,0.0639648,1464789360672
151572039617,0.978516,-0.0717773,0.0561523,1464789360693
151572055307,0.975586,-0.0708008,0.0585938,1464789360709
151572077804,0.976074,-0.0766602,0.0566406,1464789360731
151572100234,0.979004,-0.0717773,0.0581055,1464789360754
151572115193,0.976074,-0.0708008,0.0571289,1464789360769
151572137695,0.976074,-0.0742188,0.0625,1464789360791
151572152088,0.973633,-0.0751953,0.0644531,1464789360806
151572175307,0.990723,-0.0810547,0.0585938,1464789360829
151572197802,0.964355,-0.0644531,0.0620117,1464789360852
151572212159,0.984863,-0.0878906,0.0668945,1464789360866
151572235291,0.978516,-0.0703125,0.0649414,1464789360889
151572257783,0.974121,-0.0820312,0.0678711,1464789360912
151572280188,0.975098,-0.0766602,0.0673828,1464789360934
151572295234,0.978516,-0.0761719,0.0629883,1464789360949
151572317740,0.972656,-0.0776367,0.0595703,1464789360971
151572332048,0.976074,-0.0771484,0.0639648,1464789360986
151572355240,0.977051,-0.081543,0.0605469,1464789361009
151572377757,0.977051,-0.0800781,0.0688477,1464789361031
151572392098,0.977051,-0.0771484,0.065918,1464789361046
151572415688,0.972656,-0.0820312,0.0639648,1464789361069
151572437698,0.972168,-0.0820312,0.0610352,1464789361091
151572452045,0.976562,-0.090332,0.0664062,1464789361106
151572475222,0.978027,-0.0917969,0.0756836,1464789361129
151572497732,0.972168,-0.0834961,0.0698242,1464789361151
151572512083,0.969727,-0.0844727,0.0683594,1464789361166
151572535244,0.972168,-0.0874023,0.0673828,1464789361189
151572559109,0.973145,-0.0878906,0.0703125,1464789361213
151572580248,0.973633,-0.0957031,0.0766602,1464789361234
151572595207,0.977051,-0.0844727,0.0800781,1464789361249
151572617789,0.970703,-0.0981445,0.0727539,1464789361272
151572632018,0.975098,-0.09375,0.0849609,1464789361286
151572655223,0.98291,-0.103516,0.0883789,1464789361309
151572677700,0.979492,-0.105469,0.0771484,1464789361331
151572692075,0.972168,-0.0927734,0.0727539,1464789361346
151572715229,0.974121,-0.0830078,0.0605469,1464789361369
151572737766,0.967773,-0.0893555,0.0717773,1464789361391
151572752035,0.976074,-0.0683594,0.0810547,1464789361406
151572775241,0.976562,-0.0488281,0.0317383,1464789361429
151572797824,0.973633,-0.0600586,0.0688477,1464789361452
151572812106,0.96875,-0.0644531,0.074707,1464789361466
151572835272,0.963379,-0.100098,0.090332,1464789361489
151572857779,0.967773,-0.0629883,0.0576172,1464789361512
151572880251,0.973633,-0.0942383,0.0800781,1464789361534
151572894588,0.965332,-0.0810547,0.0727539,1464789361548
151572917080,0.966309,-0.0854492,0.0751953,1464789361571
151572932081,0.969727,-0.0888672,0.0712891,1464789361586
151572954593,0.97168,-0.0795898,0.0688477,1464789361608
151572985913,0.973145,-0.0766602,0.0668945,1464789361640
151572992061,0.973145,-0.0742188,0.0698242,1464789361646
151573014608,0.96875,-0.0810547,0.0654297,1464789361668
151573037034,0.977051,-0.0810547,0.0629883,1464789361691
151573068419,0.973633,-0.0664062,0.0581055,1464789361722
151573074588,0.976562,-0.074707,0.0546875,1464789361728
151573097093,0.975098,-0.0727539,0.0561523,1464789361751
151573112025,0.978027,-0.0664062,0.0561523,1464789361766
151573135263,0.980957,-0.0644531,0.0683594,1464789361789
151573157861,0.980957,-0.0756836,0.0541992,1464789361812
151573180388,0.980469,-0.0927734,0.0478516,1464789361834
151573195312,0.959473,-0.11084,0.0820312,1464789361849
151573219288,0.981934,-0.0825195,0.0537109,1464789361873
151573232133,0.961914,-0.0878906,0.0483398,1464789361886
151573254673,0.994141,-0.0532227,0.043457,1464789361908
151573277808,0.979492,-0.0634766,0.0380859,1464789361931
151573292145,0.963867,-0.0639648,0.0322266,1464789361946
151573314540,0.981934,-0.0458984,0.0356445,1464789361968
151573337776,0.97998,-0.0556641,0.0366211,1464789361991
151573352049,0.979492,-0.043457,0.0380859,1464789362006
151573382769,0.980957,-0.0415039,0.0224609,1464789362036
151573397773,0.979492,-0.0493164,0.0244141,1464789362051
151573412061,0.977051,-0.0483398,0.0307617,1464789362066
151573434547,0.980469,-0.0444336,0.0322266,1464789362088
151573459130,0.979004,-0.0527344,0.0253906,1464789362113
151573472053,0.975098,-0.0415039,0.0263672,1464789362126
151573494522,0.983398,-0.0454102,0.0205078,1464789362148
