myoTS,x,y,z
264848387444,0.375,3.125,6.5
264848402546,0.75,4.375,5.5
264848423798,2.9375,4.625,4.4375
264848447534,9.0625,3.375,2.9375
264848462527,9.6875,4.1875,1.3125
264848483897,5.8125,4.875,2.625
264848523158,1.9375,3.6875,3.125
264848545942,-0.125,3.1875,4.125
264848546765,0.375,1.6875,5
264848567562,3.3125,-1.5625,4.625
264848585269,1.375,-2.5625,4
264848605363,-4.125,-1.0625,4.6875
264848641084,-8.0625,-0.0625,1.6875
264848651278,-6.3125,0.125,-0.125
264848665063,-0.25,1.8125,1.1875
264848686169,4.4375,2.9375,2
264848702607,2.5625,3.375,2.4375
264848725112,-3.6875,1.8125,2.25
264848746158,-6.125,0.125,2.25
264848762531,1.8125,-3.6875,3.125
264848785094,4.4375,-3.75,2
264848806191,8.125,-3,-2
264848822547,6.375,-1.6875,-4.875
264848851808,4.5,-0.6875,-11.4375
264848866170,3,0.3125,-12.5
264848882554,6,-1,-13.25
264848905073,8,-3.5,-10.5
264848926155,7.375,-8,-6.4375
264848942611,3.5,-12.0625,-2.875
264848965046,-1.125,-14.875,-0.375
264848986142,-3.1875,-16.1875,0.1875
264849002574,-5,-18.1875,-3.6875
264849025073,-12.3125,-21.5,-7.75
264849046168,-20.75,-25.125,-10
264849062555,-26.125,-26,-13.1875
264849085091,-23.8125,-26,-15.1875
264849107577,-18.375,-25.0625,-16.625
264849122526,-16.5,-21.6875,-17.125
264849145073,-17.625,-16.625,-16
264849166177,-15.9375,-11,-14.9375
264849182550,-10.25,-6.1875,-12.125
264849205062,0.1875,-2.25,-8.8125
264849227603,7.0625,0.75,-6.125
264849242582,8.75,3.375,-2.5
264849265097,8.8125,5.0625,-0.1875
264849287586,6.875,5,1.25
264849301764,6.125,2.625,2.75
264849324349,5.6875,0.5,4.1875
264849347027,3.5,-0.3125,5.6875
264849363346,0.5625,-0.25,7.125
264849384442,0.0625,0.9375,8.0625
264849406971,1.5625,2.875,9.3125
264849421881,1.8125,6.375,10.6875
264849444300,3.3125,8.375,14.625
264849466781,8.4375,8.6875,18.75
264849489446,17.8125,8.625,20.375
264849504269,19.75,8.5,22.1875
264849526928,13.5625,9.9375,22.6875
264849541109,7.375,10.9375,21.3125
264849564286,4.1875,12.125,20.0625
264849586825,6.5625,11.6875,17.5
264849601140,12.625,8.375,12.0625
264849624301,10.4375,5.4375,5.1875
264849646830,2.4375,3.9375,-1.8125
264849662683,-3.0625,2.375,-4.875
264849684500,-3.4375,1.625,-1.375
264849707001,-0.875,2.1875,4.75
264849723332,1,3.1875,10.625
264849744531,2,5.125,15.5
264849767034,4.9375,5.625,16.375
264849783311,0.6875,6.8125,13.4375
264849804317,5.625,7.0625,7.1875
264849826936,13.5625,6.125,1.3125
264849843314,13.3125,6.0625,-1.875
264849864522,9.75,6.0625,-2.375
264849886867,3.25,3.75,-0.6875
264849903281,-4.0625,1.375,0.5625
264849924492,-8.25,0.5,1.4375
264849947052,-4.5,-0.3125,0.8125
264849963316,1.4375,-0.75,0.75
264849984436,3.375,0.1875,0.0625
264850006838,-1.1875,1,-0.1875
264850023293,-6,1.375,-0.1875
264850044328,-6.375,0.9375,-0.5625
264850066794,-4.8125,0.3125,-1.125
264850083320,-4.8125,-0.25,-1.375
264850104315,-3.5625,-1.4375,-1
264850126841,-2.8125,-2.3125,-0.375
264850143355,-2.6875,-2.125,0.125
264850164397,-2.5625,-1.375,0.8125
264850186859,-1.1875,-1.0625,1.1875
264850202702,0.9375,-1.25,1.375
264850224530,0.4375,-1.5,1.125
264850247006,-2.125,-1.8125,0.5
264850262635,-2.875,-1.875,0.625
264850285784,-1.75,-2.0625,0.5625
264850306842,-2.8125,-1.875,1.375
264850322695,-4.75,-2.0625,1.9375
264850345963,-6.5,-2.3125,1.9375
264850366926,-8.1875,-1.9375,1.5625
264850382646,-6.6875,-0.375,1.6875
264850405789,-1.0625,0.875,2.25
264850426945,3.0625,1.0625,2.3125
264850442696,4.125,1,0.9375
264850466003,0.8125,0.8125,-0.125
264850486864,-3.5625,0.25,-0.5625
264850502637,-2.5625,-0.5,-0.125
264850525772,-0.8125,-0.9375,0.4375
264850546790,0.5,-0.75,0
264850562576,1.25,-0.375,-0.125
264850585744,0.5,-0.375,0.3125
264850606824,-0.25,-0.25,0.6875
264850622630,-0.5625,-0.125,0.75
264850645753,-0.625,-0.4375,0.4375
264850667016,-0.125,-0.5,-0.0625
264850682652,-0.5,-0.6875,-0.3125
264850705786,-0.375,-1.375,-0.375
264850727049,-0.625,-1.8125,-0.125
264850742671,-0.0625,-2.625,0.1875
264850765913,-1.1875,-2.375,1.3125
264850786846,-2.0625,-1.5,2.4375
264850802657,1,-0.75,2.6875
264850825904,9.875,-0.875,2.4375
264850846900,21.6875,-3.9375,1.375
264850862743,31.1875,-9.25,-3.25
264850885796,32.25,-12.6875,-4.25
