myot,x,y,z
12022481825,-0.1875,1,1.5625
12022505519,0.25,0.125,1.125
12022521763,-1.0625,-1.25,0.125
12022541829,-1.875,0.3125,0.375
12022565515,1.625,0,0.625
12022580568,0,0.4375,1.0625
12022619441,-2.25,0.75,0.6875
12022621097,0,0.875,0.1875
12022641188,0.375,0.8125,0.375
12022658300,-0.3125,-0.25,0.375
12022676952,0.25,-0.3125,0.0625
12022701503,1.125,-0.3125,0.125
12022736733,1.125,-0.3125,0.4375
12022746882,0.5,-0.4375,0.5625
12022759815,0.8125,-0.4375,0.75
12022782393,0.9375,-0.9375,1.0625
12022797536,0.75,-1.125,1.4375
12022820060,0.5,-1.1875,1.8125
12022835024,-0.3125,-1.3125,2.25
12022857486,-1.75,-2.4375,2.875
12022879903,-2.6875,-4.4375,3
12022903763,-4.9375,-6.375,3
12022917484,-4.8125,-8,2.625
12022939951,-3.625,-8,2.3125
12022955041,-4.5625,-8,2.1875
12022977451,-4.3125,-8.25,2
12022999753,-1.3125,-7.8125,2
12023014803,-0.875,-6.3125,1.875
12023037500,-1.9375,-5.5,1.625
12023059858,-0.6875,-4.9375,1.4375
12023074917,0.875,-4.3125,1.3125
12023097549,-0.3125,-3.8125,1.1875
12023119864,-0.625,-3.4375,0.875
12023142325,0.875,-3.0625,0.875
12023157325,-0.5625,-2.9375,0.625
12023179860,-0.3125,-2.9375,0.625
12023194202,0.3125,-2.625,0.625
12023217370,-1.3125,-2,0.3125
12023239854,-1.4375,-2,0.125
12023255586,0,-1.5,0.0625
12023277342,-1.3125,-0.875,0.0625
12023299864,-3.4375,0.1875,0
12023314206,-1.9375,0.3125,0
12023337381,-1.25,-0.5,0.25
12023359634,-1.3125,-0.4375,0
12023374185,-2,-1.4375,-0.3125
12023397318,-2.9375,-2.5,-0.5625
12023419828,-2.625,-2.6875,-0.75
12023434135,-2,-1.9375,-0.75
12023457070,-4.8125,-2.125,-0.875
12023479829,-1.25,-2.75,-0.4375
12023494192,1,-2.375,-0.1875
12023517388,-0.3125,-0.6875,0
12023539857,-1.3125,-0.1875,0.1875
12023555652,0.1875,-0.25,0.4375
12023577446,0.8125,-0.75,0.5
12023599865,0.0625,-1,0.4375
12023614214,-1.125,-1.25,0.625
12023637370,-0.125,-1.3125,0.875
12023659877,0,-1.8125,1
12023674220,-0.625,-2.5625,1.0625
12023697321,-1,-2.75,0.8125
12023719802,-0.125,-3.0625,0.625
12023742335,-0.5625,-3.0625,0.625
12023758728,-0.8125,-2.125,0.4375
12023779818,-0.625,-1.625,0.5
12023795613,0.25,-1.3125,0.4375
12023818754,2,0.125,0.5625
12023839807,0.125,1.5,0.5
12023855630,0.375,1.8125,0.6875
12023878775,0.8125,1.75,0.625
12023899826,0.5,1.375,0.75
12023915666,0.5625,1.4375,0.75
12023945015,0.875,1.125,0.625
12023960029,1.4375,1.625,0.1875
12023975668,1.8125,1.4375,0.3125
12023998845,1.0625,2.8125,0.5
12024019826,3,3.4375,0.6875
12024035627,0.375,3.25,0.125
12024058881,1.625,3.6875,-0.25
12024080011,0.125,3.5,-0.25
12024095693,-0.25,4.125,0.0625
12024118221,2.125,4.125,0
12024139943,0.875,3.9375,-0.125
12024155650,-0.4375,3.1875,-0.1875
12024178186,1.9375,2.6875,0.0625
12024200024,1.875,3.125,0.0625
12024223789,0.1875,3.5625,-0.0625
12024238123,0.875,3.125,0.25
12024259949,1.5625,2.0625,0.4375
12024275710,2.625,1.375,0.8125
12024298150,0.375,0.25,0.625
12024321352,0.9375,-0.1875,0.75
12024335635,1.25,0.125,0.8125
12024358214,1.25,-0.125,1.125
12024381338,1,0.0625,1.3125
12024395633,2.6875,0,1.3125
12024418165,-0.25,0.25,0.5
12024441286,-0.25,-0.25,0.125
12024455608,-0.3125,-0.1875,0.0625
12024478109,0.0625,-0.625,-0.4375
12024501247,0.9375,-0.75,-0.75
12024515636,-5.0625,1.375,-1.9375
12024538128,-12.4375,3.9375,-3.375
12024561271,-6.9375,5.5625,-2.875
12024575617,-12.3125,7.75,-3.875
12024598100,-20.0625,7.4375,-5.5
12024621256,-8,9.3125,-5.625
12024643847,-9.5,21.4375,-7.0625
12024658124,-8.3125,19.5,-6.5625
12024681295,-3.75,61.5625,-12.75
12024702342,6.125,18.5,-10.9375
12024718098,10.25,7,-10.0625
12024741339,0.5,-0.4375,-10.1875
12024762387,6.1875,-3.25,-10.8125
12024778138,18.25,-6.5625,-10.875
12024801314,25.125,-7.1875,-8.5
12024823751,20.625,-7.3125,-7
12024838147,7.0625,-10.5,-7.375
12024868837,12.25,-10.6875,-7.0625
12024882358,14.8125,-10.125,-6.125
12024898117,8.25,-7.125,-5.4375
12024921248,-9.875,-6,-4.4375
12024942372,0.0625,-3.3125,-4.8125
12024958148,3.6875,-0.5625,-4.3125
12024981304,-9.4375,-0.125,-4
12025002325,-13,-2.4375,-5.3125
12025018118,-5.3125,-4.25,-6.8125
12025040606,-6.75,-6.1875,-7.5625
12025062320,-17.5,-9.0625,-7.1875
12025078113,-18.5,-15.3125,-7.5625
12025100627,-7,-21.875,-8.375
12025122372,-6.5,-25.9375,-9.5625
12025138164,-9.5,-25.625,-11.375
12025167341,-9.1875,-24.1875,-13.5625
12025182353,-6.0625,-22.0625,-15.9375
12025198103,-7.25,-20.4375,-18.0625
12025220658,-14.6875,-19.375,-20.1875
12025244490,-17.1875,-19,-21.75
12025258134,-16.125,-18.8125,-23.0625
12025280652,-23.25,-18.375,-24.6875
12025303793,-28.5,-18.5625,-25.125
12025318108,-31.375,-19.1875,-24.9375
12025340605,-34.875,-19.875,-24.5
12025371288,-33,-20.8125,-23.875
12025378161,-36.9375,-21.8125,-22.9375
12025408761,-38.8125,-23.125,-21.9375
12025423755,-37.4375,-23.9375,-20.1875
12025444852,-30.9375,-23,-19.0625
12025460656,-29.9375,-22.9375,-18.5
12025483786,-27.75,-20.625,-17.4375
12025504859,-26.625,-19.5,-16.5625
12025520623,-21.8125,-19.3125,-14.3125
12025543825,-13.3125,-16.25,-13.0625
12025564898,-14.125,-14.75,-13.25
12025580671,-19.3125,-13.375,-13.125
12025603805,-18.1875,-13.3125,-12.6875
12025624864,-14.125,-12.8125,-12.9375
12025640625,-13.9375,-12.8125,-13.3125
12025663781,-7.75,-11.4375,-12.4375
12025684837,-3.5,-9.5,-11.625
12025700659,-6.625,-8.5,-11.6875
12025723808,-9.4375,-7.625,-11.75
12025745031,-8.6875,-7.4375,-12.3125
12025760688,-7.0625,-7.0625,-12.125
12025783881,-6.375,-6.0625,-11.75
12025805032,-9.8125,-6,-11.5625
12025820687,-11.125,-7.4375,-12.25
12025843914,-12.125,-10.3125,-12.25
12025865015,-7.9375,-15.875,-13.125
12025880691,-2.3125,-24,-14.9375
12025903126,-0.875,-31.8125,-17
12025924896,4.8125,-36.3125,-18.9375
12025940644,4,-42.3125,-20.125
12025963126,3.8125,-34.9375,-21.5
12025985057,-25.25,31.3125,-20.375
12026000706,-16.125,-43.875,-32.8125
12026023221,25.25,-64.75,-34.625
12026045075,42,-63.3125,-31.5
12026060714,45.1875,-60.9375,-24
12026083284,32.25,-55.3125,-13.5
12026096908,18.0625,-48.25,-6.5
12026119951,-2.875,-34.75,2.5625
12026134488,-21.375,-14.6875,14.9375
12026156681,53.5625,10.5625,23.25
12026179905,67.5,35.5,29
12026194210,53.9375,59.8125,35.25
12026216683,63.0625,82.3125,37.875
12026239862,54.0625,100.375,41
12026254254,39.8125,116.312,43.25
12026276719,38.3125,130.375,45.6875
12026299884,44.25,141,48.8125
12026314197,52.375,146,50.125
12026336752,54.625,148.25,51.125
12026360078,62.5,145.125,51.0625
12026374396,75.375,138.375,49.3125
12026396939,77.6875,130.188,47.375
12026420069,73.75,125.812,45.0625
12026434448,57.5625,114.25,44.0625
12026456881,73.5,105.688,40.6875
12026488228,70.75,92.125,36.4375
12026494536,76.625,82.8125,24.125
12026516942,56.9375,75.75,18.25
12026540163,32.1875,67.8125,15
12026554258,11.75,59.3125,16.1875
12026576747,16.5,46.375,12.3125
12026608085,19.25,28.5625,11.75
12026614194,28.0625,3.875,10.5
12026636688,16.6875,-21.375,8.5625
12026659856,1.1875,-49.5,8.5625
12026682618,4.1875,-45,-0.5625
12026696791,38.8125,-29.3125,13.8125
12026719968,92.125,-76.125,7.9375
12026734204,53.6875,-105.375,19.625
12026756897,98.625,-106,26.8125
12026779995,49.0625,-80.625,19
12026794426,81.9375,-65,22.25
12026816972,5.25,-54.8125,13.25
12026839919,-100.625,-51.4375,15.6875
12026854403,-68.3125,-48.75,12.125
12026876808,28.875,-48.9375,13.25
12026899886,48.375,-45.75,12.8125
12026914209,16.5,-40.8125,9.75
12026936739,-38.25,-38.375,8.5
12026959833,-69.25,-36.125,7.875
12026974185,-69.8125,-36.25,9.625
12026996742,-39.25,-40.6875,11
12027019896,-1.4375,-43.1875,10.6875
12027034515,-14.25,-45.75,9.6875
12027056956,-41.4375,-52.4375,9.5625
12027080066,-36.875,-50.75,7.3125
12027094353,-11.1875,-47.125,6.125
12027116941,-7,-41.75,5.4375
12027139209,-19.6875,-39.625,4.4375
12027154455,-24.25,-39.125,7.5625
12027176970,-27.1875,-39.1875,3.75
12027199448,-30.9375,-41.375,3.25
12027214266,-33.125,-43.75,3
12027236749,-35.5,-47,2.0625
12027259226,-38.5625,-51.6875,0.6875
12027274231,-39,-53,0.25
12027296720,-45.75,-55,-1.0625
12027319182,-55.875,-59.875,-1.875
12027334238,-57.625,-66.125,-3.1875
12027356712,-56.625,-72.6875,-8.4375
12027380679,-45.375,-75.8125,-12.6875
12027394225,-57.75,-81.9375,-19.4375
12027416813,-64.5,-85.125,-25.3125
12027439374,-60.1875,-94.6875,-40.3125
12027454461,-60.375,-104.312,-41.9375
12027476942,-98,-115.125,-53.875
12027499495,-129.75,-105.125,-57
12027514447,-164.562,-108.625,-39.0625
12027536743,-79.25,-143.812,-24.0625
12027559219,27.5625,-160.312,-19.1875
12027577126,40.5,-153.688,-13.875
12027596744,17.25,-134.562,-0.25
12027628041,55.25,-98.875,1.125
12027634184,45.625,-63.5,15.625
12027656729,-26.1875,-10.5,13.625
12027679244,-54.5625,21.75,0.5625
12027694311,-50.1875,65.25,2.5
12027717006,-1.75,110.812,-1.75
12027739428,13.625,152.625,3.4375
12027754451,19.8125,179.812,3.6875
12027776722,21.5625,199.562,7.875
12027799462,22.625,218.188,7.125
12027814203,3,225.5,10.0625
12027836974,-2,226.688,18.6875
12027859438,8.0625,226.125,26.9375
12027875800,17.4375,219.812,38.0625
12027904696,49.6875,215.938,44.75
12027919474,52.6875,213.688,46.5625
12027935719,38.5625,207.125,50.9375
12027958506,52.0625,198.938,51.25
12027979296,40.625,188.25,44.5625
12028003856,47,180.75,41.5625
12028016784,66.625,169.062,36.5625
12028039256,64,147.438,29.125
12028055651,80.9375,124.562,26.875
12028076937,90.125,97.0625,21.1875
12028107490,66.625,60.9375,11.9375
12028123250,18.0625,20.6875,4.0625
12028136737,-0.6875,-27.5,-1.6875
12028159282,-29.75,-63.4375,-0.125
12028175684,-33.0625,7.125,-4.1875
12028196739,33.75,-62.6875,53
12028219229,72.625,-64.375,10.125
12028235683,124.75,-80.875,47.25
12028256734,145.938,-97.1875,32.8125
12028279299,6.375,-76.375,30.375
12028295731,44.6875,-64.4375,34.4375
12028316757,-12.5,-53.5625,17.25
12028339265,-78.1875,-46.875,21.5
12028355716,-66.0625,-43.1875,22.6875
12028376769,4.75,-38.875,24.4375
12028399297,52.75,-33.875,27.875
12028415671,30.0625,-24.9375,24.4375
12028436776,-15.375,-16.4375,17.5
12028460701,-32.25,-14.125,10.8125
12028475906,-18.75,-16.25,5.125
12028496771,3.375,-23.4375,1.375
12028519276,-13.625,-30.9375,0.125
12028535679,-22.6875,-32.5,-1.0625
12028556736,-25.6875,-34.25,-1.75
12028580679,-21.625,-32.625,-3
12028595701,-20.375,-31.75,-4.1875
12028616801,-26.125,-32.25,-4.5625
12028639277,-16.1875,-31,-4.375
12028655738,-13.875,-29.625,-5.5625
12028676803,-18.0625,-27.25,-5.5
12028707455,-23.6875,-24.0625,-7.375
12028715715,-16.75,-27.5625,-12.25
12028738211,-15.5625,-28.5,-10.125
12028759294,-30.0625,-28.25,-11.6875
12028775695,-18.125,-28.375,-13
12028796761,-22.75,-32.875,-14.3125
12028819259,-10.125,-26.75,-14.4375
12028835721,-19.3125,-22.5625,-14.625
12028858219,-19.3125,-17.875,-13.625
12028879289,-22.125,-14.1875,-13.625
12028895724,-17.8125,-17.125,-10.5625
12028918677,4.875,-13.625,-8.875
12028939307,-2.25,-10.375,-8.5625
12028955684,-19.4375,-8.5,-7
12028978220,-22.0625,-9.5,-5.875
