timestamp,x,y,z
11916721520,0.6875,-1.6875,5.5625
11916744030,-0.125,-1.3125,5.75
11916767687,-0.3125,-0.5,4.375
11916782688,1.4375,0.3125,2.9375
11916804055,2.1875,0.9375,1.75
11916827730,1.0625,0.5625,1.3125
11916881721,-1.6875,-0.3125,1.3125
11916882484,-1.8125,-1.0625,0.5625
11916889775,-0.5,-1.6875,-0.25
11916903300,1,-1.4375,-1.0625
11916924831,1.1875,-1.6875,-2.0625
11916947665,0.3125,-2.5,-1.6875
11916991395,-2.5,-1.875,-0.625
11917001591,-2.5625,-1.3125,-0.3125
11917007802,-0.9375,-0.875,-0.25
11917022768,1.5625,-0.5,-0.625
11917045350,2.1875,-0.625,-0.5
11917074495,0.3125,-0.0625,-0.25
11917090913,-1.4375,-0.1875,0
11917113451,-0.5,-0.125,0.125
11917134533,0.1875,-0.3125,0.125
11917150982,1.1875,-0.5,0.375
11917173473,0.8125,-0.5,-0.375
11917194505,0.375,-0.5,-0.5
11917210942,0.125,0.1875,-0.5625
11917239832,0,0.3125,-0.625
11917254502,-0.125,0.1875,-0.625
11917277038,-0.0625,-0.1875,-0.625
11917293403,0.0625,-0.1875,-0.3125
11917314577,0.25,-0.125,-0.75
11917330930,0.6875,0.625,-1
11917353437,0.4375,0.625,-0.5
11917374452,-1.0625,0.25,-0.1875
11917390953,-1.125,0.125,-0.6875
11917413490,0.6875,0.0625,-0.1875
11917434699,1.4375,-0.25,-0.5
11917450920,1,-0.6875,-0.625
11917473579,-1.375,-0.6875,-0.5
11917503429,-1.125,-0.9375,0.1875
11917511001,-1.0625,-0.9375,0.0625
11917524034,0.4375,-0.5625,0.4375
11917546340,1.9375,0.0625,0.75
11917561459,1.125,0.375,1.125
11917583881,-0.4375,0.875,0.75
11917606338,0.5625,1.0625,1.25
11917621370,1.375,0.8125,1.4375
11917643900,1.8125,0.5625,2
11917666445,1.625,0.375,2
11917681606,1.6875,-0.0625,1.9375
11917703837,1.625,-0.25,1.8125
11917726441,1.3125,-0.6875,1.1875
11917741274,1.25,-0.5,1.75
11917763828,0.6875,-0.375,0.9375
11917786330,-0.1875,0.3125,0.0625
11917809483,0.3125,0.6875,-0.0625
11917823821,0.5,0.375,0.25
11917846531,-0.1875,0,0.5625
11917862837,0.125,-0.375,0.625
11917884100,0.125,-0.4375,0.0625
11917906564,0.375,-0.75,0.25
11917921374,-0.6875,-1.5625,0.1875
11917944035,-1.875,-1.9375,0.0625
11917966578,-1.25,-2.125,-0.1875
11917981535,0.4375,-2.4375,-0.625
11918003857,1.1875,-3,-0.1875
11918026407,-0.6875,-2.75,-0.1875
11918041528,-3,-2.5,0.4375
11918064057,-2.5,-2.25,0.125
11918086357,-0.25,-1.75,-1.5625
11918101577,0.375,-0.5,-2.125
11918123978,-1.5625,-0.0625,-1.375
11918146546,-4,0.125,-0.625
11918161547,-2.6875,0.625,-1.875
11918184009,0.75,0.4375,-1.875
11918206488,0.9375,0.75,-0.6875
11918230387,-2.4375,-0.0625,-0.4375
11918243836,-3.8125,-0.1875,1.0625
11918266391,-0.3125,0.0625,1.6875
11918288877,4,0.9375,1.1875
11918303843,4.625,2.8125,1.25
11918326407,0.9375,3.25,1.9375
11918344299,-2.0625,3,2.1875
11918364053,-0.75,2.625,1.8125
11918386382,2.5625,2.0625,0
11918402812,3.6875,1.4375,-1.5
11918423848,-0.375,0.125,-0.6875
11918446343,-5.375,-2.125,-0.3125
11918461364,-5.4375,-3.875,-0.75
11918483859,0.9375,-4.8125,-2.5
11918506397,7.0625,-4.5625,-3.5
11918521358,6.4375,-2.875,-3.25
11918543833,2.625,-0.75,-2.5625
11918566457,-1,0.875,-1.1875
11918582765,-2.25,1.75,0.875
11918603882,-2.0625,1.1875,1.5625
11918626421,0.125,0.5,2.5625
11918648912,2.5625,-0.8125,3
11918663846,3.8125,-1.6875,2.375
11918694535,2.3125,-2.0625,2.75
11918702808,0.1875,-2.5625,3.625
11918723882,-1.5625,-2.125,3.4375
11918746373,-0.9375,-1.375,2.0625
11918764304,0.125,-0.5,2
11918783853,0.75,0,2.25
11918806324,-0.4375,0.25,0.8125
11918822801,-0.8125,0.125,-0.125
11918846797,-0.5,-0.3125,-0.625
11918866412,-0.4375,-0.6875,-1.1875
11918884263,-0.5625,-1.1875,-1.5
11918903862,-0.5625,-1.25,-1.4375
11918926362,-0.4375,-1.5,-0.9375
11918944228,-0.375,-1.4375,0.0625
11918963871,-1.1875,-0.75,-1.0625
11918986427,-0.25,-0.125,-0.25
11919004275,0.8125,0.5,0.3125
11919023859,0.375,1.3125,0
11919047809,-1.125,1.9375,0.6875
11919064277,-1.5,1.8125,2.375
11919083914,-0.875,1.25,2
11919106444,1.0625,0.4375,-0.3125
11919124277,3.25,0.4375,0.8125
11919143841,3.1875,0.4375,1.4375
11919166346,0.375,0.1875,0.4375
11919184272,-1.1875,0,1.125
11919203848,-0.4375,-0.625,1.5625
11919226394,1.1875,-1.125,0.875
11919244297,1.75,-0.9375,0.625
11919263893,1.3125,-0.75,0.1875
11919286423,0.625,-0.75,0.25
11919304282,1.1875,-0.75,-0.375
11919323925,2.75,-1.5,-2.25
11919349275,3.75,-3.375,0
11919364308,2.375,-5.25,0.875
11919386763,-1.5,-4.8125,-1.25
11919406394,-1.5625,-3.6875,0.3125
11919424274,-1.8125,-3.1875,-0.25
11919443880,-3.125,-2.1875,0.25
11919466413,-3.75,-2.625,-0.4375
11919484261,-3.4375,-2.9375,0.25
11919505292,-2,-3.0625,2.5625
11919529324,-0.625,-0.875,4.0625
11919551772,0.625,2.5,3.875
11919565283,2.4375,7.0625,5.1875
11919586319,2.75,9,8.0625
11919604729,-0.875,7.9375,11.1875
11919625440,-3.5,4.75,15
11919646444,-3.1875,0.125,17.5625
11919664317,-1.875,-6.5625,19.75
11919685384,-3.25,-14.5,22.6875
11919706385,-6.3125,-21,26.6875
11919724284,-12.125,-22.5625,27.6875
11919745412,-13.0625,-22.5625,26.25
11919766457,-8.25,-20,25.9375
11919784306,1.9375,-16.3125,21.75
11919806781,4.75,-12.25,17
11919826445,1.625,-4.875,14.6875
11919844454,-3.75,1.9375,11.0625
11919866785,-5.1875,7.375,7.5
11919886366,-0.625,10.8125,4.5625
11919904428,1.3125,12.6875,1.9375
11919926799,0.125,13.0625,-1
11919946399,-1.4375,12.0625,-0.375
11919964303,-2.6875,10.25,0.75
11919986885,-4.9375,9.375,-1.125
11920006495,-2.9375,6.75,2.5625
11920024336,-1.9375,3.4375,1.5625
11920046833,-10.125,0.1875,-1.5625
11920067831,-4,0.75,2.1875
11920084417,-1.625,0.1875,4.625
11920106778,-3.875,-1.0625,5.375
11920126391,-4.25,-2.4375,4.5
11920144476,-2.375,-2.4375,2.3125
11920166848,-4.3125,-0.6875,1.9375
11920186646,-10.3125,-1.375,3
11920204323,-13.3125,-3.4375,0.75
11920231617,-14.1875,-5.1875,0.9375
11920246487,-14.75,-4.9375,2.8125
11920264459,-21.6875,-7.875,4.875
11920286815,-25.4375,-11.5,15.3125
11920306631,-8.625,-18.6875,12.5625
11920324462,27.125,-20.5,-9.6875
11920346094,30.125,-12.1875,-4.75
11920367202,11.75,-3.25,8.0625
11920383578,-5.9375,-1.25,5.8125
11920406024,1.25,-4.8125,-0.1875
11920427074,10.125,-0.625,-1.25
11920443567,24.0625,2.3125,0.1875
11920466157,23.3125,1.75,3.875
11920487257,12.875,0.3125,2.6875
11920503564,1.25,-0.6875,0.6875
11920526013,7.25,-0.6875,4.4375
11920547164,7.75,-0.9375,4.0625
