myoTS,x,y,z
492129449775,-3.0625,-0.5,10.6875
492129472980,2,0.5625,7.5
492129495525,6.25,1.25,2.5625
492129510414,4.125,0.375,-0.6875
492129532907,-2,0.125,-0.6875
492129555439,-6.625,0.4375,-0.125
492129569838,-8.375,-0.6875,-0.5625
492129592916,-8.5625,-1.375,-0.875
492129615418,-12.5625,-1,-0.0625
492129629789,-13.0625,-0.125,0.75
492129652943,-8.0625,0.5625,-0.125
492129675409,-2.875,1.1875,-0.8125
492129689806,-0.875,1.875,-0.625
492129712918,-1.75,2.3125,-1.125
492129735398,-8.0625,1.5625,-2.875
492129749753,-12.5,-0.125,-3.6875
492129772964,-13.5,-2.25,-4.0625
492129795429,-12.9375,-2.875,-4
492129809805,-11.375,-2.5,-3
492129832925,-6.875,-1.9375,-2.25
492129855448,-3.6875,-0.75,-1.625
492129876468,-1.4375,0.5625,-1.5
492129892916,1.875,1.4375,-1.5625
492129915499,6.625,1.625,-1.6875
492129937050,8.0625,1.4375,-0.5625
492129952943,5.25,1.1875,-0.4375
492129975444,0.625,0.8125,-0.5625
492129996515,-2.0625,0.1875,-1
492130012955,-2.875,-0.1875,-1.25
492130035413,-3,0.125,-1
492130056236,-3.6875,0.625,-1.4375
492130072894,-2.1875,1.3125,-2.5625
492130095430,-2.25,1.375,-2.5625
492130116508,-1.125,0.875,-1.8125
492130133373,1.75,0,-0.875
492130155447,4.5625,-0.375,0.3125
492130176504,2.5625,-0.125,1.8125
492130192928,-1.5625,0.5,2
492130215444,-1.5,0.375,0.5
492130244044,0.9375,0.0625,-0.75
492130252933,1.5,0.0625,-1.375
492130275488,0.8125,0.5625,-1.1875
492130296942,0.25,0.375,-1.1875
492130312915,1.25,0.1875,-1.1875
492130335198,1.5,0.1875,-1
492130358023,1.8125,0.1875,-0.4375
492130372918,0.75,0.5625,0.25
492130395452,-1.9375,0.75,0.6875
492130417978,-2.5625,0.25,0.0625
492130432981,-1.8125,-0.5,-0.125
492130455505,-0.6875,-0.875,0.25
492130478003,-0.4375,-0.4375,0.1875
492130492271,0.8125,-0.25,0
492130515556,3.3125,-0.375,-0.125
492130538103,5.375,-0.5625,0.625
492130552292,3.75,-0.125,0.8125
492130575478,2.0625,-0.25,0.125
492130598041,0.75,-0.3125,0.25
492130612332,-1.5,-0.5,0.4375
492130635452,-2.8125,-1.25,0.3125
492130657979,-1.625,-2.3125,0.1875
492130672304,0.75,-2.5,0.0625
492130695445,0.0625,-1.875,0.1875
492130717941,-2.75,-0.5625,0.9375
492130732301,-3.25,0,0.875
492130755459,-0.75,-0.0625,0.4375
492130777914,0,-0.375,0.8125
492130792266,-0.375,-0.25,1.5
492130815424,-0.5,0.125,1.8125
492130837948,-0.25,0.125,1.1875
492130859030,1.4375,0.0625,0.6875
492130875509,0.8125,0.3125,0.9375
492130898003,-1.375,0.875,1.0625
492130919068,-2.25,1,0.625
492130935547,-1.5625,0.875,0.3125
492130958066,0.125,0.9375,0.1875
492130979114,0.375,1,0.4375
492130995455,0.25,1,0.8125
492131018043,0.375,0.875,1.125
492131039141,1.25,0.75,0.5625
492131055593,1.5,0.375,0.1875
492131078031,0.0625,0.0625,0.25
492131099107,-1.3125,-0.125,0.5
492131115498,-1.1875,-0.3125,0.5
492131137988,0.1875,-0.4375,0.6875
492131159072,1.3125,-0.25,0.5
492131175538,1.6875,-0.25,0.25
492131197980,1.5,-0.25,0.625
492131219110,1.25,0.1875,0.875
492131235542,0.8125,0.5,0.875
492131257912,0.5,0.9375,0.375
492131280476,1.8125,0.5625,-0.125
492131295545,2.0625,0.3125,0
492131318019,1.0625,0.1875,0.5
492131340474,1,0.0625,0.25
492131355500,1.3125,-0.1875,0
492131378090,1.8125,-0.4375,0
492131406558,1.5625,-0.25,0.4375
492131415489,0.5625,-0.125,0.9375
492131437943,-0.4375,0,0.8125
492131460494,-0.3125,-0.0625,0.375
492131474899,1.25,-0.25,-0.1875
492131498035,0.5,0,-0.5625
492131520594,0.4375,0.8125,-0.8125
492131534902,-0.4375,1.3125,-0.375
492131558049,-0.1875,1.375,-0.125
492131580482,1.75,0.5625,0.1875
492131594870,3.25,-0.0625,0.4375
492131617996,1.5625,-0.5,0.9375
492131640579,-0.625,-0.1875,1.1875
492131654810,-1.4375,0,1.125
492131678061,-0.9375,0.125,0.6875
492131700449,-0.1875,0.125,0.1875
492131714836,-0.75,0.25,0.5
492131738036,-1.5625,0.0625,0.8125
492131760565,-1.875,0,0.5625
492131781547,-1.6875,-0.25,-0.0625
492131798008,-0.625,-0.4375,-0.4375
492131820553,-1.375,-0.4375,-0.0625
492131841633,-1.875,-0.0625,0.125
492131858016,-1.0625,-0.25,-0.0625
492131880543,0.1875,-0.3125,0.25
492131901567,0.1875,-0.4375,0.5625
492131918056,-0.75,-0.125,0.875
492131940569,-1.3125,0.0625,0.625
492131961568,-0.5,0.0625,-0.125
492131978081,-0.25,0,-0.5
492132000585,-0.375,-0.0625,-0.5
492132021618,-0.8125,-0.1875,-0.625
492132038055,-0.4375,-0.125,-0.9375
492132060497,-0.625,0.0625,-1
492132082995,-1.75,0.1875,-0.8125
492132098053,-1.4375,0.25,-0.75
492132120577,-1.125,0.0625,-0.4375
492132141676,-1.0625,0.25,-0.375
492132158010,-0.6875,0.3125,-0.5
492132180582,-0.0625,0.125,-0.4375
492132201520,0,0.1875,-0.125
492132218079,-0.75,0.25,-0.0625
492132240533,-0.5625,0.125,0.25
492132262973,0.375,-0.25,0.0625
492132284132,0.25,-0.3125,-0.125
492132300502,-0.5,-0.0625,-0.375
492132322976,-0.5625,0.1875,-0.6875
492132338067,-1.5625,0.3125,-0.6875
492132360563,-1.6875,0.3125,-0.4375
492132383061,-0.9375,0.25,-0.375
492132397321,-1,0.125,-0.375
492132420543,-0.8125,0.0625,-0.3125
492132443120,0.6875,0.125,-0.125
492132457401,0.625,0.375,-0.0625
492132480516,-1.0625,0.9375,-0.375
492132503058,-1.9375,1,-1
492132517378,-0.75,0.625,-1.25
492132540543,0.5625,0.3125,-1
492132563123,1.1875,0.0625,-0.6875
492132577381,0.9375,-0.0625,-0.5
492132608088,0.6875,-0.0625,-0.5
492132623020,0.25,-0.3125,-0.125
492132637346,-0.4375,-0.125,0.4375
492132660510,-1.3125,0.0625,0.625
492132683136,-1.5,0.1875,0.25
492132697406,-0.9375,0.1875,0.1875
492132720487,-1.1875,0.1875,0.1875
492132743103,-0.625,0,-0.0625
492132764095,-0.75,-0.1875,0
492132780574,-0.75,-0.25,-0.25
492132803073,-0.6875,-0.25,-0.3125
492132824134,-0.8125,-0.125,-0.4375
492132840607,-0.3125,0.0625,-0.375
492132863028,-0.25,0.25,-0.4375
492132884162,-0.375,0.25,-0.3125
492132900554,-0.3125,0.125,-0.1875
492132922976,-0.0625,0.125,-0.25
492132944155,0.75,-0.0625,-0.375
492132960524,0.125,-0.0625,-0.6875
492132983110,0.0625,-0.6875,-1.3125
492133005558,4.25,-2.4375,-1
492133020560,7,-3.3125,-0.0625
492133043037,9.25,-3,0.6875
492133064040,11.625,-2.125,-1.625
492133080532,18.4375,-0.3125,-2.6875
492133102993,29.6875,-0.9375,-1.25
492133124070,39.9375,-1.375,-1.25
492133139869,43,0.125,-3.625
492133162999,42.6875,5.375,-9.1875
492133185623,36.5,12.625,-10.25
492133200006,19.3125,20.125,-10.625
492133223083,-2.5,30.3125,-12.25
