myot,myox,myoy,myoz
1455552157,myox,myoy,myoz
605066956351,0.0200195,0.265137,0.967285
605066971528,0.0205078,0.277832,0.965332
605066992807,0.0244141,0.285645,0.970215
605067016504,0.0258789,0.285645,0.963379
605067031510,0.0219727,0.293457,0.972656
605067052866,0.0273438,0.283691,0.975586
605067077736,0.0200195,0.283203,0.967773
605067107175,0.0200195,0.285645,0.963379
605067109271,0.0258789,0.278809,0.961914
605067129304,0.0141602,0.269531,0.96875
605067151538,0.012207,0.274902,0.974609
605067169267,0.0180664,0.274414,0.970215
605067197507,0.0209961,0.266113,0.973633
605067232661,0.0253906,0.267578,0.974121
605067242799,0.0253906,0.266113,0.970215
605067249105,0.0283203,0.267578,0.979492
605067271472,0.0224609,0.273438,0.972656
605067286606,0.0219727,0.272461,0.96875
605067309106,0.0195312,0.284668,0.971191
605067330832,0.0146484,0.299316,0.965332
605067346625,0.0161133,0.292969,0.966797
605067369075,0.0146484,0.282227,0.963867
605067390836,0.019043,0.285156,0.968262
605067406621,0.0249023,0.282715,0.972168
605067429124,0.0249023,0.276855,0.962402
605067450831,0.0268555,0.272461,0.96582
605067466618,0.019043,0.271973,0.975098
605067489077,0.0214844,0.277344,0.973145
605067510789,0.0214844,0.274902,0.971191
605067526625,0.0185547,0.273438,0.969238
605067549116,0.0209961,0.276855,0.968262
605067570834,0.0224609,0.269531,0.967773
605067586601,0.0200195,0.280273,0.973633
605067609101,0.0239258,0.283203,0.963867
605067630194,0.0219727,0.285645,0.962891
605067646593,0.0170898,0.281738,0.96875
605067669121,0.0214844,0.291992,0.961914
605067690138,0.0239258,0.287109,0.97168
605067706629,0.0185547,0.277832,0.974609
605067729117,0.0185547,0.280762,0.971191
605067750175,0.0200195,0.276367,0.963379
605067774793,0.0234375,0.273438,0.962402
605067789121,0.0219727,0.275391,0.968262
605067811611,0.0283203,0.274414,0.969727
605067826619,0.0288086,0.277344,0.977051
605067849125,0.0253906,0.273926,0.969238
605067870180,0.0253906,0.280762,0.968262
605067886606,0.0234375,0.282715,0.970215
605067909124,0.0219727,0.276855,0.972656
605067930237,0.0166016,0.27832,0.970215
605067946586,0.0244141,0.280762,0.963379
605067969125,0.0253906,0.278809,0.959473
605067990171,0.0239258,0.279785,0.96875
605068006587,0.0292969,0.274414,0.968262
605068029086,0.0327148,0.287109,0.964844
605068050183,0.0292969,0.279297,0.962402
605068066617,0.0263672,0.26416,0.973633
605068089130,0.012207,0.273438,0.974121
605068118316,0.0209961,0.287598,0.963867
605068126596,0.0224609,0.285645,0.959961
605068149073,0.0224609,0.280273,0.96582
605068170151,0.0317383,0.280273,0.973633
605068186619,0.0380859,0.282227,0.986328
605068209107,0.0341797,0.277832,0.982422
605068231574,0.0292969,0.275879,0.973633
605068254765,0.0351562,0.25293,0.977539
605068269136,0.0449219,0.17627,1.01025
605068291623,0.074707,0.270508,1
605068314795,0.0532227,0.393555,0.967773
605068335863,0,0.381348,1.01904
605068351635,-0.0195312,0.353027,1.05029
605068374786,0.0356445,0.352051,1.03955
605068395917,0.09375,0.399414,0.99707
605068411639,0.0991211,0.350586,1
605068434784,0.116211,0.407227,1.00244
605068455850,0.115723,0.34082,0.990723
605068471608,0.167969,0.216797,0.952637
605068494762,0.15332,0.258789,0.908691
605068515838,0.150879,0.17627,0.866699
605068531634,0.136719,0.194336,0.869141
605068554821,0.0991211,0.174316,0.959961
605068575852,0.019043,0.0810547,0.924805
605068591643,0.0234375,0.11084,0.923828
605068614169,0.00927734,0.0932617,0.928223
605068635927,-0.019043,0.116699,0.977539
605068651637,-0.0439453,0.109863,1.01953
605068674198,-0.0668945,0.0874023,1.02539
605068695852,-0.0551758,0.0839844,1.03613
605068711634,-0.03125,0.100586,0.999023
605068734076,0.00878906,0.171875,1.03418
605068755801,0.0351562,0.167969,0.986816
605068771634,0.0844727,0.116699,0.936035
605068794156,0.0654297,0.125,0.883789
605068817045,0.0419922,0.166016,0.871582
605068831582,-0.0727539,0.132812,0.947266
605068854137,-0.194336,0.0844727,1.03809
605068877296,-0.286621,0.0717773,1.05078
605068891616,-0.305176,0.0585938,1.03467
605068914112,-0.282227,0.0527344,1.00195
605068937281,-0.225586,0.0644531,0.982422
605068951638,-0.162109,0.0986328,1.01709
605068974196,-0.178223,-0.03125,0.993652
605068997314,-0.154785,-0.0883789,0.970215
605069011657,-0.146484,-0.0922852,0.969727
605069034120,-0.149414,-0.0908203,1.05371
605069057277,-0.177246,-0.0786133,1.06152
605069070202,-0.161133,-0.0693359,1.09814
605069093313,-0.149414,-0.0541992,1.06836
605069107682,-0.114746,0.00292969,1.04004
605069130194,-0.0585938,0.0185547,1.04102
605069153398,-0.0517578,-0.043457,1.02637
605069167688,-0.0385742,-0.00830078,0.982422
605069190235,0.0107422,0.0512695,0.980957
605069213381,0.0512695,0.0498047,0.980957
605069227727,0.0795898,0.0957031,0.97168
605069250237,0.0776367,0.110352,0.977051
605069273381,0.0585938,0.0322266,0.978516
605069287727,0.0693359,-0.0649414,0.994141
605069310254,0.0751953,-0.0849609,0.947754
605069333391,0.0791016,-0.0292969,0.943848
605069347753,0.124023,0.0356445,1.00244
605069370198,0.0859375,0.0078125,1.03027
605069393379,0.0415039,0.0180664,1.0083
605069407742,0.0185547,0.050293,0.970703
605069430226,0.211426,0.0473633,1.3042
605069453347,-0.046875,-0.192383,1.04053
605069467755,0.081543,-0.160156,1.11768
605069490294,0.0415039,0.102051,0.957031
605069513395,0.0844727,0.0102539,0.984863
605069527792,0.138672,0.0986328,1.05322
605069550244,0.0712891,0.0498047,0.991211
605069573409,0.106934,0.0615234,0.992188
605069587710,0.0791016,-0.0356445,0.963379
605069611021,0.10498,-0.00195312,0.979492
605069625300,0.134277,0.0302734,0.991699
605069655962,0.0859375,0.00732422,0.993164
605069679069,0.0581055,0.0175781,0.975098
605069693461,0.0751953,0.0288086,0.964355
605069707799,0.0732422,0.0151367,1.00977
605069739127,0.0654297,0.00976562,1.03467
605069753491,0.0688477,0.0473633,1.02832
605069767777,0.0498047,0.0380859,1.0293
605069790264,0.0566406,0.0493164,1.02051
605069805316,0.050293,0.0517578,1.0415
605069827772,0.0439453,0.0361328,1.05371
605069850283,0.0454102,0.0317383,1.02734
605069865242,0.0541992,0.0537109,1.00879
605069887797,0.0668945,0.0688477,1.00391
605069910288,0.0683594,0.0654297,1.00537
605069925346,0.0688477,0.0678711,0.995117
605069947765,0.0693359,0.0688477,0.992188
605069970254,0.0722656,0.0527344,1.00635
605069985275,0.0776367,0.0576172,1.01074
605070007800,0.0654297,0.0615234,1.00537
605070030340,0.0566406,0.0585938,1.00732
605070045285,0.0444336,0.0742188,1.02734
605070067744,0.050293,0.0649414,1.02441
605070090342,0.059082,0.0610352,1.03662
605070105277,0.0629883,0.0737305,1.02637
605070127798,0.0644531,0.0512695,1.02344
605070150334,0.065918,0.0297852,1.02295
605070165209,0.0727539,0.0151367,1.01025
605070187735,0.0864258,0.03125,1
605070210305,0.0932617,0.0546875,0.992188
605070225267,0.0986328,0.0537109,0.992188
605070247793,0.0922852,0.043457,0.995605
605070270244,0.0859375,0.0424805,0.983398
605070285242,0.081543,0.0517578,0.990234
605070307800,0.0820312,0.0517578,0.989258
605070330277,0.0859375,0.0454102,0.996094
605070345257,0.0859375,0.0405273,0.989258
605070367798,0.081543,0.0585938,0.985352
605070390247,0.0947266,0.0517578,0.985352
605070405236,0.0888672,0.0424805,1.00439
605070427942,0.0849609,0.0371094,1.00684
605070450257,0.0869141,0.0429688,0.999512
605070466731,0.0820312,0.0483398,0.994141
605070487762,0.081543,0.0493164,1
605070510226,0.0820312,0.0629883,1.02344
605070526685,0.0888672,0.0561523,1.02148
605070547699,0.09375,0.046875,1.01416
605070570214,0.102539,0.0419922,1.00195
605070586775,0.0957031,0.0512695,1.00342
605070607810,0.0883789,0.0493164,1.01025
605070630289,0.081543,0.0463867,1.01611
605070646736,0.074707,0.0415039,1.00488
605070667809,0.0756836,0.0478516,1.00244
605070690266,0.0820312,0.0610352,0.999023
605070706721,0.0874023,0.0561523,1.00342
605070727749,0.0893555,0.0556641,1.00488
605070750336,0.0942383,0.0541992,0.993652
605070766741,0.0932617,0.0527344,0.992676
605070787809,0.0898438,0.0541992,0.993164
605070810199,0.0825195,0.0581055,0.993652
605070826618,0.0898438,0.0537109,1.00879
605070847746,0.0820312,0.0527344,1.00684
605070870204,0.0844727,0.0546875,1.01953
605070887412,0.0874023,0.0571289,1.01855
605070907792,0.0883789,0.0390625,1.0127
605070930280,0.0947266,0.0478516,1.00439
605070946741,0.0898438,0.059082,1.00098
605070967770,0.0869141,0.0566406,1.00928
605070990335,0.0830078,0.0522461,0.996582
605071006727,0.097168,0.0551758,1.00586
605071027798,0.0966797,0.0615234,0.986328
605071050317,0.0839844,0.0527344,1.00244
605071066771,0.0834961,0.0644531,1.00342
605071087797,0.0834961,0.0576172,0.994141
