timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
16467824279,2,1,-6,-3,-5,0,3,1
16467824279,1,3,-1,-6,-3,2,0,-5
16467839298,-1,-5,-8,2,-4,1,0,-2
16467839298,-6,-4,2,-9,-5,2,-2,-2
16467846834,-1,-1,13,2,-11,-2,0,-3
16467846834,1,-5,-16,-1,-17,-6,-3,-1
16467862423,0,4,15,2,-8,1,3,0
16467862423,-4,-5,-1,-12,-11,1,0,-3
16467863257,-2,2,-4,-6,-9,0,4,1
16467863257,2,2,13,-5,-10,0,3,-3
16467876788,5,-1,-1,-7,-19,0,4,5
16467876788,0,-3,10,-14,-24,-4,-2,-4
16467884263,3,-6,-3,0,-6,1,-3,4
16467884263,-1,-4,3,-1,-2,-2,5,4
16467899262,2,-4,14,-5,12,-2,0,-3
16467899262,-4,-1,-24,-6,4,-6,-5,2
16467906748,-2,-2,-5,0,3,-2,3,0
16467906748,-2,-2,0,-1,5,1,0,-1
16467922438,1,-1,-17,-3,-12,-9,-5,-1
16467922438,1,4,0,1,2,4,1,0
16467923193,0,-2,4,2,-3,-4,-1,-4
16467923193,-3,-1,-28,-5,-6,1,2,2
16467936785,-1,1,8,2,15,6,5,-1
16467936785,1,0,13,5,11,-3,4,-1
16467944276,-2,3,-5,-8,0,2,-4,4
16467944276,0,1,8,-1,9,-2,-8,-6
16467959229,-3,-1,4,-4,-5,-3,-2,2
16467959229,2,-3,10,5,12,-4,-2,0
16467966805,-3,0,-4,0,-1,0,0,-3
16467966805,-2,-2,-17,-4,-10,-2,-2,5
16467982420,-2,-2,7,0,3,-2,0,-2
16467982420,1,5,-20,-5,-14,3,-4,-2
16467983202,0,-1,-36,-5,-7,-6,-2,-4
16467983202,-2,-1,-2,6,-3,1,-2,-3
16467996777,4,2,-29,-4,-15,-1,2,2
16467996777,-1,-2,-8,-6,-5,1,2,1
16468004256,-2,-3,2,0,4,-1,-1,-4
16468004256,-5,-5,-11,-2,-2,-4,-4,-3
16468019247,1,-4,16,0,5,-3,-4,1
16468019247,1,2,-4,-1,-5,-1,3,0
16468026762,1,1,7,-7,9,0,2,0
16468026762,1,1,5,-3,8,3,-4,0
16468042433,-4,-2,-14,-3,-11,0,2,1
16468042433,-2,6,9,4,2,0,1,2
16468043228,0,-2,0,-3,-10,-2,-1,-5
16468043228,3,-2,-20,-5,-15,2,2,6
16468056829,-8,-2,8,-1,-1,2,2,-3
16468056829,-4,-9,-18,-4,-11,-3,-1,-4
16468064308,-6,-6,-15,-1,-6,-2,-4,3
16468064308,-5,3,22,-5,4,-4,-5,-5
16468079241,3,-3,-12,-5,-15,0,1,0
16468079241,-3,-8,-4,-9,-1,-1,3,1
16468086724,2,-2,7,4,2,0,1,-1
16468086724,1,3,-2,-4,0,-1,1,2
16468102438,-4,6,15,-1,3,-1,-1,3
16468102438,3,4,-5,0,-11,-3,-3,-1
16468103193,4,-1,6,-5,-3,-1,1,0
16468103193,-1,-3,14,1,7,2,1,-1
16468116775,-1,2,-21,-8,-16,-1,3,0
16468116775,3,3,0,-1,3,-3,0,1
16468124287,-4,2,4,0,6,0,-2,3
16468124287,0,3,-15,-3,-19,-4,-2,-1
16468139316,-1,4,7,2,-2,-2,-1,0
16468139316,-7,-8,2,-1,-7,-4,-6,-5
16468146803,-1,1,-10,-6,-8,-4,-2,1
16468146803,-2,-3,7,-1,-3,1,2,1
16468162465,0,-1,-15,-4,-10,-5,-2,0
16468162465,1,5,4,3,4,-1,4,4
16468163259,-1,-4,-4,3,4,0,2,-2
16468163259,-2,4,-12,-11,-4,4,2,-3
16468176807,-2,-1,15,-3,13,1,-3,-2
16468176807,-3,1,-4,0,-1,0,2,2
16468184295,-1,-3,-3,-3,-11,-1,5,3
16468184295,-1,-2,17,-1,14,2,-1,-3
16468199296,4,-2,-8,-1,0,-3,-2,-2
16468199296,-7,2,1,-3,3,-2,0,-1
16468206839,-1,0,8,-1,1,5,-3,-4
16468206839,6,-4,-18,-6,-3,-1,6,0
16468222469,-3,-8,3,-2,17,0,-3,-5
16468222469,-2,-1,-9,-8,-15,1,-3,-3
16468223211,1,-5,-1,-6,-8,-6,-1,0
16468223211,-2,-3,14,2,1,0,-3,-7
16468236812,3,-1,-16,-2,-22,4,5,5
16468236812,-10,-5,-7,-13,1,-1,-1,-1
16468244262,-2,-3,19,1,-5,-2,0,-2
16468244262,3,0,-17,-3,-17,-5,-3,1
16468259258,-1,-3,22,0,8,4,-1,-4
16468259258,0,-2,-4,-3,-17,-1,-3,0
16468266785,2,1,-3,-6,-18,1,1,-3
16468266785,-2,-7,16,6,4,-2,-4,-2
16468282463,-1,-3,-13,-4,-26,7,0,-1
16468282463,6,4,7,-1,-3,0,-3,0
16468283230,-4,3,-2,5,8,0,-4,-4
16468283230,3,4,-3,-7,-16,2,4,1
16468296762,-1,0,5,-3,12,-2,-4,0
16468296762,-2,-3,-1,4,-7,1,1,0
16468304223,-2,0,0,-4,-11,-2,-4,-1
16468304223,-5,-3,10,0,9,-5,-5,-5
16468319265,-1,-1,-24,-2,-18,1,3,8
16468319265,2,-10,0,-5,1,0,0,-2
16468326763,-1,-1,-5,1,10,2,-5,2
16468326763,-3,-1,-29,-7,-16,-3,0,2
16468342457,1,-1,15,5,11,-5,-1,-4
16468342457,-5,-5,-16,-2,-2,-2,5,0
16468343208,1,2,-15,-8,-5,-5,7,2
16468343208,-5,3,12,5,8,-3,-7,2
16468356792,2,3,-14,-3,-13,-1,5,3
16468356792,5,8,5,-5,-6,2,-2,-3
16468364302,-4,-1,-4,1,-5,-5,1,0
16468364302,2,-7,-14,0,-15,5,6,9
16468379277,-4,1,14,-3,9,-2,-4,-4
16468379277,-1,3,-22,0,-19,2,3,-3
16468386791,3,-3,-11,-3,-5,4,4,4
16468386791,1,4,14,3,14,-2,-5,-8
16468401824,-5,1,-29,-3,-12,3,1,2
16468401824,2,-3,0,2,18,3,-2,3
16468409973,-3,-2,-2,3,6,-2,-3,-4
16468409973,6,7,-20,-1,-5,-2,6,4
16468416746,-4,-3,6,0,17,-3,-1,1
16468416746,-1,-3,2,2,-1,0,1,1
16468424259,2,1,-4,-6,0,1,3,0
16468424259,-5,-3,15,-1,15,-7,-1,-4
16468439258,1,0,-20,-7,-22,-2,2,3
16468439258,2,-1,-5,-8,-1,-7,-5,-2
16468446781,-4,-8,-7,1,0,-3,-3,-1
16468446781,3,-1,-27,-10,-22,-1,5,3
16468477974,-5,-3,22,2,3,-1,-5,-8
16468477974,-2,1,-10,1,-27,1,0,-2
16468484383,-4,-5,-6,-6,-18,5,4,0
16468484383,-2,-3,21,-1,0,-7,-3,-4
16468508224,-1,-2,-11,-2,-11,3,6,5
16468508224,1,-7,16,0,4,0,1,-3
16468509736,-2,3,6,5,1,-6,-8,-5
16468509736,0,-7,-11,-5,-9,-2,4,5
16468530004,2,-1,20,3,10,-6,-2,-7
16468530004,-2,0,1,7,-7,-5,4,4
16468536759,0,3,-2,-2,-7,3,6,4
16468536759,-5,0,3,2,2,-5,-10,-10
16468561319,1,1,-16,-1,-17,-2,6,3
16468561319,1,-4,20,1,9,-6,4,1
16468563799,0,0,13,0,0,-10,-7,-7
16468563799,-7,2,1,2,-8,0,8,3
16468581821,-4,-8,17,2,13,0,-6,-8
16468581821,-4,-6,-3,0,-4,-2,-3,0
16468598253,0,1,-5,-4,-3,-1,6,6
16468598253,3,-1,2,8,11,-2,-8,-5
16468613880,-2,1,-1,1,32,0,-2,-1
16468613880,3,-5,7,-3,38,3,2,6
16468616303,-1,0,-5,4,33,-2,-6,-6
16468616303,2,-3,0,-2,16,1,0,2
16468643163,-6,-5,32,1,22,-9,-7,-7
16468643163,1,0,-12,2,3,-6,-11,-9
16468644724,2,7,-1,3,4,-1,1,4
16468644724,-6,-14,18,-1,16,-6,-7,-6
16468665651,5,0,-21,-1,-14,-6,2,1
16468665651,-1,-5,6,-3,10,-2,-2,-1
16468667265,3,-5,0,3,-7,2,0,5
16468667265,2,-1,-5,-2,-6,4,0,-1
16468686797,1,-4,-8,1,-14,2,-3,4
16468686797,-9,5,10,0,-2,-4,-5,-7
16468695793,-2,1,-6,-5,7,4,1,4
16468695793,-5,2,-13,-2,-3,2,5,1
16468718158,1,1,-5,-1,-7,-4,0,-2
16468718158,-1,1,4,0,3,4,2,0
16468724272,1,-1,7,-10,-5,-3,1,-2
16468724272,0,3,8,-7,-31,-3,-4,-4
16468748151,-4,2,9,2,-9,-2,-5,0
16468748151,0,-2,-5,-1,-14,-4,5,1
16468749755,1,-5,5,-2,-1,-3,0,-3
16468749755,1,-3,-5,-7,4,-1,-1,-3
16468770355,-1,2,-6,-9,-2,-1,0,1
16468770355,1,-2,-7,-1,-3,5,5,-1
16468779787,0,-4,-4,-7,-6,-4,0,1
16468779787,2,-3,-9,3,-5,3,4,2
16468800703,0,-4,-4,2,0,0,-6,-1
16468800703,-2,0,9,3,7,2,-2,0
16468802279,1,0,8,0,3,1,-5,-1
16468802279,-2,6,-2,1,-4,-2,-1,1
16468830616,-3,-2,0,-1,1,-4,2,-3
16468830616,-2,-3,2,-3,0,0,-4,-1
16468832218,-4,-1,8,-5,0,1,1,1
16468832218,-1,-2,-10,-8,-11,-1,-4,2
16468853862,-3,-4,-2,-6,1,-1,-1,-2
16468853862,0,3,0,-1,-5,-2,-3,0
16468856280,-6,-5,-13,1,-1,0,-1,2
16468856280,-3,-1,-6,-1,2,1,-3,-2
16468859925,-3,-5,0,-4,-3,2,-1,-1
16468859925,-3,-2,-15,2,-4,-3,-1,2
16468860725,-7,-4,-8,-3,-3,-1,0,-5
