myot,myox,myoy,myoz
1462920915,myox,myoy,myoz
12137016787,0.971191,-0.135254,0.0546875
12137031642,0.966797,-0.131836,0.0439453
12137055327,0.970215,-0.137207,0.0493164
12137076680,0.971191,-0.137207,0.0478516
12137091672,0.972168,-0.132812,0.0522461
12137115278,0.969238,-0.131348,0.0483398
12137169328,0.970703,-0.14502,0.0737305
12137170099,0.960449,-0.142578,0.0639648
12137187765,0.967285,-0.138184,0.0615234
12137197840,0.967773,-0.149414,0.0844727
12137215606,0.961426,-0.143066,0.0361328
12137235592,0.969238,-0.131348,0.0415039
12137259203,0.976074,-0.138184,0.0541992
12137286668,0.962891,-0.137695,0.046875
12137299043,0.962891,-0.131836,0.0507812
12137317286,0.967773,-0.133301,0.0644531
12137331626,0.968262,-0.131836,0.0444336
12137354810,0.966797,-0.132812,0.0517578
12137377307,0.97168,-0.13623,0.0610352
12137391647,0.965332,-0.141113,0.059082
12137414863,0.96582,-0.137207,0.0546875
12137437138,0.970215,-0.141113,0.0527344
12137451683,0.966797,-0.130859,0.0493164
12137474273,0.970703,-0.128418,0.0395508
12137497337,0.967773,-0.128418,0.0629883
12137511712,0.967773,-0.13623,0.0551758
12137534105,0.964844,-0.133789,0.0429688
12137557313,0.97168,-0.131348,0.0566406
12137571536,0.964844,-0.13623,0.0541992
12137593968,0.96875,-0.13916,0.0546875
12137617198,0.964844,-0.138184,0.0541992
12137631515,0.969238,-0.12793,0.0478516
12137654063,0.970215,-0.127441,0.0537109
12137677146,0.97168,-0.135742,0.0493164
12137691476,0.967773,-0.12793,0.046875
12137714075,0.97168,-0.125977,0.043457
12137737129,0.966309,-0.12793,0.0522461
12137751488,0.964355,-0.144531,0.0561523
12137773968,0.962402,-0.133789,0.0493164
12137798561,0.972168,-0.127441,0.0493164
12137813010,0.969727,-0.134766,0.0537109
12137834043,0.966309,-0.133301,0.0517578
12137857152,0.966309,-0.132812,0.0556641
12137872911,0.968262,-0.131348,0.0512695
12137893958,0.966309,-0.130371,0.0522461
12137917183,0.966797,-0.132812,0.0532227
12137932900,0.974609,-0.131348,0.0498047
12137954003,0.961914,-0.133301,0.0512695
12137977156,0.964844,-0.133789,0.0507812
12137992913,0.970703,-0.133789,0.0615234
12138014069,0.964844,-0.139648,0.0537109
12138037195,0.970703,-0.133301,0.0444336
12138053011,0.966309,-0.135742,0.0537109
12138074041,0.968262,-0.140137,0.0517578
12138104644,0.968262,-0.134766,0.0571289
12138113004,0.972168,-0.140137,0.0458984
12138134036,0.970703,-0.133789,0.0449219
12138157110,0.96582,-0.143066,0.050293
12138172886,0.964355,-0.139648,0.0463867
12138193961,0.964844,-0.130859,0.0366211
12138217161,0.961914,-0.137695,0.034668
12138232916,0.965332,-0.134766,0.0385742
12138253960,0.967285,-0.13916,0.0488281
12138276499,0.966309,-0.137207,0.0473633
12138294379,0.969238,-0.144531,0.0463867
12138313951,0.972656,-0.135254,0.0400391
12138336675,0.967285,-0.138184,0.043457
12138353023,0.972656,-0.142578,0.0332031
12138374262,0.969727,-0.14502,0.0307617
12138396552,0.970215,-0.140625,0.0317383
12138413033,0.97168,-0.14209,0.027832
12138434302,0.96875,-0.141113,0.0180664
12138456577,0.96582,-0.148926,0.0219727
12138473046,0.966309,-0.141113,0.0200195
12138494114,0.967773,-0.142578,0.0214844
12138516545,0.97168,-0.148438,0.019043
12138532905,0.969238,-0.145996,0.0161133
12138553984,0.96875,-0.142578,0.0107422
12138576480,0.968262,-0.140137,0.0239258
12138593045,0.964844,-0.147461,0.0175781
12138615428,0.969238,-0.147949,0.019043
12138636444,0.969727,-0.146973,0.00927734
12138653015,0.969238,-0.140137,0.0107422
12138674233,0.96875,-0.147461,0.0161133
12138696676,0.964844,-0.143066,0.0219727
12138713165,0.969727,-0.143555,0.0126953
12138735562,0.969238,-0.142578,0.0200195
12138756705,0.97168,-0.145508,0.0175781
12138773081,0.971191,-0.14502,0.0141602
12138795530,0.974121,-0.132812,0.0112305
12138816503,0.966797,-0.14502,0.012207
12138833135,0.96875,-0.144531,0.012207
12138855505,0.969238,-0.145508,0.0151367
12138876597,0.97168,-0.14209,0.00488281
12138893024,0.970215,-0.147949,0.0146484
12138915510,0.970703,-0.144531,0.0146484
12138936642,0.967773,-0.14502,0.00878906
12138953054,0.969238,-0.144531,0.0126953
12138975498,0.966797,-0.141602,0.0195312
12138996683,0.965332,-0.14209,0.012207
12139013052,0.970215,-0.145508,0.015625
12139035537,0.970703,-0.137207,0.015625
12139056590,0.97168,-0.148438,0.00830078
12139079113,0.967773,-0.143066,0.0126953
12139095550,0.97168,-0.146973,0.00976562
12139116530,0.967773,-0.133789,0.0112305
12139132966,0.962402,-0.152344,0.0185547
12139155460,0.967285,-0.145996,0.00537109
12139176521,0.972168,-0.141113,0.00585938
12139193020,0.969238,-0.145508,-0.000488281
12139215473,0.96875,-0.144531,0.00634766
12139236479,0.963867,-0.14502,0.00976562
12139253064,0.972168,-0.14502,0.0078125
12139275533,0.969727,-0.147949,0.00732422
12139298058,0.969238,-0.13916,0.00830078
12139313090,0.96582,-0.143066,0.00585938
12139335585,0.964355,-0.141602,0.00146484
12139356735,0.967285,-0.151855,0.00634766
12139373085,0.966309,-0.146973,0.0126953
12139395535,0.969727,-0.149902,0.0078125
12139416514,0.965332,-0.147949,0.00488281
12139433136,0.96582,-0.140625,-0.00488281
12139455545,0.964355,-0.146484,0.00732422
12139476481,0.970703,-0.143555,0.00634766
12139493067,0.969238,-0.141113,-0.00341797
12139515444,0.966797,-0.151855,0.00341797
12139536685,0.967773,-0.144531,-0.000976562
12139553043,0.973145,-0.146973,0.00927734
12139575478,0.963379,-0.148438,0.00146484
12139596764,0.967285,-0.150391,0.00341797
12139613006,0.967285,-0.145996,0.00292969
12139635629,0.970703,-0.143066,0.000976562
12139656741,0.966309,-0.147461,-0.00439453
12139673120,0.960449,-0.150391,0.00439453
12139695593,0.96582,-0.150879,-0.0078125
12139718133,0.968262,-0.14209,-0.000488281
12139733058,0.964844,-0.142578,-0.00195312
12139755538,0.966309,-0.146973,0.00292969
12139778136,0.967773,-0.145508,-0.000488281
12139793091,0.96582,-0.14502,-0.00244141
12139815573,0.965332,-0.14502,-0.00537109
12139838114,0.966797,-0.14502,0.00292969
12139853123,0.963379,-0.145508,0.000488281
12139875587,0.969238,-0.141602,-0.00195312
12139898144,0.965332,-0.153809,0.00439453
12139914460,0.96875,-0.157715,0.00537109
12139935565,0.967285,-0.150391,-0.00439453
12139958075,0.967773,-0.150391,0.000976562
12139974492,0.966309,-0.152832,0.000976562
12139995582,0.967773,-0.14209,-0.00292969
12140018097,0.97168,-0.149902,-0.00439453
12140034447,0.964355,-0.148926,0.000976562
12140055470,0.96582,-0.153809,0
12140078021,0.970703,-0.150879,-0.00195312
12140099671,0.970215,-0.148438,-0.00732422
12140114711,0.959961,-0.155273,-0.00146484
12140136981,0.967285,-0.155762,0.00341797
12140159913,0.96875,-0.144531,-0.00537109
12140174751,0.965332,-0.150879,-0.000488281
12140197485,0.965332,-0.149414,-0.00878906
12140219973,0.967773,-0.146484,-0.00341797
12140234857,0.96875,-0.148926,-0.00976562
12140257410,0.967285,-0.139648,-0.012207
12140279699,0.966797,-0.15625,-0.00585938
12140294882,0.969727,-0.143555,-0.0102539
12140317396,0.974121,-0.150391,-0.00537109
12140339751,0.968262,-0.148438,-0.00732422
12140354908,0.967773,-0.14502,-0.0112305
12140377225,0.965332,-0.148438,-0.0102539
12140399705,0.971191,-0.143066,-0.0107422
12140414684,0.967773,-0.148926,-0.00976562
12140437169,0.967773,-0.147461,-0.0117188
12140461201,0.96582,-0.147949,-0.0131836
12140474911,0.96875,-0.145508,-0.0117188
12140497277,0.967773,-0.147949,-0.0107422
12140519916,0.964355,-0.151367,0.000976562
12140534852,0.965332,-0.14209,-0.0224609
12140557409,0.965332,-0.145996,-0.00585938
12140579934,0.970703,-0.144043,-0.00732422
12140594882,0.967773,-0.145996,-0.0136719
12140617272,0.969727,-0.146973,-0.012207
12140639905,0.970703,-0.140137,-0.015625
12140662237,0.971191,-0.146973,-0.00439453
12140677227,0.970215,-0.142578,-0.0170898
12140693034,0.96582,-0.144531,-0.0161133
12140714687,0.965332,-0.150879,-0.00683594
12140737167,0.967285,-0.14502,-0.00390625
12140753012,0.964844,-0.147949,-0.0112305
12140774666,0.967285,-0.148438,-0.0117188
12140797202,0.966797,-0.143555,-0.00537109
12140813090,0.970703,-0.150391,-0.00292969
12140836189,0.972168,-0.145996,-0.0170898
12140857400,0.969238,-0.147949,-0.0136719
12140873099,0.970703,-0.143555,-0.0170898
12140896292,0.967773,-0.145996,-0.0136719
12140917448,0.96875,-0.146484,-0.0131836
12140933110,0.962891,-0.145508,-0.0170898
12140956181,0.969727,-0.149902,-0.0131836
12140977385,0.969727,-0.146484,-0.00439453
12140993086,0.972656,-0.140137,-0.0131836
12141016194,0.965332,-0.147949,-0.0107422
12141037403,0.961914,-0.141113,-0.0224609
12141053150,0.963379,-0.150391,-0.00683594
12141076255,0.966309,-0.150391,-0.00683594
12141097387,0.974121,-0.14502,-0.0136719
12141113120,0.96875,-0.14502,-0.0146484
12141136665,0.967773,-0.144531,-0.0117188
12141157324,0.96875,-0.143555,-0.0107422
12141173063,0.967285,-0.142578,-0.0214844
12141196293,0.965332,-0.147461,-0.00927734
12141217631,0.974609,-0.139648,-0.0209961
12141233010,0.964844,-0.148926,-0.00683594
12141255917,0.966797,-0.143555,-0.00585938
12141287629,0.968262,-0.14502,-0.0136719
12141301129,0.967285,-0.144531,-0.00390625
12141316125,0.968262,-0.148438,-0.0170898
12141344866,0.970215,-0.145996,-0.00390625
12141353031,0.969727,-0.143555,-0.0131836
12141376248,0.974609,-0.143066,-0.0126953
12141398673,0.972168,-0.142578,-0.0131836
12141413123,0.972168,-0.148438,-0.00634766
12141436135,0.966797,-0.14209,-0.00390625
12141457534,0.969727,-0.145996,-0.00244141
12141473066,0.966309,-0.150879,-0.00439453
12141496314,0.965332,-0.149902,-0.00390625
12141517446,0.968262,-0.143066,-0.0161133
12141533112,0.963379,-0.148926,0
12141556184,0.969727,-0.146973,-0.000976562
12141577419,0.97168,-0.142578,-0.00927734
12141607435,0.96875,-0.146484,-0.0117188
12141615659,0.969238,-0.146973,-0.00927734
12141637287,0.966797,-0.148926,-0.00732422
12141653136,0.967773,-0.144043,-0.00439453
12141683653,0.963867,-0.151855,-0.00830078
12141697397,0.966309,-0.150391,-0.00146484
12141713021,0.974609,-0.143066,-0.0185547
12141735540,0.964355,-0.148926,-0.00634766
12141758681,0.971191,-0.144043,-0.00732422
12141773011,0.967285,-0.149414,-0.00683594
12141795481,0.964355,-0.143066,-0.0102539
12141818634,0.96582,-0.151855,-0.00292969
12141833030,0.968262,-0.148926,-0.00927734
12141855659,0.96582,-0.151367,-0.00439453
12141878693,0.964844,-0.14502,-0.0078125
12141901276,0.975098,-0.148926,-0.00585938
12141916153,0.966797,-0.14502,-0.00732422
12141938655,0.965332,-0.141113,-0.0136719
12141961222,0.967773,-0.149414,-0.00292969
12141975534,0.970703,-0.143066,-0.00292969
12141998678,0.970215,-0.146484,-0.0117188
12142013034,0.967285,-0.151855,-0.00537109
12142035622,0.968262,-0.144531,-0.00634766
12142058717,0.963867,-0.144043,-0.00830078
12142073133,0.964355,-0.153809,-0.00537109
12142095582,0.97168,-0.139648,-0.0078125
12142118687,0.967773,-0.14502,-0.0170898
12142133011,0.966309,-0.147461,-0.00830078
12142155590,0.971191,-0.146973,-0.000488281
12142178767,0.971191,-0.146484,-0.00244141
12142193070,0.969238,-0.14209,-0.00976562
12142223724,0.967285,-0.145996,-0.0117188
12142238773,0.968262,-0.144531,-0.00585938
12142259921,0.972168,-0.14502,-0.00537109
12142275524,0.966797,-0.146484,-0.0126953
12142298793,0.967773,-0.150391,-0.0117188
12142319777,0.967285,-0.144043,-0.0107422
12142335538,0.968262,-0.139648,-0.00878906
12142358763,0.967773,-0.14209,-0.0131836
12142379936,0.972168,-0.144043,-0.0185547
12142395632,0.961914,-0.145508,-0.0146484
12142418717,0.975586,-0.143555,-0.0131836
12142439982,0.973145,-0.14209,-0.0170898
12142455507,0.969238,-0.143066,-0.015625
12142478665,0.970215,-0.142578,-0.0141602
12142499741,0.968262,-0.147461,-0.0112305
12142515526,0.966797,-0.140625,-0.0214844
12142538034,0.969238,-0.148926,-0.0136719
12142559965,0.975586,-0.146484,-0.00878906
12142575533,0.973633,-0.13916,-0.00976562
12142598064,0.96875,-0.145996,-0.015625
12142620037,0.969238,-0.144531,-0.0166016
12142635602,0.969727,-0.144043,-0.0078125
12142658125,0.963379,-0.14502,-0.00927734
12142679754,0.962891,-0.143066,-0.0258789
12142695569,0.963379,-0.145996,-0.0170898
12142718117,0.96875,-0.14502,-0.0161133
12142741873,0.970215,-0.13916,-0.0253906
12142755519,0.968262,-0.140137,-0.0249023
12142778164,0.971191,-0.141602,-0.0209961
12142801206,0.969727,-0.143066,-0.0185547
12142815646,0.971191,-0.140625,-0.0205078
12142838117,0.97168,-0.145508,-0.0170898
12142861296,0.969238,-0.144531,-0.0185547
12142875525,0.966309,-0.141602,-0.0209961
12142906336,0.970215,-0.14209,-0.0180664
12142921243,0.968262,-0.139648,-0.0234375
12142935586,0.967285,-0.145996,-0.0200195
12142958088,0.967773,-0.14502,-0.0166016
12142981267,0.967773,-0.141113,-0.0209961
12142995628,0.969238,-0.144043,-0.0219727
12143018163,0.96875,-0.145996,-0.00830078
12143041254,0.970703,-0.138184,-0.0214844
12143055635,0.967285,-0.141602,-0.0151367
12143078046,0.969727,-0.145996,-0.0175781
12143101210,0.968262,-0.138672,-0.0205078
12143115645,0.96875,-0.147949,-0.0117188
12143138087,0.970215,-0.141602,-0.0219727
12143161322,0.96582,-0.136719,-0.0239258
12143175572,0.970215,-0.145996,-0.0200195
12143198066,0.96582,-0.138184,-0.0244141
12143221188,0.967285,-0.144043,-0.0141602
12143242458,0.964844,-0.138672,-0.0258789
12143258109,0.967773,-0.14209,-0.0195312
12143281281,0.97168,-0.138672,-0.0249023
12143302466,0.972168,-0.139648,-0.0249023
12143318156,0.963379,-0.143066,-0.0239258
12143341282,0.973145,-0.14209,-0.0175781
12143362451,0.970215,-0.140625,-0.0239258
12143378139,0.96875,-0.141602,-0.0214844
12143401227,0.96582,-0.142578,-0.0258789
12143422273,0.971191,-0.139648,-0.0234375
12143438037,0.966797,-0.143555,-0.0214844
12143460598,0.967285,-0.138672,-0.0249023
12143482218,0.967773,-0.143555,-0.0249023
12143498033,0.969238,-0.135254,-0.0200195
12143520646,0.973145,-0.13916,-0.0249023
12143542338,0.96582,-0.141113,-0.0219727
12143558115,0.966797,-0.139648,-0.019043
12143580610,0.960938,-0.13916,-0.0205078
12143602358,0.96875,-0.13916,-0.0224609
12143618072,0.968262,-0.140137,-0.0166016
12143640554,0.963379,-0.134766,-0.0229492
12143663798,0.969727,-0.141602,-0.0200195
12143678161,0.964844,-0.143066,-0.0185547
12143700654,0.964355,-0.141113,-0.0209961
12143723758,0.971191,-0.141602,-0.0151367
12143738152,0.970215,-0.136719,-0.0249023
12143760594,0.96582,-0.144043,-0.0200195
12143783838,0.969727,-0.144043,-0.015625
12143798122,0.97168,-0.138184,-0.0200195
12143811824,0.970703,-0.140137,-0.0166016
12143834360,0.96875,-0.138184,-0.0229492
12143857296,0.968262,-0.13916,-0.0126953
12143871617,0.972168,-0.144531,-0.0102539
12143894072,0.966797,-0.138184,-0.0209961
12143917288,0.965332,-0.142578,-0.0180664
12143931574,0.969238,-0.13623,-0.0214844
12143954224,0.965332,-0.141602,-0.00732422
12143977254,0.969727,-0.140137,-0.0224609
12143991580,0.96875,-0.14209,-0.019043
12144014099,0.965332,-0.145996,-0.0126953
12144037267,0.964355,-0.133301,-0.0258789
12144051624,0.972656,-0.140137,-0.0263672
12144074257,0.965332,-0.13623,-0.0180664
12144097350,0.966797,-0.136719,-0.0249023
12144111755,0.967285,-0.143555,-0.0234375
12144134185,0.966309,-0.13916,-0.0249023
12144157437,0.966797,-0.138184,-0.0205078
12144180018,0.972656,-0.140625,-0.0102539
12144194193,0.967773,-0.134277,-0.0205078
12144225641,0.965332,-0.135742,-0.0302734
12144231792,0.966309,-0.138184,-0.015625
12144254365,0.962402,-0.146973,-0.0136719
12144277429,0.963379,-0.140137,-0.0234375
12144291661,0.966309,-0.136719,-0.03125
12144314317,0.971191,-0.137695,-0.0356445
12144337458,0.971191,-0.138672,-0.0249023
12144351839,0.970215,-0.132324,-0.0380859
12144374326,0.973633,-0.134277,-0.0493164
12144397247,0.967773,-0.136719,-0.0458984
12144411632,0.97168,-0.129883,-0.0424805
12144434169,0.970703,-0.141602,-0.0292969
12144457236,0.96582,-0.134277,-0.0292969
12144471583,0.96582,-0.137207,-0.0351562
12144494095,0.968262,-0.133301,-0.0253906
12144517289,0.974121,-0.132324,-0.0297852
12144531622,0.965332,-0.130859,-0.027832
12144554118,0.96875,-0.139648,-0.0317383
12144577251,0.96875,-0.138672,-0.0239258
12144591577,0.973633,-0.133789,-0.0332031
12144614112,0.970215,-0.132812,-0.0258789
12144636604,0.969238,-0.141113,-0.0292969
12144651639,0.973145,-0.133301,-0.0327148
12144682278,0.966309,-0.133789,-0.0214844
12144696664,0.96875,-0.135254,-0.027832
12144711631,0.969238,-0.136719,-0.0239258
12144734146,0.97168,-0.135742,-0.0219727
12144756630,0.967285,-0.13623,-0.0244141
12144771655,0.973145,-0.129395,-0.019043
12144794204,0.971191,-0.134277,-0.0239258
12144816679,0.971191,-0.135742,-0.0283203
12144831624,0.972656,-0.131836,-0.0283203
12144854137,0.967285,-0.137207,-0.0229492
12144876629,0.967773,-0.132812,-0.0253906
12144891680,0.969238,-0.134277,-0.0234375
12144914148,0.969727,-0.129883,-0.0219727
12144936601,0.972656,-0.135254,-0.0307617
12144951638,0.965332,-0.134277,-0.0288086
12144974118,0.968262,-0.133789,-0.0224609
12144996661,0.96875,-0.131348,-0.0175781
12145011658,0.97168,-0.126953,-0.0214844
12145034109,0.974609,-0.126465,-0.0317383
12145056641,0.969238,-0.132812,-0.0244141
12145071652,0.967773,-0.130859,-0.0209961
12145094134,0.970703,-0.129883,-0.0219727
12145116637,0.970703,-0.12793,-0.0249023
12145131658,0.971191,-0.134277,-0.0258789
12145154125,0.971191,-0.124023,-0.0273438
12145176677,0.97168,-0.129883,-0.0234375
12145191628,0.972168,-0.131348,-0.0283203
12145214165,0.966309,-0.129395,-0.0273438
12145236665,0.976074,-0.130859,-0.0136719
12145251670,0.967285,-0.125488,-0.0263672
12145274142,0.967773,-0.129883,-0.0209961
12145296612,0.97168,-0.130859,-0.0263672
12145311638,0.97168,-0.129395,-0.0166016
12145334151,0.967773,-0.125,-0.0249023
12145356632,0.96582,-0.125977,-0.0175781
12145373033,0.973145,-0.128418,-0.0239258
12145394099,0.970215,-0.12793,-0.0219727
12145416601,0.970703,-0.12793,-0.0175781
12145433080,0.971191,-0.126953,-0.0234375
12145454156,0.973633,-0.12793,-0.0219727
12145478074,0.969727,-0.129883,-0.0244141
12145493087,0.96875,-0.122559,-0.0185547
12145514198,0.970703,-0.127441,-0.0209961
12145538104,0.968262,-0.130371,-0.0244141
12145553033,0.969238,-0.128906,-0.0249023
12145574194,0.970703,-0.127441,-0.0239258
12145596683,0.969238,-0.127441,-0.0288086
