myot,x,y,z
610453829619,-28.375,-7.1875,-21.875
610453852780,-25.5625,-10.75,-14.25
610453873922,-30.4375,-8.5625,-18.8125
610453889586,-29.8125,-6.9375,-15.5
610453912791,-25.75,-7.8125,-17.25
610453933850,-22,-6.375,-18.75
610453949664,-27.75,-2.4375,-16.4375
610453972765,-29.375,-4.0625,-10.3125
610453993833,-25.25,-3.875,-5.0625
610454009591,-21.0625,-2.0625,-4.4375
610454032741,-13.875,-3.5,-3.4375
610454053938,-23.75,5.5625,-2
610454069645,-48.0625,4.0625,3
610454092824,-32.25,2.4375,-8.4375
610454113902,-28,-2.25,-10.875
610454129617,-21.8125,-5.5625,-8.5625
610454152769,-23.1875,-1.8125,-6.5
610454173938,-33.875,2.8125,1.8125
610454189742,-22,2.125,0.125
610454212803,-27.1875,0.5,2.625
610454233852,-10.5625,-4.125,4.3125
610454249618,-4.625,-4.3125,3.1875
610454272813,-14.125,0.375,1.625
610454295300,-17.75,0.3125,-3.125
610454309641,-16.0625,-4.25,0.5625
610454332116,-11.5,-5.75,1.1875
610454353849,0.0625,-6.125,-1.8125
610454369618,-5.3125,-5.0625,-0.5625
610454392594,-14.8125,0,2.25
610454413848,-8.875,0.375,2.75
610454429614,-7.1875,-1.1875,5.0625
610454452124,-1.9375,-0.1875,6.625
610454473849,-7.3125,3.375,10
610454489617,-5.75,3.875,10.0625
610454512093,-2.9375,2.5,10.75
610454535332,1.6875,-0.8125,13.0625
610454549641,-3.0625,1.3125,15.75
610454572659,-4.1875,4.3125,17.8125
610454595294,-1.3125,4.0625,18.1875
610454609620,1.5625,2.5625,18.5
610454632145,2.5,2.75,19.0625
610454655279,4.6875,4.4375,17.125
610454669666,4.6875,6.3125,14
610454692150,6.375,4.5625,12.1875
610454715445,7.6875,1.875,9.9375
610454729611,8.25,3.1875,6.375
610454752123,9.4375,4.625,3.625
610454775273,8.9375,7.0625,0.125
610454789680,7.6875,7.25,-3.6875
610454812157,7.5,4.875,-5.5625
610454835288,7.625,1.5625,-6.0625
610454849643,6.1875,0.25,-5.75
610454872122,4.4375,1.125,-4.9375
610454895277,3.5625,1.9375,-3.625
610454909619,3.8125,1.875,-2.875
610454932156,3.8125,0.375,-1.8125
610454955385,4.4375,-0.5625,-0.875
610454976425,3.9375,-0.5,0.1875
610454992166,4.0625,-0.9375,0.9375
610455015292,2.8125,-1.1875,1.4375
610455036386,0.1875,-2.375,1.25
610455052139,-2,-3.125,1
610455075328,-2.3125,-2.1875,0.6875
610455096799,-3.4375,-0.1875,0.5625
610455112173,-6.375,1.4375,1.0625
610455135326,-8.3125,1.6875,1.625
610455156380,-9.125,0.5,1.6875
610455172144,-10.0625,-0.5,1.3125
610455195311,-14.6875,-1.125,1.125
610455216397,-22.0625,0.3125,2.5
610455232120,-29.5625,5.5625,4
610455255316,-35.25,10.6875,5.625
610455276428,-37.625,14.0625,6.4375
610455292176,-36.9375,19.375,5.3125
610455321360,-27.3125,23.375,3.25
610455336415,-18.25,30.875,1.5
610455352143,-4.625,34.5625,-1.25
610455374648,2.875,35.3125,-2.5
610455396414,4.75,27.875,-3.625
610455412158,4.9375,17.75,-4.75
610455434616,6.4375,9.4375,-6.375
610455448227,15.875,1.25,-6.0625
610455471361,23.5625,-3.125,-4.625
610455485693,29.75,-5.5625,-3.75
610455508261,35.375,-11.6875,-3.0625
610455531374,40.6875,-18.25,-5
610455545764,41.9375,-26.875,-7.25
610455568258,45.0625,-30.625,-10.875
610455599542,44.6875,-30.5625,-14.9375
610455605712,44.0625,-27.875,-19.9375
610455628264,44.5,-24.875,-26.9375
610455651369,40.1875,-24.4375,-34.8125
610455665735,12.8125,-23.1875,-36.4375
610455688247,-17.0625,-14.1875,-29.375
610455711388,-27.4375,-9.9375,-28.8125
610455725733,-15.8125,-17.125,-24.25
610455748285,-9.625,-26.5,-20.3125
610455771426,-5.125,-24.4375,-15.25
610455785706,-8.1875,-27.375,-15.5
610455808227,-13.8125,-27,-19.9375
610455831391,-20.375,-28.5625,-21.625
610455845740,-26.875,-29.125,-24.75
610455868233,10.3125,-42.8125,-12.3125
610455891396,40,-52.875,-14.875
610455905726,40.75,-56.375,-15.8125
610455937062,43.5625,-61,-12
610455951389,51.9375,-63.6875,-11.5625
610455965733,69.3125,-71.5,-11.625
610455988264,87.4375,-82.1875,-7.6875
610456011414,93.875,-81.8125,-10.8125
610456025738,88.8125,-63.3125,-21.125
610456048230,53.4375,-47.5625,-30.8125
610456070740,31.9375,-47.125,-28.4375
610456085733,36.9375,-48.625,-20.6875
610456108273,35.25,-44.5625,-17.9375
610456131403,30,-32.5625,-25.9375
610456145776,19.625,-23.375,-30.0625
610456168210,13.375,-26.75,-33
610456190786,6.1875,-32.0625,-27.75
610456205825,-2.375,-30.8125,-22
610456228229,-9.6875,-32.875,-18.3125
610456251411,-18.5,-35.125,-17.9375
610456265767,-26,-37.875,-17.375
610456288278,-30.875,-39.375,-17.0625
610456311345,-32.375,-40,-15.5625
610456333965,-33.1875,-41.4375,-11.4375
610456348210,-32.0625,-40.125,-6.3125
610456370750,-25.3125,-34.625,-3.5
610456385740,-22.8125,-30.8125,6.0625
610456408258,-20.8125,-22.5,12.625
610456430757,-10.3125,-17,21.25
610456445777,7,-14.375,23.375
610456468240,9.8125,-14.125,20.6875
610456490761,-2.75,-12.125,17.5
610456505728,-17,-15.1875,13.125
610456528268,-12.8125,-17,3.9375
610456550790,-9.1875,-24.5625,0.3125
610456565699,-3.3125,-30.875,-3.0625
610456588224,5.125,-32.625,-4.9375
610456610745,15.3125,-40.0625,-4.0625
610456625754,35.5625,-53.6875,-0.3125
610456648267,15.4375,-74.875,4.9375
610456670753,16.3125,-73,4.6875
610456685698,2.75,-64.25,6.375
610456708273,-15.75,-46.875,10.5
610456730726,-13.3125,-36.6875,11.75
610456745783,5.625,-32.375,13.4375
610456768254,26.4375,-30.6875,12.3125
610456790693,27.4375,-28.75,12.25
610456805747,17.6875,-25.5625,11.625
610456828265,7.3125,-23.6875,10.5625
610456850754,0.625,-24.875,10.125
610456865753,-0.875,-29.0625,8
610456888277,-1.5625,-28.1875,6.5625
610456910764,-1.9375,-21.5625,3
610456925727,5.0625,-14.1875,0.625
610456948292,9.4375,-13.25,0.625
610456970752,7.6875,-14.8125,2.125
610456985742,2.1875,-14.4375,2.25
610457008205,-1.5,-9.6875,1.1875
610457030749,-5.5625,-3.3125,-0.5
610457045733,-3.75,1.875,-1.1875
610457068247,-2.75,4.75,-0.9375
610457090764,-1.0625,2.1875,0.875
610457105763,1.125,0.0625,2.6875
610457128252,2.8125,1.3125,4.3125
610457150820,5,2.5,5.25
610457165769,5.6875,1.625,5.8125
610457188260,2.0625,-0.875,7.125
610457210761,-0.9375,-1.875,7.8125
610457227194,2.875,-1.4375,8.375
610457248288,9.375,-0.8125,8.75
610457270718,9.4375,0.125,9.4375
610457287213,3.6875,-0.125,10.5625
610457308256,0.0625,-0.25,12
610457330759,1.5625,1.125,12.625
610457347228,6.1875,2.9375,11.375
610457368255,7.9375,5.125,9.5625
610457390791,4,5.75,9
610457407176,-3.25,6.5625,9.375
610457428277,-4.5625,8.3125,8.9375
610457450753,0.125,10.625,8.125
610457467168,2.4375,12.25,7.9375
610457488262,2.0625,13.5,8.75
610457510738,-0.8125,13.9375,10.1875
610457527292,-1.6875,14.625,11.4375
610457548382,-2.125,16.125,12.125
610457570848,-2.3125,18.0625,12.75
610457587186,-1.4375,20.0625,12.6875
610457608298,-1.8125,21.125,11.6875
610457630809,-3.1875,21.4375,9.9375
610457647255,-2.0625,19.125,7.6875
610457668308,-1,14.8125,3.875
610457690787,-3.625,11.6875,-0.5
610457707172,-9.4375,7.9375,-3.75
610457728327,-15.8125,5.125,-6.125
610457750733,-21.1875,3,-6.625
610457767208,-21.8125,2.0625,-7.6875
610457788225,-18.4375,1.5,-9.375
610457810741,-14.75,-1.0625,-11.1875
610457827205,-15.1875,-2.4375,-12.1875
610457848268,-17.8125,-3.875,-12.5625
610457870776,-20.75,-4.75,-12.3125
610457887322,-22.625,-4.6875,-12.125
610457908259,-22,-4.4375,-12.5
610457930811,-20.8125,-2.8125,-15.625
610457947219,-21.0625,-1.5625,-18.625
610457968284,-23.6875,-2.4375,-20.9375
610457990843,-25.4375,-3.1875,-23.1875
610458007246,-26.8125,-4.6875,-25.0625
610458028333,-26.0625,-6.0625,-26.9375
610458050794,-21.5625,-6.6875,-29.75
610458067240,-22.4375,-5.75,-31
610458088254,-28.375,-6.625,-28.4375
610458110757,-32,-9.375,-23
610458127211,-27.9375,-9.1875,-20.25
610458149709,-17.0625,-5.0625,-22.25
610458170839,-8.0625,-2.6875,-25.3125
610458187226,-10.1875,-2.8125,-25.3125
610458209718,-17.875,-2.375,-21
610458230800,-19.9375,0.25,-15.8125
610458247175,-11.4375,1.875,-14.5625
610458269752,-2.625,2.4375,-16.8125
610458290808,-0.625,4.0625,-19.5625
610458307215,-5.9375,6.6875,-19.5
610458329691,-11.4375,7.9375,-16.375
610458350834,-11.25,8.125,-12.875
610458367198,-4.625,8.375,-10.375
610458389745,2.875,8.625,-9.25
610458410766,4.125,7.125,-9.125
610458427265,-0.6875,4.5,-7.125
610458449778,-3.625,2.5625,-5.875
610458470761,-0.875,1.3125,-5.0625
610458487297,4.875,-0.0625,-5.25
610458509722,6.6875,-0.6875,-6.875
610458530778,5.1875,-0.25,-7.5
610458547224,4.3125,1.0625,-6.875
610458569727,5.0625,1,-6
610458590775,6.375,0.0625,-5.3125
610458607221,5.125,-0.9375,-4.4375
610458629753,1.9375,-1.1875,-4.125
610458650779,1.9375,-1.25,-4
610458667218,2.9375,-0.4375,-4.125
610458689724,2.4375,0.25,-3.0625
610458710857,1.75,0.375,-1.875
610458727219,1.0625,0.625,-0.875
610458749694,2.5625,1,-0.5625
610458770759,3.625,1.375,-1.25
610458787198,3.0625,0.75,-2.5
610458809707,1.75,0.75,-2.9375
610458830802,0.75,1.4375,-3
610458847189,0.0625,1.4375,-2.75
610458869750,0.375,0.9375,-2.375
610458890799,0.5,-0.4375,-2.25
610458907201,0,-1.8125,-1.875
610458929746,-0.5625,-2.9375,-1.9375
610458950824,-0.0625,-3.0625,-2.625
610458967243,-0.0625,-3.125,-2.6875
610458989791,-0.625,-3.625,-2.0625
610459010808,-0.5625,-3.625,-1.75
610459027242,1.0625,-4,-1.6875
610459049778,1.625,-4.375,-1.625
610459072255,0.8125,-4,-1.1875
610459087254,0.5,-2.9375,-1.5625
610459109754,0.9375,-1.9375,-1.625
610459132217,1,-1.25,-2.125
610459147240,0.0625,-1.6875,-2.625
610459169719,-0.625,-2.625,-3
610459192215,-0.5625,-2.8125,-4.125
610459207232,-0.5625,-2.5,-4.75
610459228981,-1,-2,-3.8125
610459251444,0,-1.625,-2.3125
610459267905,0.9375,-1.1875,-1.6875
610459288975,0.0625,-0.6875,-1.0625
610459311560,-0.125,-0.5,-0.625
610459327908,0.9375,-0.3125,-1.5625
610459348942,0.6875,-0.1875,-2.1875
610459371467,-0.375,-0.1875,-2.25
610459387914,-0.875,-0.375,-1.25
610459408964,0.0625,-0.8125,-0.375
610459431485,0.1875,-1,0.125
610459447913,0.625,-0.875,0.3125
610459468951,0.6875,-0.3125,0.5625
610459491491,0.0625,0.1875,0.4375
610459507929,0.4375,-0.375,0.625
610459528928,0.375,-1.6875,0.625
610459551473,-0.1875,-2.25,1.125
610459567917,0.8125,-2,1.3125
610459588953,0.5,-1.4375,1.5
610459611455,0,-1.3125,1.5
610459627906,-0.375,-1.8125,1.625
610459648983,-0.625,-2.1875,1.0625
