myot,myox,myoy,myoz,myost
myot,myox,myoy,myoz,myost
150972489289,0.976562,-0.0654297,0.0927734,0x7fff5fbfe038
150972512065,0.973145,-0.0585938,0.0932617,0x7fff5fbfe038
150972535642,0.975586,-0.0576172,0.0947266,0x7fff5fbfe038
150972550707,0.972656,-0.0585938,0.0893555,0x7fff5fbfe038
150972579497,0.974609,-0.0595703,0.0874023,0x7fff5fbfe038
150972594504,0.972168,-0.0625,0.0927734,0x7fff5fbfe038
150972609604,0.975098,-0.0610352,0.0898438,0x7fff5fbfe038
150972648796,0.979004,-0.0517578,0.102539,0x7fff5fbfe038
150972656517,0.977051,-0.059082,0.0854492,0x7fff5fbfe038
150972670938,0.973633,-0.059082,0.0869141,0x7fff5fbfe038
150972693316,0.974121,-0.0600586,0.0869141,0x7fff5fbfe038
150972715146,0.977539,-0.0688477,0.0893555,0x7fff5fbfe038
150972731083,0.975098,-0.0478516,0.0869141,0x7fff5fbfe038
150972766803,0.970703,-0.0551758,0.0864258,0x7fff5fbfe038
150972776984,0.975098,-0.0595703,0.0874023,0x7fff5fbfe038
150972790734,0.977539,-0.0556641,0.0893555,0x7fff5fbfe038
150972811894,0.976074,-0.0537109,0.090332,0x7fff5fbfe038
150972835027,0.973633,-0.0541992,0.0883789,0x7fff5fbfe038
150972850773,0.980957,-0.0551758,0.0888672,0x7fff5fbfe038
150972871818,0.978516,-0.0493164,0.0839844,0x7fff5fbfe038
150972894269,0.967773,-0.0556641,0.0864258,0x7fff5fbfe038
150972910756,0.974121,-0.0507812,0.0869141,0x7fff5fbfe038
150972931810,0.978027,-0.0483398,0.0893555,0x7fff5fbfe038
150972954273,0.975586,-0.0556641,0.0942383,0x7fff5fbfe038
150972970784,0.978516,-0.050293,0.0893555,0x7fff5fbfe038
150972991781,0.981445,-0.0439453,0.0981445,0x7fff5fbfe038
150973014261,0.976562,-0.0571289,0.0976562,0x7fff5fbfe038
150973030747,0.970703,-0.0546875,0.0942383,0x7fff5fbfe038
150973060011,0.976074,-0.0473633,0.0942383,0x7fff5fbfe038
150973074364,0.969727,-0.0541992,0.0869141,0x7fff5fbfe038
150973090744,0.970215,-0.0439453,0.0932617,0x7fff5fbfe038
150973111876,0.967773,-0.0522461,0.0927734,0x7fff5fbfe038
150973134365,0.974609,-0.059082,0.0942383,0x7fff5fbfe038
150973150747,0.978516,-0.0385742,0.101562,0x7fff5fbfe038
150973171826,0.967285,-0.0488281,0.0874023,0x7fff5fbfe038
150973194306,0.970703,-0.059082,0.0996094,0x7fff5fbfe038
150973210759,0.974121,-0.0478516,0.0991211,0x7fff5fbfe038
150973233241,0.972656,-0.0566406,0.0991211,0x7fff5fbfe038
150973254304,0.973145,-0.0493164,0.0991211,0x7fff5fbfe038
150973270771,0.965332,-0.0571289,0.0869141,0x7fff5fbfe038
150973293250,0.970215,-0.0532227,0.0922852,0x7fff5fbfe038
150973314301,0.980957,-0.0488281,0.0966797,0x7fff5fbfe038
150973330746,0.974121,-0.0454102,0.0932617,0x7fff5fbfe038
150973359989,0.973145,-0.0556641,0.0908203,0x7fff5fbfe038
