timestamp,x,y,z,w
61902606070,-0.109924,-0.582764,0.00012207,0.805176
61902637873,-0.109985,-0.582764,0.000305176,0.805176
61902638647,-0.110046,-0.582825,0.000488281,0.805115
61902651725,-0.110168,-0.582947,0.000549316,0.804993
61902674298,-0.110779,-0.582947,0.000488281,0.804932
61902696788,-0.111267,-0.582703,0.000549316,0.805054
61902711724,-0.111145,-0.582581,0.0010376,0.805115
61902734277,-0.110779,-0.58252,0.00146484,0.805237
61902756734,-0.11084,-0.582397,0.00158691,0.805298
61902771096,-0.111267,-0.582214,0.00164795,0.805359
61902794784,-0.11145,-0.58197,0.00189209,0.805542
61902824924,-0.111267,-0.581787,0.00244141,0.805725
61902839221,-0.111023,-0.581604,0.00280762,0.805847
61902855675,-0.111084,-0.581421,0.00292969,0.805969
61902884886,-0.111389,-0.581238,0.00292969,0.806091
61902891115,-0.11145,-0.581238,0.00299072,0.806091
61902947073,-0.111328,-0.580994,0.0032959,0.806274
61902959087,-0.111084,-0.580933,0.00341797,0.806335
61902970338,-0.111023,-0.580933,0.00341797,0.806335
61902975767,-0.111267,-0.580688,0.00335693,0.806458
61902996750,-0.111511,-0.580566,0.00323486,0.806519
61903011131,-0.111633,-0.580322,0.00341797,0.806702
61903034288,-0.111572,-0.5802,0.003479,0.806824
61903056774,-0.11145,-0.580078,0.003479,0.806885
61903071077,-0.11145,-0.579895,0.00341797,0.807007
61903094246,-0.11145,-0.579895,0.00341797,0.807007
61903116904,-0.11145,-0.579895,0.00341797,0.807068
61903131093,-0.111572,-0.579529,0.003479,0.807312
61903154303,-0.111084,-0.578735,0.00360107,0.807922
61903178214,-0.110291,-0.577881,0.00402832,0.808655
61903191081,-0.110046,-0.577209,0.00402832,0.809143
61903215656,-0.110229,-0.57666,0.00366211,0.809448
61903236779,-0.110596,-0.576477,0.0032959,0.80957
61903251074,-0.110657,-0.576538,0.0032959,0.80957
61903274279,-0.110657,-0.576538,0.0032959,0.80957
61903296764,-0.110718,-0.576355,0.00317383,0.809631
61903311128,-0.110779,-0.576111,0.00280762,0.809814
61903334247,-0.110901,-0.575989,0.00256348,0.809875
61903356801,-0.110962,-0.575928,0.0022583,0.809937
61903372501,-0.111145,-0.575806,0.0020752,0.809998
61903394325,-0.111328,-0.575439,0.00183105,0.810181
61903416773,-0.111328,-0.575195,0.00177002,0.810425
61903432519,-0.111206,-0.574829,0.00158691,0.810669
61903454272,-0.111206,-0.574402,0.00146484,0.810974
61903476806,-0.11145,-0.573853,0.00128174,0.81134
61903492589,-0.11145,-0.573242,0.0012207,0.811768
61903522838,-0.111389,-0.572571,0.00134277,0.812256
61903536768,-0.111572,-0.571838,0.00134277,0.812744
61903552542,-0.111694,-0.570984,0.00152588,0.813293
61903574241,-0.111755,-0.570068,0.00189209,0.813965
61903596821,-0.111572,-0.569092,0.00244141,0.814636
61903612574,-0.111389,-0.567993,0.00305176,0.81543
61903635751,-0.111145,-0.566711,0.00360107,0.816345
61903656807,-0.111145,-0.56543,0.00396729,0.817261
61903672520,-0.111206,-0.564087,0.00457764,0.818176
61903695075,-0.110962,-0.562683,0.00537109,0.819153
61903716806,-0.110413,-0.561096,0.00604248,0.820312
61903732502,-0.110474,-0.559326,0.00604248,0.821533
61903755083,-0.111023,-0.55719,0.00604248,0.822876
61903778187,-0.111389,-0.554932,0.00610352,0.824402
61903792579,-0.11084,-0.552551,0.00665283,0.82605
61903815057,-0.109436,-0.550049,0.00726318,0.827881
61903838219,-0.108521,-0.547241,0.00732422,0.829834
61903852574,-0.108398,-0.544006,0.00701904,0.832031
61903875129,-0.108215,-0.540405,0.00701904,0.834351
61903898238,-0.107666,-0.536804,0.00744629,0.836792
61903912608,-0.106934,-0.533264,0.00799561,0.839111
61903935048,-0.106384,-0.530029,0.00848389,0.841248
61903958221,-0.10614,-0.526978,0.00891113,0.843201
61903972566,-0.105774,-0.524048,0.00921631,0.845032
61903995054,-0.105286,-0.521301,0.00970459,0.846802
61904018220,-0.104736,-0.518738,0.0100098,0.848389
61904032535,-0.104675,-0.516296,0.0106201,0.849915
61904055060,-0.104553,-0.513733,0.0117798,0.851501
61904078184,-0.104004,-0.510986,0.0130005,0.853149
61904092536,-0.103699,-0.508423,0.0133667,0.854736
61904115086,-0.104431,-0.506348,0.0133667,0.855896
61904138899,-0.105469,-0.503906,0.0133057,0.857178
61904159332,-0.106262,-0.501709,0.0133667,0.858398
61904175107,-0.106079,-0.499573,0.013855,0.859619
61904198186,-0.10498,-0.497742,0.0146484,0.86084
61904212576,-0.103455,-0.495972,0.0157471,0.862
61904236785,-0.10199,-0.493835,0.0170288,0.863403
61904258250,-0.100708,-0.491394,0.0181885,0.864868
61904279274,-0.0996704,-0.48877,0.0189819,0.866455
61904295131,-0.098938,-0.48645,0.0192871,0.867859
61904318254,-0.0986938,-0.48407,0.0193481,0.869202
61904339296,-0.0985107,-0.481567,0.0193481,0.870667
61904355101,-0.0978394,-0.479126,0.0197144,0.87207
61904378200,-0.0964966,-0.477234,0.0199585,0.87323
61904399312,-0.095459,-0.47583,0.0198364,0.874084
61904415062,-0.0952759,-0.474243,0.0195312,0.875
61904438217,-0.0953369,-0.472412,0.0194702,0.875977
61904459338,-0.0949097,-0.470276,0.0197754,0.877197
61904475024,-0.0941162,-0.468018,0.0210571,0.878418
61904498209,-0.0930176,-0.465942,0.022522,0.879639
61904519297,-0.0917358,-0.464233,0.0240479,0.880615
61904535047,-0.0913086,-0.461975,0.0253906,0.881775
61904558197,-0.0914307,-0.458862,0.0269775,0.883362
61904579289,-0.0908813,-0.455688,0.029541,0.88501
61904595129,-0.0891724,-0.452454,0.0324707,0.886719
61904617536,-0.0870972,-0.449402,0.0356445,0.888367
61904639284,-0.0853271,-0.446045,0.0384521,0.890076
61904655047,-0.0842285,-0.442566,0.0408325,0.891846
61904677564,-0.0834351,-0.438782,0.0429077,0.893677
61904699310,-0.0826416,-0.434998,0.0449829,0.895508
61904715054,-0.0812378,-0.431335,0.0473022,0.897278
61904737583,-0.0795898,-0.427795,0.0497437,0.898987
61904760731,-0.0778809,-0.424438,0.052063,0.900574
61904775057,-0.0762939,-0.421204,0.0542603,0.9021
61904797603,-0.0751953,-0.418213,0.0564575,0.903442
61904820704,-0.0743408,-0.415283,0.0586548,0.904724
61904835090,-0.0733032,-0.412476,0.0608521,0.905945
