myot,myox,myoy,myoz
1455129920,myox,myoy,myoz
284842606731,0.100098,-0.916016,0.599121
284842620998,0.0463867,-0.779297,0.57959
284842643607,0.00732422,-0.713379,0.583496
284842666709,0,-0.742676,0.574219
284842681057,0.00732422,-0.77002,0.59082
284842703574,-0.00146484,-0.733887,0.579102
284842726721,-0.015625,-0.659668,0.554199
284842741059,0.0102539,-0.674805,0.576172
284842763652,-0.00390625,-0.690918,0.595703
284842786713,-0.0249023,-0.664062,0.601074
284842801173,-0.0356445,-0.650391,0.629395
284842823616,-0.012207,-0.65332,0.675293
284842846749,0.0268555,-0.650879,0.73877
284842861087,0.0356445,-0.706543,0.757324
284842883614,0.0415039,-0.786621,0.740723
284842906789,0.0854492,-0.803223,0.772461
284842921052,0.131836,-0.80127,0.759766
284842943506,0.125488,-0.66748,0.718262
284842966700,0.201172,-0.611328,0.618652
284842990676,0.313965,-0.841797,0.682617
284843003543,0.370117,-0.894531,0.715332
284843026821,0.355469,-0.782715,0.713867
284843041117,0.366211,-0.769531,0.729492
284843063616,0.40625,-0.738281,0.680664
284843086800,0.438965,-0.682617,0.617676
284843101171,0.418457,-0.716797,0.716309
284843123591,0.361816,-0.75293,0.769531
284843147125,0.337402,-0.708496,0.79248
284843161087,0.312988,-0.694824,0.753418
284843183560,0.296387,-0.69873,0.713867
284843206667,0.273926,-0.671387,0.65625
284843220999,0.291016,-0.640625,0.616211
284843243575,0.322754,-0.648926,0.583008
284843266703,0.357422,-0.662598,0.568359
284843281173,0.350098,-0.648926,0.544922
284843304985,0.34375,-0.596191,0.509277
284843326741,0.35498,-0.577637,0.486328
284843341069,0.392578,-0.638184,0.479004
284843363553,0.468262,-0.895996,0.544434
284843386715,0.495117,-1.14355,0.558105
284843401069,0.439941,-0.866699,0.537598
284843423552,0.339355,-0.604492,0.546875
284843446709,0.363281,-0.624023,0.571777
284843461060,0.40918,-0.677246,0.625488
284843483591,0.441406,-0.630371,0.646484
284843506702,0.430176,-0.609375,0.672852
284843521062,0.416504,-0.597656,0.67041
284843543519,0.426758,-0.634277,0.653809
284843566720,0.42627,-0.675781,0.641602
284843581021,0.418457,-0.681152,0.619141
284843603553,0.406738,-0.682129,0.607422
284843626076,0.397949,-0.69873,0.595215
284843641046,0.388672,-0.69873,0.59375
284843663545,0.390625,-0.686523,0.605957
284843686072,0.393555,-0.678223,0.60498
284843701085,0.397461,-0.670898,0.610352
284843723649,0.408691,-0.675293,0.616699
284843747571,0.407227,-0.666504,0.614258
284843761061,0.405273,-0.65332,0.622559
284843783565,0.406738,-0.661133,0.628906
284843806024,0.428711,-0.675293,0.636719
