myot,x,y,z
58483251856,-2.8125,9.125,-3.9375
58483283162,0.4375,10.625,-2.6875
58483285283,1,10.3125,-1.75
58483304446,-5.5,9.9375,-0.8125
58483319452,-5.5625,9.0625,-0.5
58483343143,-8.6875,6.875,-2.1875
58483364545,-3.625,0.75,-2.5625
58483401114,-2.0625,-0.25,-2
58483411240,3.1875,-1.625,-2.125
58483424257,3,-5.6875,-2.375
58483439290,2.0625,-6.125,-2.4375
58483461756,0.8125,-4.25,-2
58483484298,2.9375,-2.25,-1.4375
58483499249,2.5625,-1.4375,-1.0625
58483521823,2.1875,-0.6875,-1
58483544317,1.625,0,-0.625
58483559328,1.9375,0.6875,-0.375
58483581773,3.4375,1.3125,-0.0625
58483604312,3.9375,1.1875,0.0625
58483619296,2.5625,1.0625,-0.125
58483641806,1.375,1,-0.0625
58483664309,2.125,1,-0.5
58483679303,3.1875,1,-0.75
58483701808,2,1.1875,-0.6875
58483725022,1.4375,1.1875,-0.5625
58483739308,0.5,1.4375,-1
58483761796,-0.1875,1.375,-1.0625
58483784267,-0.0625,1.4375,-1.25
58483799265,-1.3125,1.5625,-1.25
58483821822,-1.125,1.1875,-1.1875
58483844299,-0.125,1,-0.9375
58483859364,-1.125,0.875,-0.9375
58483881871,-2.875,0.9375,-0.75
58483904368,-2.25,0.75,-0.3125
58483919284,0.5,0.9375,0
58483941826,0.4375,0.8125,0.5625
58483964336,2.25,0.8125,1.1875
58483979317,3.125,1.0625,1.25
58484001853,1.0625,1.0625,1.4375
58484024362,0.0625,1.125,1.5625
58484046817,-0.75,1.25,1.8125
58484061838,-0.3125,0.75,1.6875
58484084288,0.375,0.75,1.9375
58484098668,1.6875,0.6875,1.8125
58484121748,1.5,0.9375,2
58484144344,0.1875,1.4375,2.375
58484158657,-0.1875,1.375,2.875
58484181861,-1.0625,1.5625,2.375
58484204381,-1.0625,1.3125,2.625
58484218749,0.625,1,3.1875
58484241846,2.875,0.5625,3.375
58484264346,3.625,0.25,3.75
58484278698,3.375,0.3125,4.0625
58484301862,1.9375,0.5625,4.625
58484324391,1.9375,0.8125,4.8125
58484338701,0.6875,0.875,5.3125
58484361880,1.5,0.5625,5.5
58484384296,2.875,0.1875,5.8125
58484400143,4.4375,0.125,6
58484423280,3.125,0.5625,5.9375
58484444441,1.125,1.0625,6.125
58484460134,-0.375,1.5,6.25
58484483340,0,1.625,6.375
58484504357,-0.125,1.625,6.625
58484520102,1.375,1.625,6.6875
58484543710,0.125,1.625,7.125
58484564415,-0.0625,1.5625,8
58484580199,0.8125,0.75,8.1875
58484603323,1,0,8.375
58484624348,-0.9375,-0.75,8.5
58484640099,-5.3125,-0.8125,7.375
58484663294,-3.625,-0.6875,7.75
58484684386,-4.8125,0.125,8.1875
58484700190,-1.6875,0.5625,9
58484723278,-1.125,1.25,9.6875
58484744373,0.5,2.4375,10.5
58484760164,-0.1875,3.625,11.0625
58484783262,0.375,4.5625,11.5625
58484804337,2.875,5.3125,11.6875
58484820142,0.375,6.25,11.875
58484843333,-1.625,7.0625,12.0625
58484864333,-4.25,7.3125,12.4375
58484880076,-3.5,7.375,12.6875
58484903315,-2.0625,7.8125,12.8125
58484924368,-4.875,8.5625,13.0625
58484940057,-8.6875,9.4375,13.375
58484970719,-14.375,10.1875,14.0625
58484984310,-23.125,10.125,13.8125
58485000180,-31.6875,8.875,14.0625
58485022641,-20.5625,7.25,13.6875
58485044404,-3.75,6.25,13.8125
58485060095,-4.6875,6.6875,13.875
58485082637,-12.9375,6.125,14.6875
58485104387,-13.3125,5.3125,15.125
58485120119,-9.3125,2.6875,14.375
58485142640,-8.375,0.8125,14.75
58485164345,-10,-3.875,14.625
58485180145,-5.5625,-25.25,12
58485202645,-9.0625,-19.375,12.1875
58485225795,-5.75,-15.875,11.375
58485240191,-5.375,-13.6875,12.0625
58485262659,-8.25,-12.25,11.8125
58485285812,-9.0625,-12,11.75
58485300162,-8.6875,-10.6875,11.75
58485322641,-9.5,-7.4375,12.375
58485345776,-10.25,-2.625,12.6875
58485360164,-9.125,1.25,12.375
58485382599,-5.5625,1.9375,12.3125
58485406411,-8.875,3.25,11.25
58485420101,-10.875,3.75,10.875
58485442644,-7.5625,3.1875,9.6875
58485465763,-11.5625,1.25,8.5
58485480204,-1.8125,-0.1875,7.0625
58485502657,-1.25,-1.25,5.5
58485525795,-1.5625,-1.75,3.4375
58485540123,0.125,-2,3.0625
58485562670,1.75,-2.875,2.0625
58485585835,5.875,-4.6875,1.3125
58485600145,9.625,-5.25,0.375
58485622627,14.1875,-6.1875,-0.6875
58485645804,12.625,-5.625,-2.5
58485660166,4.1875,-2.25,-1.8125
58485690753,-2.75,-0.75,-1
