myot,x,y,z
82425007269,-0.4375,-0.125,0.1875
82425022320,-0.75,-0.3125,0.25
82425046585,-0.4375,-0.375,0.4375
82425067294,0.5625,-0.3125,0.4375
82425083499,1.1875,-0.1875,0.375
82425104855,0.625,0.0625,0.3125
82425127709,-0.3125,-0.1875,0.4375
82425167512,-0.0625,-0.375,0.375
82425168305,0.125,-0.1875,0.125
82425188368,0.125,-0.0625,-0.125
82425206293,0.625,-0.5,0.3125
82425224850,0.5625,-0.3125,0.4375
82425247756,-0.0625,0,0.3125
82425277173,-0.4375,0.1875,-0.0625
82425288910,-0.5,0.0625,-0.1875
82425307822,0.125,-0.125,0
82425322108,0.125,0.125,0.1875
82425345283,-0.125,0.0625,0.25
82425367771,-0.125,-0.1875,0.4375
82425382106,-0.125,-0.3125,0.3125
82425405300,-0.25,-0.0625,-0.125
82425427788,-0.4375,0.1875,-0.375
82425442134,0,0.125,-0.375
82425464629,0.125,-0.125,-0.1875
82425487891,0.4375,0.0625,-0.0625
82425502131,0.125,0.0625,-0.3125
82425524660,-0.6875,0.1875,-0.5
82425547786,-0.375,-0.3125,-0.3125
82425562164,0.25,-0.375,-0.1875
82425584671,0.6875,-0.25,-0.125
82425607815,0.4375,0,-0.0625
82425622103,0.375,0,0.0625
82425644620,0.3125,-0.0625,-0.125
82425667801,-0.1875,0,-0.3125
82425682144,-0.625,0.3125,-0.1875
82425704704,-0.5625,0.3125,0
82425727782,0.3125,-0.0625,-0.125
82425742095,0.5625,-0.25,-0.125
82425764655,0.0625,0,-0.1875
82425787847,-0.3125,0.3125,-0.1875
82425803624,-0.4375,0.0625,-0.125
82425824730,-0.625,0.0625,0.0625
82425847812,-0.4375,0,0.3125
82425863623,0.25,0.1875,0.25
82425884676,1.5625,-0.1875,-0.0625
82425907853,0.375,-0.3125,-0.5625
82425923620,-0.8125,-0.0625,-0.5625
82425944657,-0.5625,-0.0625,-0.0625
82425967771,0.0625,0.0625,0.0625
82425983574,0.3125,0,0
82426004632,-0.0625,0.1875,-0.0625
82426027776,-0.4375,0,0.3125
82426043602,0.3125,0,1
82426064634,-1.1875,0.0625,2.0625
82426087814,-4.125,-0.125,2.25
82426103593,-6.375,-1.875,3.125
82426124667,-7.875,-2.3125,3.375
82426147833,-5.3125,-2.4375,2.8125
82426163655,-0.4375,-2.3125,2.1875
82426184662,-2.1875,-0.9375,2.5
82426207798,-8.875,0.5625,3.375
82426223638,-14.1875,2.25,3.5625
82426244697,-20.125,5.125,-0.5625
82426275477,-19.25,3.0625,-0.9375
82426283624,-10.1875,-1.5,-2.8125
82426304658,-4.0625,-6.125,-6.625
82426327121,-0.6875,-6.75,-6.9375
82426343627,4.8125,-2.4375,-2.6875
82426364599,-0.0625,-0.375,1.75
82426387125,-9.0625,0.1875,3.625
82426403600,-5.3125,-0.1875,3.4375
82426424651,-1.75,-0.25,2.1875
82426447180,0.875,1.625,1.75
82426463612,1.4375,1.875,4.375
82426484676,9.125,0.6875,6.0625
82426507159,27.75,4.75,11.0625
82426523633,58,11.0625,9.375
82426544748,49,17.125,7.875
82426567236,43.4375,22.8125,8.375
82426583656,42.25,26.875,10.5
82426604725,28.6875,27.5,13
82426627208,19.375,24.9375,11.75
82426643609,15.5,22.9375,12.9375
82426664650,14.875,18.8125,10.9375
82426687126,8.1875,20.125,7.3125
82426711101,6.125,23.25,7.6875
82426726104,8.25,28.3125,8.25
82426747185,3.6875,36.5625,6.75
82426763620,6.625,42.6875,8
82426786118,16.125,49.4375,7.375
82426807152,24.8125,59.1875,7
82426823643,33.8125,67.875,4.3125
82426846149,34.0625,77.375,7.0625
82426867195,33.4375,82.5625,14.375
82426883624,30.4375,80.25,17.25
82426906165,15.1875,80.9375,19
82426927176,6.0625,79.625,17.1875
82426943671,6.125,78.3125,15.9375
82426966165,10.25,75.625,18.3125
82426988633,11.875,71.625,21.4375
82427003657,8.375,66.0625,24.625
82427026128,1.3125,57.6875,26.9375
82427047208,-9.8125,53.625,26.875
82427063644,-14.6875,46.8125,27.8125
82427086121,-15.6875,38.8125,28.4375
82427107160,-15.8125,33,30.0625
82427123617,-11.0625,31.5,29.125
82427146143,-1.3125,35.5,25.375
82427167201,7.375,36.5625,21.6875
82427183669,8.4375,37.0625,18
82427206147,6.9375,38.375,14.1875
82427227234,6.125,40.625,10.5
82427243660,9.0625,41.6875,6.9375
82427266165,11.3125,37.9375,8.5625
82427287245,2.9375,36.4375,12.1875
82427303681,-0.875,30.75,13.9375
82427326120,8.1875,24.1875,11.125
82427347225,19.625,22.1875,6.3125
82427362845,12.375,19.8125,-1.1875
82427386820,6.1875,16.4375,-1.875
82427407829,-5.9375,14.125,-1.75
82427422831,-24.8125,11.5625,-2.125
82427445333,-34.5,12.125,-3.0625
82427467837,-43.9375,13.4375,-0.3125
82427482852,-29.3125,11.875,0.875
82427505295,-25.25,10.9375,0.625
82427527861,-20.8125,11.875,-2.0625
82427542827,-9.4375,13.25,-3.5625
82427565374,3.4375,15.8125,-5.9375
82427587830,8.25,16.3125,-7.1875
82427602853,9.625,13.3125,-7.5
82427625360,7.0625,13.8125,-7.0625
82427647905,2.5625,13.5,-6.4375
82427662854,2,12.625,-6.5
82427685378,1.125,13.8125,-4.9375
82427707850,1.625,14.3125,-4.375
82427722820,-3.1875,14.1875,-3.625
82427745386,-9.8125,13.4375,-4.875
82427767853,-12.8125,9.375,-6.1875
82427782856,-12.25,6.5,-8.3125
82427805378,-9.625,2.6875,-10.5
82427827892,-8.125,-1.6875,-12.6875
82427842884,-10.1875,-5.8125,-12.5625
82427865386,-13.1875,-6.5625,-10
82427887903,-11.6875,-7.8125,-7.375
82427904315,-5.3125,-10.625,-4.75
82427925366,-3.9375,-14.25,-3.1875
82427947899,-5.1875,-18.0625,-1.4375
82427964333,-13.75,-21,2.75
82427985398,-18.5625,-22.5625,8.25
82428015332,-16.25,-21.75,12.125
82428024312,-15.875,-22.1875,12.5625
82428045321,-16.0625,-25.8125,12.375
82428067685,-15.6875,-28.25,12.8125
82428084314,-11.0625,-29.6875,9.5
82428105318,-8.4375,-28.75,5.0625
82428127905,-6.1875,-27.9375,1.8125
82428144362,-5.125,-24.5625,-3.0625
82428165390,-4.875,-20.8125,-4.9375
82428187921,-4.625,-17.3125,-6.0625
82428204313,-5.4375,-14.75,-7.75
82428225358,-11.75,-10,-7.9375
82428247948,-14.8125,-7.3125,-7.75
82428264319,-16.0625,-7,-7
82428285345,-14.9375,-8.375,-5.4375
82428307894,-15.0625,-8.875,-4.3125
82428324316,-12.8125,-8.625,-1.25
82428345378,-9.125,-6.875,-2.125
82428367869,-10.4375,-7.875,-1.9375
82428384409,-7.875,-9.5625,-3.5
82428405370,-5.625,-11.5625,-4.4375
82428427882,-9.125,-12.4375,-3.4375
82428444340,-12.375,-11.6875,-1.8125
82428465374,-14.3125,-10.3125,-1.5
82428487874,-13.75,-7.875,-2.0625
82428504317,-9.25,-4.5625,-3.125
82428525410,-3.1875,-0.9375,-4.3125
82428547859,-0.0625,0.75,-3.75
82428564314,-1.5,1.5625,-3.1875
82428585336,-5.0625,1.5,-3.3125
82428607839,-4.0625,3.5625,-3.9375
82428623715,3.9375,8.375,-3.1875
82428645359,7.5,13.625,-2.5625
82428667925,6.0625,15.625,-4.375
82428683650,7,16.875,-5.0625
82428705356,4.25,15.875,-4.375
82428727970,-0.5,14.375,-3.25
82428743688,-3.9375,10.5,-1.125
82428772913,-3.6875,7.625,0.6875
82428787988,-4.75,3.9375,0.9375
82428803696,-3.9375,4.25,0.8125
82428826834,-2,3.75,0.875
82428847874,-6.125,2,1.125
82428863723,-7.4375,2.9375,-0.1875
82428886825,-6.6875,2.5,-0.0625
82428907972,-4.375,2.25,0.625
82428923701,-2.3125,1.125,0.8125
82428946821,-2.6875,-1.0625,1.625
82428967873,-0.9375,-0.6875,0.9375
82428983638,1.125,-0.8125,0.5
82429006827,1.0625,-1.0625,-0.625
82429027955,-0.8125,-1,-1.9375
82429043712,-1,1.125,-2.125
82429066930,-1,3.8125,-1.5
82429087903,0,6.0625,-1.1875
82429103690,-2.3125,6.375,-2.3125
82429126811,0.1875,5.8125,-2.3125
82429147837,0.8125,5.5625,-2.3125
82429163713,-1,3.125,-1.8125
82429186950,-2.1875,-0.75,-1.8125
82429209333,-4.0625,-4,-1.375
82429223635,-2.6875,-5.3125,-1.75
82429247283,-1.6875,-5.6875,-1.875
82429267977,-1.1875,-4.5625,-1.25
82429283682,0.375,-3.8125,-0.8125
82429306846,1.4375,-1.625,-0.375
82429327927,2.4375,-0.5625,-0.625
82429343658,0.875,0.875,-1.625
82429366809,1.0625,1.375,-1.4375
82429387951,-0.4375,2.5,-0.9375
82429403736,-0.375,2.6875,0.5625
82429426851,0.9375,1.8125,2.75
82429447921,7.6875,1.1875,5.6875
82429463691,11.3125,1.4375,4.625
82429486827,10.6875,1.8125,3.75
82429507955,6.125,0.125,3.3125
82429523724,-0.5625,-2.625,2.1875
82429546928,-4.5625,-3.625,-0.4375
82429567919,-4.1875,-3.5625,-1.75
82429583667,-3.375,-4.0625,-1.5
82429606147,-3.5,-4.25,-1.0625
82429627849,-2.3125,-4.625,-1.8125
