myot,myox,myoy,myoz
1458294107,myox,myoy,myoz
1006067569,-0.470215,0.097168,0.90918
1006075162,-0.461914,0.105957,0.898438
1006097626,-0.462891,0.125,0.90625
1006120170,-0.460938,0.129883,0.887695
1006135118,-0.456543,0.119629,0.897461
1006157505,-0.441406,0.0981445,0.881836
1006180158,-0.42041,0.0878906,0.880859
1006195049,-0.425781,0.074707,0.908203
1006217639,-0.441895,0.0605469,0.89502
1006240126,-0.45166,0.0576172,0.887695
1006255154,-0.44873,0.0595703,0.875
1006278753,-0.452637,0.059082,0.884766
1006300631,-0.468262,0.0454102,0.906738
1006314985,-0.474609,0.0493164,0.876465
1006337535,-0.477539,0.0449219,0.910645
1006360029,-0.467285,0.0654297,0.802734
1006375155,-0.44043,0.0854492,0.931641
1006397630,-0.470703,0.0283203,0.906738
1006427576,-0.51709,0.0722656,0.90918
1006435003,-0.493164,0.0390625,0.869141
1006458017,-0.495117,0.0585938,0.743652
1006480035,-0.617676,0.0600586,0.939453
1006495115,-0.465332,0.0351562,0.981934
1006517571,-0.382812,0.065918,0.842773
1006540105,-0.36084,0.0820312,0.89209
1006554990,-0.421875,0.0927734,0.846191
1006577625,-0.41748,-0.0136719,0.88916
1006600123,-0.4375,-0.0639648,0.877441
1006615040,-0.408203,-0.00390625,0.868652
1006637638,-0.43457,0.0556641,0.897949
1006660136,-0.510254,0.0551758,0.880859
1006675161,-0.536133,0.0297852,0.918945
1006697633,-0.51123,0.03125,0.895996
1006720077,-0.505371,0.0258789,0.895508
1006735122,-0.505371,0.0170898,0.891113
1006757458,-0.499512,-0.000976562,0.908203
1006779914,-0.473633,0.0112305,0.89209
1006795190,-0.45166,0.0195312,0.892578
1006817605,-0.444824,-0.00683594,0.870117
1006839987,-0.445801,-0.0151367,0.896484
1006855128,-0.448242,0.00146484,0.890625
1006877607,-0.458008,-0.0078125,0.874023
1006900076,-0.476562,-0.0224609,0.87207
1006915047,-0.476074,-0.0180664,0.882324
1006937629,-0.470215,0.0126953,0.903809
1006960071,-0.478516,0.0209961,0.88623
1006975075,-0.466797,0.00830078,0.875488
1006997457,-0.459961,0.00537109,0.887695
1007019946,-0.463867,0.00146484,0.893555
1007035128,-0.470215,-0.0151367,0.891113
1007057693,-0.468262,-0.0224609,0.887695
1007080122,-0.463379,-0.012207,0.882324
1007095140,-0.458496,-0.0107422,0.885742
1007117548,-0.437988,-0.00537109,0.870117
1007140058,-0.380859,0.00439453,0.848145
1007155141,-0.359375,-0.012207,0.888184
1007177685,-0.432129,-0.0537109,0.944824
1007200110,-0.538086,-0.126953,0.808105
1007215100,-0.530273,-0.159668,0.858398
1007237626,-0.558594,-0.129883,0.869141
1007260096,-0.603027,-0.151367,0.90332
1007275147,-0.570312,-0.162109,0.871094
1007297700,-0.566406,-0.131348,0.863281
1007319992,-0.545898,-0.0415039,0.86084
1007335079,-0.517578,0.0239258,0.886719
1007357540,-0.501465,0.0556641,0.905762
1007380119,-0.494141,0.0444336,0.90918
1007395161,-0.514648,0.0112305,0.875
1007418116,-0.509766,-0.0361328,0.836426
1007440267,-0.478516,-0.0595703,0.874512
1007455169,-0.468262,-0.0556641,0.87793
1007477575,-0.478516,-0.0419922,0.875488
1007507674,-0.492188,-0.0478516,0.879883
1007515135,-0.492188,-0.0546875,0.868652
1007537514,-0.486816,-0.0644531,0.868652
1007560188,-0.47998,-0.0419922,0.875
1007575127,-0.483887,-0.0571289,0.901855
1007597601,-0.498535,-0.0527344,0.870605
1007620081,-0.512695,-0.0644531,0.876953
1007635131,-0.515137,-0.0571289,0.879395
1007657427,-0.511719,-0.0229492,0.883301
1007672573,-0.506348,-0.0239258,0.889648
1007695023,-0.513184,-0.0327148,0.887207
1007717610,-0.501953,-0.0390625,0.879883
1007732544,-0.489258,-0.0429688,0.874023
1007755135,-0.497559,-0.0498047,0.890137
1007777640,-0.493652,-0.0454102,0.887695
1007792598,-0.493652,-0.0249023,0.886719
1007815013,-0.490723,-0.0195312,0.879883
1007837610,-0.491211,-0.00927734,0.892578
1007860020,-0.505371,-0.0107422,0.888672
1007875071,-0.488281,0.000488281,0.884277
1007898032,-0.47168,0.0151367,0.883789
1007920203,-0.438477,0.0288086,0.884766
1007935108,-0.388672,0.0463867,0.858887
1007957648,-0.331543,0.0454102,0.860352
1007980216,-0.26709,0.0102539,0.84668
1007995184,-0.216797,0.0327148,0.827637
1008017662,-0.180176,-0.174316,1.21045
1008040154,-0.116699,-0.143066,0.711426
1008055055,0.308105,0.245605,0.399902
1008077660,0.340332,-0.0424805,0.651855
1008100065,0.572266,-0.146973,0.826172
1008115139,0.661621,0.00390625,0.832031
1008137686,0.588379,-0.0551758,0.910645
1008160215,0.550781,0.0224609,0.960449
1008175179,0.355957,0.120117,0.912598
1008197580,0.270996,0.00878906,1.17822
1008220204,0.268066,0.0737305,1.31006
1008235229,0.382812,0.0351562,1.35254
1008257670,0.486816,-0.145508,1.26709
1008280132,0.56543,-0.131836,1.26123
1008295143,0.740234,-0.140137,1.33643
1008317571,0.871582,-0.171875,1.28857
1008339971,0.82666,-0.121582,1.40723
1008355117,0.66748,-0.0869141,1.36328
1008377491,0.564941,-0.0175781,1.34277
1008400093,0.494629,0.0595703,1.36621
1008414982,0.440918,0.0253906,1.31738
1008437650,0.476562,-0.00927734,1.23047
1008460118,0.54541,-0.0493164,1.15283
1008475014,0.583984,-0.100098,1.08594
1008497655,0.617188,-0.128906,1.0376
1008520202,0.599609,-0.150391,0.944336
1008535131,0.543457,-0.149414,0.92627
1008557655,0.450195,-0.13623,0.82959
1008580184,0.41748,-0.101074,0.830078
1008595192,0.375488,-0.0615234,0.789551
1008625134,0.357422,-0.0419922,0.752441
1008640118,0.328125,0.00488281,0.713867
1008655094,0.289062,-0.00537109,0.641602
1008677687,0.34668,-0.0200195,0.639648
1008700157,0.38623,-0.0209961,0.654297
1008715041,0.424805,-0.0732422,0.611328
1008737648,0.464355,-0.0800781,0.666016
1008760106,0.428711,-0.0708008,0.629883
1008775128,0.423828,-0.0722656,0.694336
1008797725,0.461914,-0.0834961,0.770508
1008820223,0.479004,-0.102051,0.819824
1008835067,0.438477,-0.0644531,0.886719
1008857543,0.425781,-0.0170898,0.910156
1008880158,0.45752,-0.0200195,0.984375
1008895171,0.512207,0.00292969,1.05078
1008917675,0.581055,0.0302734,1.10791
1008940157,0.630859,0,1.15723
1008955147,0.669434,-0.00195312,1.19482
1008977686,0.680176,-0.0224609,1.22998
1009000030,0.684082,-0.0639648,1.271
1009015153,0.659668,-0.0839844,1.31445
1009037627,0.621094,-0.0712891,1.33398
1009060196,0.580078,-0.0546875,1.34863
1009075185,0.560547,-0.0283203,1.32373
1009097610,0.571289,-0.00634766,1.32617
1009120036,0.586914,0.0205078,1.2876
1009135056,0.589844,0.0234375,1.25391
1009157683,0.569824,0.00195312,1.1792
1009180247,0.539551,-0.0258789,1.10205
1009195064,0.507812,-0.0361328,1.08936
1009217628,0.455566,-0.0512695,1.00537
1009247653,0.415527,-0.0771484,0.972168
1009255049,0.390625,-0.0888672,0.956055
1009277668,0.355957,-0.074707,0.833496
1009300076,0.334473,-0.0625,0.807129
1009315171,0.331055,-0.0483398,0.767578
1009337690,0.328125,-0.0488281,0.710938
1009360039,0.324219,-0.0512695,0.697754
1009375226,0.307617,-0.0532227,0.683594
1009397487,0.318848,-0.0595703,0.646484
1009420041,0.30957,-0.0727539,0.647949
1009435085,0.313965,-0.0849609,0.663086
1009457655,0.33252,-0.101074,0.683594
1009480132,0.338379,-0.126465,0.689453
1009495176,0.371582,-0.132324,0.781738
1009517654,0.386719,-0.132812,0.789062
1009532648,0.408203,-0.141113,0.82959
1009562615,0.433105,-0.123047,0.90625
1009577632,0.464844,-0.120117,0.956543
1009592647,0.493652,-0.116699,1.00732
1009615154,0.51123,-0.105469,1.0752
1009638129,0.543945,-0.10791,1.12695
1009652721,0.567871,-0.125488,1.18311
1009675062,0.588867,-0.131348,1.23438
1009697681,0.617676,-0.136719,1.30518
1009720235,0.605957,-0.147949,1.29199
1009735070,0.620605,-0.155273,1.33008
1009757682,0.625977,-0.146973,1.3125
1009772690,0.603516,-0.129883,1.30273
1009795160,0.586426,-0.126465,1.29004
1009817662,0.573242,-0.112793,1.28174
1009840228,0.571777,-0.0952148,1.28467
1009855155,0.551758,-0.0952148,1.27148
1009877654,0.535156,-0.0952148,1.17285
1009892739,0.512695,-0.0947266,1.14062
1009915052,0.487793,-0.078125,1.07617
1009937670,0.458496,-0.0649414,0.983398
1009952687,0.458984,-0.078125,0.982422
1009975206,0.431641,-0.0375977,0.89209
1009997702,0.395508,-0.0351562,0.834961
1010012756,0.374023,-0.0219727,0.776367
