timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
264849113587,2,7,5,-3,0,2,7,0
264849121765,-3,-7,-6,-1,-1,0,3,1
264849121765,-2,-4,-12,-1,-2,-2,-1,-3
264849136076,-2,0,2,0,-2,-1,-3,-2
264849136076,-1,-4,-6,-1,0,1,-3,2
264849144275,-2,-7,-17,-3,-4,-1,6,2
264849144275,0,7,19,-3,1,-3,-7,1
264849151087,0,5,14,0,-4,0,10,-6
264849151087,-4,-7,-11,-1,0,1,-14,1
264849158626,0,3,8,-3,-1,-2,-13,-1
264849158626,-3,-7,-6,-3,-1,-2,2,-3
264849173622,-1,-6,-9,-3,0,0,-3,1
264849173622,0,2,-2,-2,0,0,4,3
264849181764,0,7,13,1,0,0,1,-3
264849181764,1,-1,-7,3,-2,-1,-5,-2
264849196094,-4,-7,-10,-5,-1,-1,2,1
264849196094,0,0,1,3,-3,-3,-8,-3
264849204248,-1,-3,0,-1,0,-1,7,1
264849204248,1,5,4,2,-2,0,-3,0
264849211095,0,2,-4,-2,-1,0,2,1
264849211095,-2,-4,2,-2,0,-1,-1,-4
264849226772,-3,-4,-2,2,-1,-1,-3,-2
264849226772,-3,-7,-13,0,-2,-1,0,-1
264849233575,-3,-1,12,1,-1,-1,-4,-2
264849233575,-1,3,-10,2,-3,-1,-2,1
264849241791,2,6,16,-1,-1,-1,3,3
264849241791,-3,-5,-14,1,-1,-1,1,-4
264849256101,-2,-2,-2,1,2,2,13,-8
264849256101,-4,-6,1,-3,0,-3,-18,-3
264849264340,0,-2,-7,1,-2,-1,-4,-3
264849264340,-2,-2,-4,2,-1,1,4,3
264849271105,0,0,2,0,-2,-3,-1,2
264849271105,1,-5,-18,-3,2,-1,3,-3
264849286812,1,8,21,-1,-1,-2,4,1
264849286812,-1,-3,-9,-5,1,0,-2,-4
264849293602,1,8,12,-2,-2,-2,-3,0
264849293602,-3,-5,-3,0,-1,-1,3,1
264849302529,-2,-7,-9,0,-1,-1,-5,-1
264849302529,1,-3,-4,0,-1,-1,1,0
264849316086,-2,-5,-4,-1,0,0,-5,1
264849316086,2,6,6,0,-4,-3,0,2
264849325069,-3,-4,-7,-4,0,-2,-2,-5
264849325069,-4,2,4,2,0,2,15,-8
264849331108,-1,-2,-9,1,-2,-4,-16,0
264849331108,-1,2,5,4,0,0,2,-2
264849347740,-1,-2,2,0,-2,-2,-3,1
264849347740,-1,-1,2,-2,-1,-1,-1,1
264849362576,0,-3,3,-2,0,-2,1,-1
264849362576,-2,-2,-17,-3,-1,-1,3,0
264849364115,-1,-1,11,-5,-1,0,-2,-2
264849364115,0,-5,-20,-1,-2,-1,-5,1
264849376320,0,4,17,0,1,-1,1,1
264849376320,3,5,10,2,-1,1,-1,-1
264849385160,-2,-5,-7,4,0,1,-3,-2
264849385160,-2,-3,-6,-7,-2,0,-4,-1
264849391277,-1,-2,1,-1,-3,-2,2,1
264849391277,0,1,0,1,3,1,-12,-2
264849407606,1,-2,0,-1,0,-2,-3,-5
264849407606,-1,-4,-2,-1,-2,-2,-2,1
264849413672,0,4,4,2,0,0,-3,-7
264849413672,-3,-5,-3,-5,2,1,4,0
264849422625,-1,-1,-8,2,2,2,3,0
264849422625,0,7,2,-5,-3,-5,-12,1
264849436132,-3,-9,-3,-2,-3,-3,-1,0
264849436132,0,4,7,-3,-1,-1,2,-1
264849445053,-1,-1,-2,-4,1,-1,-3,0
264849445053,-2,-5,-1,2,0,0,2,1
264849451136,0,5,-7,0,0,1,-1,0
264849451136,-1,-9,-9,0,-2,1,14,1
264849467616,-1,-2,-3,-1,1,-2,-13,-4
264849467616,0,-5,6,2,-4,-3,-5,1
264849473627,3,7,-9,-7,0,-1,-1,-4
264849473627,-1,1,12,1,-2,-2,-3,1
264849490223,-3,3,-1,-3,1,2,4,-7
264849490223,-1,-3,-4,0,-3,-1,-2,-2
264849496280,-4,-9,-9,0,-3,-2,-6,-1
264849496280,-3,-13,-20,-2,1,-1,2,1
264849505116,6,25,43,-2,-1,1,1,3
264849505116,0,3,5,-1,2,-2,-7,-2
264849511203,-2,-5,-3,1,0,0,6,3
264849511203,-3,-2,-9,-4,-3,-2,-2,-2
264849527727,-4,-13,-15,0,-4,-1,0,-1
264849527727,1,7,6,2,1,1,2,0
264849533594,-1,0,-6,-2,-2,-1,0,0
264849533594,-2,-4,-3,2,1,-1,-2,-2
264849548584,-1,-5,-11,-2,-3,-3,1,0
264849548584,1,5,8,-3,-5,-1,0,-1
264849556143,2,-3,0,-3,1,0,-2,8
264849556143,-1,6,7,-2,-2,-3,-14,-13
264849565071,-6,-13,-15,1,-3,-3,0,-3
264849565071,0,1,-8,0,3,1,0,1
264849571067,-1,4,3,-3,0,-2,0,-2
264849571067,-2,-2,14,-1,-2,0,1,0
264849587553,0,-2,-4,-2,0,0,-2,3
264849587553,0,-1,4,2,2,-1,1,-5
264849593596,0,-3,-9,-4,0,0,2,2
264849593596,-2,0,-10,0,-1,-3,1,-2
264849608565,-3,-4,-4,-2,-4,-3,-1,-4
264849608565,0,0,1,0,-2,1,-1,1
264849616059,0,-1,3,2,-1,0,-2,-1
264849616059,-3,-3,0,-1,-4,0,3,1
264849625070,0,2,-2,1,0,0,0,1
264849625070,-3,-5,-5,-2,-2,-3,0,-4
264849638579,-1,1,5,1,-1,-3,-5,-3
264849638579,1,4,2,1,0,0,0,0
264849647591,1,-1,3,1,0,-2,-7,0
264849647591,1,-1,-2,0,0,-1,-4,-1
264849661963,-3,-10,-11,4,-1,0,1,-2
264849661963,-1,-1,-3,-1,-1,6,2,0
264849668639,3,4,2,-4,-5,-9,0,1
264849668639,-4,-8,-4,-5,3,-3,-3,-3
264849676154,4,11,17,-2,1,0,-1,1
264849676154,3,11,2,0,0,-3,2,0
264849685113,-1,-2,-10,-2,-2,1,2,1
264849685113,-2,-6,-3,-2,-5,0,2,1
264849698848,-2,1,8,-2,-3,-1,-6,-8
264849698848,-2,-5,-10,-3,0,-1,-2,0
264849707603,-2,-3,2,-1,-2,0,0,-3
264849707603,1,0,6,5,0,-2,-1,3
264849722593,-2,-1,-14,0,-2,-1,1,-2
264849722593,-2,-6,-4,2,-1,-2,5,0
264849724090,0,-2,-2,0,3,0,-10,0
264849724090,-3,-4,-6,0,-1,-2,-1,-1
264849736172,-1,0,11,2,-3,0,-2,0
264849736172,-2,-7,-18,-5,-1,-2,-2,-2
264849745128,1,3,6,2,2,1,9,1
264849745128,0,4,1,-3,-4,1,0,0
264849758792,-3,-1,0,0,-3,-4,-8,-3
264849758792,-3,-1,4,0,8,0,-1,2
264849767739,0,-1,-5,2,-12,-1,-1,0
264849767739,0,3,-4,-1,3,1,0,-7
264849782672,-2,-6,-9,-1,-2,-2,0,0
264849782672,-1,0,7,0,0,0,3,-2
264849784136,-3,0,3,-2,4,-3,-1,1
264849784136,-2,-2,-4,-4,-1,-1,-1,0
264849796262,-3,-3,-11,1,2,0,5,1
264849796262,0,2,5,2,-4,-4,-18,1
264849805127,-1,-3,-8,0,-1,0,-1,-2
264849805127,2,7,9,0,-3,-3,9,-1
264849818685,0,-5,-8,-3,-1,0,-10,4
264849818685,-1,-2,3,-3,-3,-1,6,-12
264849827649,-1,-2,-3,-4,-2,-1,-5,-2
264849827649,-2,-4,-5,0,1,0,-9,-4
264849842629,-1,-2,-3,1,-1,-1,9,1
264849842629,-1,0,0,-1,-4,-1,-1,1
264849844063,-2,-2,-6,3,-1,-2,1,-3
264849844063,-3,-3,9,-1,0,0,4,-2
264849856299,0,0,-4,-2,2,-1,-3,0
264849856299,0,1,-4,-2,-4,-3,-3,1
264849865121,-4,-3,0,-2,0,-1,1,-6
264849865121,1,3,-4,-4,-2,-1,-8,4
264849878617,-3,-2,-1,1,0,0,-2,-8
264849878617,-1,0,2,1,6,1,-4,-2
264849887633,-2,-1,-4,-1,0,1,6,-3
264849887633,0,-4,5,1,6,0,0,1
264849902514,-2,0,-7,-1,-9,-4,-4,-4
264849902514,0,-4,-4,-1,-1,-1,0,2
264849904075,0,0,5,-3,-1,1,11,1
264849904075,-1,-4,-1,-3,-7,-3,-12,-4
264849916350,1,2,-3,0,5,2,3,-1
264849916350,-1,-3,-3,1,-2,0,-1,0
264849925131,1,1,8,-2,0,-2,0,2
264849925131,-1,4,-6,-1,-3,0,9,0
264849938749,-2,-4,3,-4,-3,0,-3,-2
264849938749,-3,0,1,-1,-3,-1,3,-1
264849947728,1,-1,-3,0,0,0,-6,1
264849947728,-2,0,0,-3,-1,0,2,-6
264849962555,-1,-3,-2,0,-2,-3,-2,-3
264849962555,1,-1,-5,0,0,0,0,5
264849964088,-4,-1,3,0,-5,-2,-4,-7
264849964088,-1,-4,-4,1,-1,1,12,-3
264849976319,-1,-2,-4,-1,-1,-2,-10,-1
264849976319,1,0,4,2,1,-1,-1,-1
264849985201,1,0,-5,-2,0,-1,-2,4
264849985201,-3,-2,-7,2,-10,-5,-2,0
264849998800,0,-1,2,2,-2,0,12,1
264849998800,-2,-1,1,-2,-4,0,-3,0
264850007582,-1,-1,-2,1,-2,-1,1,0
264850007582,-1,1,-2,-1,5,0,-3,-7
264850022447,-3,-2,4,-5,-1,-2,-2,0
264850022447,-1,0,-1,-4,3,-1,10,-2
264850024067,0,1,-1,1,-2,-1,-10,1
264850024067,2,0,0,-4,-1,-2,-4,6
264850036091,-2,-2,1,-1,2,0,-1,-9
264850036091,-1,0,-1,-1,-5,-3,-2,-2
264850045127,-3,0,0,0,0,0,-2,-2
264850045127,0,-2,-3,-1,0,0,-4,2
264850058581,0,0,-3,-2,-3,0,0,2
264850058581,-1,-3,-1,-2,-3,-1,4,1
264850067581,0,-2,0,1,-1,-1,5,4
264850067581,-1,3,-3,1,-3,-3,-12,-5
264850082440,-3,-2,1,-2,1,-1,-2,-2
264850082440,-1,0,-6,-2,-3,-1,-7,-4
264850084101,-1,-5,-9,-2,-1,-3,15,6
264850084101,-2,0,8,-1,-2,0,-11,-6
264850096221,-2,0,1,-1,0,-1,-4,-4
264850096221,1,1,3,0,1,-2,-5,1
264850105134,-1,-1,1,-3,5,-1,0,-3
264850105134,-2,-2,-8,1,-12,-5,1,4
264850118748,0,-2,-6,4,-2,0,0,0
264850118748,-1,-1,0,1,-2,1,-5,-2
264850127589,-1,0,-3,-1,5,3,-5,-1
264850127589,1,-1,0,-4,0,0,2,0
264850142597,-1,0,1,-3,1,0,-2,2
264850142597,-3,-5,-3,4,0,0,2,-1
264850144088,-2,-1,-3,-3,-2,-1,-2,-1
264850144088,-2,-1,3,-2,3,1,0,-3
264850156275,0,-4,-7,2,-1,0,3,-1
264850156275,0,-1,-5,-2,1,-1,-5,-2
264850165231,-1,-4,3,-6,-4,0,9,4
264850165231,-2,0,0,1,2,-2,-6,-4
264850178621,1,3,-4,2,-1,-1,0,1
264850178621,-1,0,-1,-1,-2,-1,-3,-1
264850187598,1,-2,0,-1,-3,-3,-8,-4
264850187598,2,-4,-4,0,1,0,7,6
264850202016,0,-2,2,-1,1,-2,-2,-6
264850202016,0,1,0,0,0,0,2,-1
264850208794,-1,0,1,2,-2,0,-6,-4
264850208794,-1,0,-1,-3,-2,0,3,0
264850216289,-1,-4,-3,-3,-3,-3,-4,2
264850216289,0,-1,-1,-2,-1,0,3,-1
264850225172,-1,0,-1,1,0,-2,-4,-2
264850225172,-1,-1,-5,1,-3,0,0,-1
264850238616,-1,-2,0,-1,-1,-2,1,0
264850238616,0,0,0,-2,2,-1,-2,0
264850247722,-1,0,-1,-2,-6,-2,-4,-2
264850247722,1,1,1,0,3,0,0,0
264850261857,-1,0,-1,-1,-4,0,3,-1
264850261857,-1,-5,-2,0,-1,0,5,2
264850268724,-3,-4,-4,4,-2,-2,-8,-8
264850268724,2,2,-1,-5,2,0,-1,4
264850284980,-3,-1,2,-2,0,1,-3,-11
264850284980,-3,0,-3,-1,-7,-2,-1,-2
264850286586,0,-2,-2,-2,0,1,-1,-1
264850286586,-2,0,0,2,-5,-4,2,1
264850298810,-1,0,-3,-5,0,-2,-2,4
264850298810,0,1,1,0,-6,-3,-5,-2
264850307622,0,1,-2,-3,-1,-3,-1,0
264850307622,-1,-3,-5,-3,-3,0,1,-1
264850321870,1,0,0,-1,1,0,-2,4
264850321870,-2,-1,-1,0,-5,-3,-4,-3
264850328730,0,1,2,0,1,1,-3,2
264850328730,-2,-1,-2,-3,2,2,6,-3
264850345181,1,-1,1,0,-3,-7,-10,3
264850345181,0,0,0,-3,-4,-1,-4,-5
264850346637,-2,1,0,-4,0,1,-1,-2
264850346637,-2,-4,0,2,3,0,0,-1
264850358792,2,-1,0,0,-7,-1,2,5
264850358792,-2,-2,-1,-4,7,1,-4,1
264850367677,-2,-2,-2,2,1,1,3,-6
264850367677,-4,-9,-12,0,4,0,0,-2
264850382002,-3,5,4,0,-2,0,-4,0
264850382002,1,-3,-1,0,-1,-1,-1,4
264850388783,-2,2,2,0,2,-1,-2,-1
264850388783,1,-3,-2,-3,-6,-2,-2,-3
264850404956,1,2,0,2,3,0,0,0
264850404956,0,3,5,0,-1,-1,1,-1
264850406638,-2,-2,-3,-1,0,0,2,0
264850406638,0,-1,4,1,-2,-4,-11,-1
264850418703,-3,-9,-7,-2,-1,1,5,-4
264850418703,-5,-1,-2,0,2,-1,-5,-7
264850427679,2,2,1,-3,0,-2,-3,0
264850427679,0,1,-2,0,0,0,0,0
264850441959,0,-2,-1,-1,0,1,1,3
264850441959,-1,-2,0,1,0,-2,-1,-3
264850448819,-2,0,-4,-1,-3,0,5,1
264850448819,0,-1,-1,-1,0,-1,-9,-3
264850465210,-2,1,0,0,2,-1,-7,2
264850465210,-2,0,-1,-2,-2,-2,-2,-2
264850466648,-4,-4,-4,-1,1,0,5,0
264850466648,-2,2,3,0,-3,-2,-4,-1
264850478820,-2,0,0,-3,-10,-3,3,-2
264850478820,0,-2,-4,0,3,-1,-3,-1
264850487635,-1,-6,-9,0,0,-3,-6,-1
264850487635,0,4,11,-2,-11,-4,4,-2
264850501824,0,1,-1,-1,-2,-1,-2,-1
264850501824,-1,-2,1,-1,0,1,-4,0
264850508656,0,0,-4,-3,-6,-2,-2,0
264850508656,-1,-2,-4,-1,5,1,18,0
264850525068,-2,-2,-5,-4,-3,-5,-15,-5
264850525068,-1,-2,-2,-4,-2,-2,-1,3
264850526548,-2,-2,-1,-2,-2,1,-1,-6
264850526548,0,-3,-2,-4,3,0,-3,6
264850538616,1,2,2,-3,-1,1,3,-3
264850538616,-2,-4,-7,2,0,-1,2,-2
264850547572,1,0,8,1,-7,-4,-3,2
264850547572,-2,-2,-5,2,1,1,-3,-3
264850561788,-3,-3,-3,-3,2,-3,1,1
264850561788,1,2,1,0,-1,-2,-5,0
264850568627,-2,-4,1,-3,0,-3,-3,-4
264850568627,1,1,-1,-3,-1,-2,-2,1
264850584935,-1,-3,-1,-3,1,-1,7,-1
264850584935,-4,0,-1,2,1,0,-2,-2
264850586528,-1,-3,-5,2,-3,-2,-3,0
264850586528,1,5,3,0,-2,1,-2,0
264850598618,-3,-1,1,0,-1,1,6,-3
264850598618,-1,-4,-5,-3,-5,-1,-1,-2
264850607589,1,3,7,0,0,-2,-5,-3
264850607589,-2,-3,-7,0,-4,-4,-3,-2
264850621901,-3,-2,-1,-6,-2,0,-1,-2
264850621901,0,0,0,-4,1,-1,1,1
