timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
54514953264,-111,-64,-23,-4,-9,-12,-10,-17
54514953264,-56,23,10,15,2,2,2,8
54514954056,87,74,27,12,9,8,9,12
54514954056,-81,-46,-18,-6,-7,-14,-13,-12
54514954857,-60,-28,-8,9,1,-2,-1,-3
54514954857,82,18,4,-1,2,7,3,6
54514957967,-30,-53,-22,-14,-5,-9,-5,-10
54514957967,-49,-49,-17,-4,-9,-3,-3,-6
54514958809,103,43,18,2,5,9,10,10
54514958809,47,20,8,-9,-7,-7,-6,0
54514972300,-69,-46,-17,0,-3,-2,-4,-9
54514972300,4,44,17,8,4,8,2,3
54514979805,59,50,22,9,4,1,3,10
54514979805,-56,-51,-15,-2,-2,-1,-6,-8
54514988805,-39,1,0,10,-5,-6,-1,-2
54514988805,63,32,16,1,8,3,5,8
54515003107,-3,-31,-16,-14,-8,-2,-5,-7
54515003107,-45,-33,-12,-7,-10,-7,-5,-7
54515009849,41,2,2,0,2,6,7,3
54515009849,33,10,-1,-5,1,-5,3,1
54515017332,-26,-20,-14,3,-1,0,-8,0
54515017332,10,2,-1,8,3,1,1,3
54515032356,17,25,22,1,3,2,0,1
54515032356,-32,-12,-13,-3,-9,-6,-6,0
54515039909,-17,-2,-9,-2,0,-4,3,0
54515039909,7,22,9,-3,4,2,5,1
54515048899,-9,-12,-11,-5,-10,-6,-8,-6
54515048899,-9,-16,-11,0,1,1,-5,-7
54515063011,-7,26,12,-3,-5,3,1,-1
54515063011,-2,17,10,0,0,-1,0,-1
54515069802,64,-42,-19,-6,2,-7,-2,0
54515069802,55,22,-3,0,-15,35,12,5
54515077338,-20,26,57,3,-13,21,-2,3
54515077338,-7,-16,-7,-4,-12,5,-3,-9
54515092384,-19,-16,-21,-4,6,-1,-8,-5
54515092384,-72,36,9,1,3,-7,-2,5
54515099808,-42,-8,-10,0,6,-10,2,-5
54515099808,-21,-13,-23,2,0,-8,-7,-6
54515108850,-66,37,15,2,-4,0,0,-2
54515108850,-33,1,10,-1,4,-2,3,2
54515122451,22,-16,-19,-8,5,-10,-7,-2
54515122451,13,-2,1,-8,-1,-9,0,-3
54515131409,-26,17,14,-8,-3,-4,2,2
54515131409,16,-14,-5,2,1,-9,-4,-3
54515137421,21,1,-10,-2,-7,-2,1,-2
54515137421,-29,18,4,3,1,0,2,4
54515152377,-98,-6,4,12,-1,1,-2,1
54515152377,-37,-7,0,-1,-5,-3,-1,-2
54515159907,14,7,3,-2,7,-1,-5,0
54515159907,51,-17,-11,-4,0,0,-5,-6
54515168822,-33,-8,0,-7,-7,-4,-4,3
54515168822,9,10,5,-3,-3,-8,-5,-2
54515183082,18,1,-14,-3,-2,-9,1,-2
54515183082,-65,-6,-1,-5,-1,-5,-6,-3
54515189903,-9,27,13,4,3,4,5,2
54515189903,28,-5,-3,-3,1,-3,1,0
54515197375,-16,-12,-5,-3,1,-2,-2,-1
54515197375,-21,1,7,-3,-4,4,1,4
54515212332,51,-8,-4,-3,0,3,1,-2
54515212332,13,-26,-14,-6,4,-8,-1,-6
54515219902,-25,13,0,-1,-5,1,-1,-3
54515219902,44,5,9,1,-3,-6,0,1
54515234866,23,1,-9,2,3,-2,-5,0
54515234866,-25,5,-1,0,1,-4,-4,-1
54515243068,-11,23,18,1,2,-1,5,4
54515243068,-2,0,1,-4,-3,0,1,2
54515249908,-7,-16,-9,-7,-12,-2,-1,-2
54515249908,2,-1,-4,-2,-2,2,-1,-5
54515257382,-6,12,4,6,2,-3,-3,3
54515257382,-5,-19,-10,-2,-2,-5,-7,-2
54515272395,-6,-5,3,-4,-4,-2,-4,-3
54515272395,48,5,7,-2,-2,2,-3,0
54515279859,8,-4,3,3,-1,-6,-1,1
54515279859,27,-6,-8,-1,0,-4,3,-5
54515294938,-17,17,3,-1,-1,2,3,2
54515294938,-3,12,6,1,-7,-5,-1,-5
54515303012,1,-20,-13,-6,-2,-1,-1,-4
54515303012,-24,11,-5,2,-3,2,3,-1
54515309918,27,7,5,0,0,-5,-1,-3
54515309918,-4,-15,-5,0,-5,-6,-2,1
54515317425,-7,-5,-6,-5,-6,1,1,-1
54515317425,-8,17,5,0,2,0,-1,3
54515332457,1,0,3,-2,-2,-1,-3,4
54515332457,32,-3,2,2,0,1,-7,-3
54515339927,44,6,-7,-2,-2,-1,-3,-1
54515339927,-56,9,11,1,2,1,-4,-1
54515354897,-35,-5,2,1,-1,-2,-6,-2
54515354897,-28,9,-6,-1,-2,0,0,1
54515362379,-88,13,1,4,4,0,2,-1
54515362379,19,-15,-12,-5,-8,-3,-3,-4
54515371380,-15,2,2,0,2,5,1,0
54515371380,65,-8,0,-2,5,-4,-3,-2
54515377355,4,-6,-5,-7,-5,1,0,-5
54515377355,16,-5,-3,1,3,1,2,4
54515392325,1,15,-3,-4,-3,-1,2,-3
54515392325,-128,10,17,2,-3,-5,-1,-3
54515399842,63,-23,-13,0,1,2,-4,-6
54515399842,64,7,-3,0,4,0,0,2
54515414872,40,7,-2,-4,-3,-2,0,-3
54515414872,-50,-2,-12,-1,5,-4,-1,-7
54515422303,-13,4,7,2,-1,-12,2,1
