timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
284839915664,-5,-7,2,-2,-1,1,-3,-3
284839915664,1,3,-2,0,-5,-1,2,1
284839916452,-3,-4,-1,3,-3,-2,-4,-1
284839916452,-11,-5,3,-2,0,-2,-12,-1
284839917268,0,3,-4,0,-2,-2,-1,-2
284839917268,-1,-2,-2,-1,-3,2,-5,1
284839918051,-7,-1,-1,-6,2,-5,-6,-1
284839918051,2,-1,-2,1,-1,-1,-3,-4
284839928692,2,1,-5,-1,-3,-3,-2,0
284839928692,-6,-2,4,-2,1,-1,1,-7
284839937383,1,1,-2,2,-3,-2,2,-2
284839937383,2,-1,-3,3,-5,0,4,-1
284839945135,-1,1,1,-5,2,-1,0,-1
284839945135,-8,-5,-2,-1,3,-1,-2,-1
284839958771,0,-1,0,2,-1,4,2,-1
284839958771,3,2,0,-2,-2,1,0,-1
284839970131,-7,-2,1,-5,0,-4,-5,0
284839970131,2,3,-1,-2,-2,-1,-1,-2
284839973662,3,-5,2,0,-3,-2,3,-4
284839973662,-6,0,-2,-2,2,1,-5,-1
284839988779,4,-1,-4,0,1,1,2,1
284839988779,1,-4,-3,3,2,-2,0,2
284839997192,-3,-1,1,-5,0,2,0,-5
284839997192,-2,1,-1,1,2,-1,3,1
284840037012,8,2,0,3,-4,0,2,-2
284840037012,0,-4,-3,-1,0,2,2,-1
284840037742,-8,-5,4,-6,-2,-5,-9,-1
284840037742,3,1,-3,0,2,2,1,0
284840038525,6,5,0,1,0,0,1,1
284840038525,-7,-5,0,0,0,-4,-2,-1
284840041689,0,4,-2,2,-3,-2,7,4
284840041689,3,-2,2,2,-3,-2,-1,-6
284840048488,-6,-3,-3,0,6,-1,-5,-2
284840048488,-2,-3,0,-5,0,-1,-4,0
284840056002,0,1,-1,0,-2,-2,0,-5
284840056002,-2,-6,-2,3,-2,-3,0,2
284840065057,-10,-3,3,-4,-1,-2,-3,-5
284840065057,4,5,-1,-2,-4,-1,-2,-2
284840078531,3,-1,-3,1,-1,1,3,-3
284840078531,-9,-1,1,-6,-3,0,-1,5
284840087517,-2,-2,0,0,-7,-4,3,1
284840087517,-1,-3,2,0,0,3,2,-3
284840093451,-4,-7,-1,-3,1,0,-3,-1
284840093451,0,-2,0,-1,-3,-2,-5,0
284840108437,-4,-2,-2,-1,-1,3,-5,-5
284840108437,2,4,0,0,-2,-1,-2,0
284840115983,-1,-1,3,-2,-3,-2,-4,-2
284840115983,2,1,0,0,-1,-1,-2,-3
284840124930,2,-4,-1,0,-1,-3,-1,1
284840124930,-3,-2,-1,-4,1,-2,-3,-1
284840138980,2,-3,-3,-1,-3,4,-2,0
284840138980,-5,-1,-2,-3,-2,-2,-3,-6
284840147527,-1,3,1,-3,-2,2,-5,-1
284840147527,0,-6,-1,3,-1,-2,-2,-3
284840153480,1,-2,-1,1,-1,-2,0,0
284840153480,-2,-2,2,-3,2,-4,-5,-4
284840168486,-2,-2,-1,-2,-1,-1,-1,1
284840168486,-2,3,2,-4,2,-3,-1,-7
284840175992,1,1,-4,-2,4,2,3,-2
284840175992,2,1,-6,-2,-6,-2,-1,0
284840184916,-5,-3,-1,-5,-2,-3,-2,-2
284840184916,3,2,-4,-4,-6,1,3,4
284840198430,1,1,-1,-1,-5,2,-4,0
284840198430,-1,-4,-5,-5,-2,1,2,1
284840207395,6,1,-1,1,3,1,2,-3
284840207395,-2,-6,2,-1,-3,0,-2,0
284840213469,2,-3,0,-1,-1,1,2,-2
284840213469,3,-1,0,2,3,3,7,3
284840228399,-2,-5,-1,-7,0,-1,-3,0
284840228399,-3,2,2,-1,-3,-4,-3,-3
284840235985,-5,1,-1,2,1,-1,-1,-2
284840235985,0,3,3,3,-3,-2,-5,0
284840244961,-1,-5,-3,1,-8,0,1,0
284840244961,2,1,-4,0,1,3,-1,0
284840258477,2,0,3,-3,-2,-3,-1,3
284840258477,-3,-4,-3,-1,-2,-3,2,-6
284840267393,1,2,-2,1,3,4,2,-3
284840267393,5,-1,-2,0,-2,-4,-1,5
