timestamp,x,y,z,w
450348380662,0.0664062,-0.565735,0.391541,0.722656
450348404488,0.0643311,-0.566162,0.394165,0.721069
450348419482,0.0623779,-0.566895,0.396912,0.719177
450348440775,0.0605469,-0.567688,0.399597,0.717224
450348464527,0.0584717,-0.56842,0.401855,0.715515
450348479423,0.0568237,-0.569397,0.404541,0.713318
450348500861,0.0559082,-0.570801,0.407532,0.710632
450348540292,0.0559692,-0.571716,0.410461,0.70813
450348563011,0.0582275,-0.570007,0.414307,0.707092
450348563791,0.0628662,-0.567383,0.418701,0.706238
450348584572,0.069397,-0.564636,0.423645,0.704895
450348610390,0.0769653,-0.562988,0.429016,0.702148
450348629061,0.0853271,-0.562866,0.433655,0.698425
450348665737,0.0950928,-0.561829,0.438782,0.694824
450348675788,0.108459,-0.563354,0.446472,0.686707
450348682162,0.12146,-0.567261,0.451965,0.677612
450348703669,0.134705,-0.572021,0.457458,0.667358
450348719674,0.147522,-0.575256,0.46344,0.657654
450348740724,0.157349,-0.577576,0.468567,0.649597
450348763837,0.165161,-0.577026,0.474609,0.643799
450348779594,0.170715,-0.575806,0.479919,0.639526
450348800690,0.172546,-0.573486,0.483643,0.638306
450348823936,0.172852,-0.570557,0.486206,0.638855
450348847743,0.171326,-0.567322,0.487793,0.640991
450348860688,0.168457,-0.565063,0.487488,0.643921
450348883887,0.164795,-0.56366,0.486145,0.647095
450348899692,0.160095,-0.562561,0.484375,0.650574
450348920692,0.154602,-0.561157,0.482422,0.654541
450348943819,0.149109,-0.559204,0.481018,0.658508
450348959680,0.142883,-0.555969,0.480774,0.662781
450348980630,0.136719,-0.552856,0.481323,0.666321
450349003821,0.131165,-0.549805,0.482788,0.668823
450349019682,0.126953,-0.547974,0.485291,0.669373
450349042133,0.123718,-0.547791,0.487427,0.668579
450349063838,0.122253,-0.548401,0.489929,0.666504
450349079630,0.121887,-0.549561,0.492493,0.663696
450349110247,0.122131,-0.551147,0.49469,0.660767
450349123735,0.122803,-0.552185,0.496826,0.658142
450349139597,0.124146,-0.553284,0.498535,0.65564
450349162079,0.125671,-0.554871,0.499512,0.653259
450349183793,0.127441,-0.556702,0.499817,0.651123
450349199611,0.129333,-0.558777,0.49939,0.649292
450349222067,0.131165,-0.561401,0.49823,0.647583
450349243754,0.133057,-0.564026,0.496887,0.645935
450349259603,0.134949,-0.567017,0.494751,0.644531
450349282075,0.136536,-0.570374,0.491638,0.643616
450349303147,0.138245,-0.572388,0.488647,0.643799
450349327733,0.140076,-0.573669,0.485901,0.644287
450349342092,0.140686,-0.574402,0.483215,0.645569
450349363188,0.140686,-0.574707,0.48053,0.647278
450349387818,0.140686,-0.574585,0.478577,0.648865
450349402685,0.140198,-0.57428,0.47699,0.650391
450349423149,0.139465,-0.573792,0.475891,0.651733
450349439692,0.138367,-0.572998,0.475708,0.652832
450349462107,0.13678,-0.571167,0.47644,0.654236
450349483225,0.135132,-0.568604,0.478455,0.655334
450349499648,0.132935,-0.565063,0.481079,0.656921
450349530300,0.13031,-0.560242,0.484314,0.65918
450349543148,0.127808,-0.554993,0.488159,0.661255
450349559645,0.125244,-0.550354,0.491577,0.663086
450349582129,0.123413,-0.547546,0.493713,0.664185
450349603188,0.121948,-0.545471,0.4953,0.665039
450349619605,0.121216,-0.54541,0.496338,0.664368
450349648807,0.1203,-0.545776,0.496582,0.664062
450349664603,0.119629,-0.546265,0.497009,0.663513
450349687775,0.118591,-0.546692,0.496948,0.663391
450349702078,0.118103,-0.547668,0.496521,0.662964
450349724598,0.118347,-0.5495,0.496155,0.661682
450349747686,0.119019,-0.552551,0.494934,0.659912
450349768771,0.120178,-0.556152,0.493469,0.657776
450349784589,0.121643,-0.560181,0.492188,0.655029
450349807863,0.122803,-0.564514,0.490662,0.652283
450349828807,0.124207,-0.567627,0.489868,0.649902
450349844688,0.125366,-0.570129,0.48938,0.647827
450349867763,0.125732,-0.57196,0.488525,0.64679
450349888917,0.12616,-0.572693,0.487793,0.646667
450349912754,0.126404,-0.572693,0.487,0.647156
450349927768,0.126465,-0.572876,0.485596,0.64801
450349948877,0.126892,-0.572937,0.484375,0.648804
450349964612,0.127197,-0.573181,0.483093,0.649536
450349987780,0.127502,-0.573608,0.481506,0.650208
450350008791,0.128296,-0.573364,0.480652,0.65094
450350024601,0.128601,-0.572449,0.480286,0.651978
450350047726,0.128235,-0.570251,0.480591,0.653687
450350060670,0.12793,-0.567261,0.481873,0.655396
450350083802,0.126831,-0.563354,0.483826,0.657593
450350098115,0.126221,-0.56012,0.48584,0.658997
450350120619,0.126221,-0.557739,0.487915,0.659485
450350143791,0.126526,-0.556091,0.490112,0.659119
450350158079,0.127014,-0.555237,0.492249,0.658203
450350180637,0.126953,-0.554138,0.494263,0.657654
450350203814,0.12616,-0.552979,0.495972,0.657471
450350218086,0.125183,-0.552124,0.496826,0.657715
450350240675,0.124329,-0.551331,0.49707,0.658386
450350263815,0.123779,-0.551514,0.496399,0.658813
450350278169,0.123291,-0.55249,0.49469,0.659363
450350300612,0.123352,-0.554321,0.492737,0.659302
450350323847,0.123352,-0.556763,0.490295,0.659058
450350338115,0.123474,-0.559143,0.487671,0.658936
450350360645,0.123962,-0.560303,0.486206,0.658997
450350383799,0.12439,-0.561279,0.485229,0.658752
450350398104,0.124634,-0.562195,0.484436,0.658569
450350420617,0.125427,-0.563049,0.484192,0.657837
450350443796,0.126404,-0.564331,0.483826,0.656799
450350458175,0.127747,-0.566345,0.483154,0.655334
450350480615,0.129395,-0.568237,0.482727,0.653687
450350503815,0.130554,-0.569214,0.482422,0.652832
450350518149,0.131226,-0.569458,0.4823,0.652588
450350540677,0.13147,-0.568726,0.482117,0.653259
450350563794,0.131348,-0.566772,0.482056,0.65509
450350578183,0.131226,-0.564514,0.482117,0.656982
450350600703,0.131042,-0.562378,0.482239,0.658813
450350623824,0.130798,-0.56012,0.482483,0.660583
450350638188,0.130615,-0.5578,0.483215,0.661987
450350660654,0.130005,-0.554749,0.484192,0.664001
450350683833,0.129333,-0.552002,0.485107,0.66571
450350698145,0.128479,-0.549744,0.485962,0.667114
450350720668,0.128113,-0.548889,0.486511,0.667542
450350743763,0.128235,-0.549377,0.486938,0.666748
450350758146,0.128296,-0.551392,0.486877,0.665161
450350780650,0.127991,-0.55365,0.486572,0.663574
450350803809,0.127136,-0.555237,0.486755,0.662231
450350818141,0.125427,-0.556213,0.486938,0.661621
450350840642,0.12323,-0.556641,0.487122,0.66156
450350863800,0.12146,-0.557251,0.487244,0.661255
450350878156,0.119873,-0.55896,0.486877,0.6604
450350900689,0.118652,-0.561401,0.486084,0.659119
450350923847,0.11792,-0.564026,0.485474,0.657471
450350938179,0.117493,-0.566467,0.485107,0.655701
450350960651,0.117126,-0.568481,0.484802,0.654236
450350983829,0.116821,-0.56958,0.484924,0.653259
450350998146,0.116577,-0.569458,0.485413,0.653015
450351020655,0.116455,-0.568848,0.485901,0.653259
450351043801,0.116821,-0.567871,0.486267,0.653748
450351058166,0.117615,-0.566345,0.486694,0.654602
450351080679,0.118774,-0.565247,0.486694,0.655334
450351103825,0.120117,-0.563965,0.486877,0.656067
450351118164,0.121826,-0.563049,0.487244,0.65625
450351140711,0.12323,-0.562439,0.487183,0.656555
450351163852,0.124451,-0.561279,0.487549,0.657043
450351178196,0.12561,-0.559692,0.488586,0.65741
450351200683,0.126648,-0.558716,0.489685,0.657227
450351223798,0.127014,-0.557922,0.490784,0.656982
450351238151,0.126953,-0.556885,0.492371,0.656738
450351260661,0.126404,-0.555725,0.494141,0.656494
450351283139,0.125488,-0.554932,0.495667,0.656189
450351298188,0.12439,-0.554321,0.49707,0.655823
