myoTS,x,y,z
41747968736,-16.625,-12.75,-3.5
41747983795,-17.375,-11.375,-3.625
41748007440,-10.75,-9.125,-3.3125
41748028737,-7.6875,-7.375,-3
41748043848,-7.6875,-6.4375,-3.0625
41748067410,-9.3125,-6.3125,-2.6875
41748098160,-12.5,-4.9375,-2.5
41748107407,-7.25,-3.25,-1.625
41748128150,-1,-2.25,-1
41748149513,-2,-3.3125,-1.4375
41748164489,-7.1875,-4.125,-2
41748188034,-7.3125,-3.8125,-2.1875
41748216179,-2.625,-2.5625,-1.6875
41748228619,-1.0625,-2.0625,-1.125
41748246838,-2.375,-3,-0.75
41748269284,-4.375,-3.4375,-0.5625
41748284282,-2,-2.8125,-0.1875
41748306826,3.5625,-1.625,0.375
41748329377,4.625,-0.75,0.75
41748343699,2.1875,-0.75,0.5
41748366754,-1.5,-1.5625,-0.1875
41748389310,-3.3125,-1.75,-0.375
41748404291,-0.625,-1.875,-0.25
41748426776,3,-1.125,0.1875
41748449330,2.625,-1,0
41748464339,-0.375,-2.5,-0.25
41748486827,-6,-3.5,-1.1875
41748509294,-4.6875,-3.5,-0.5625
41748523653,0.25,-3.375,-0.4375
41748546834,0,-3.5625,-0.3125
41748569361,-3.875,-3.625,0.0625
41748583727,-4.875,-3.5,-0.125
41748608213,-1.9375,-2.8125,-0.25
41748629347,0.25,-1.75,-0.1875
41748651854,0.875,-1,-0.1875
41748666769,0.9375,-0.9375,-0.0625
41748689290,0.875,-0.25,0.0625
41748703610,1.4375,1,0.1875
41748726776,3.9375,1.6875,0.9375
41748749746,3.9375,1.4375,0.1875
41748763604,1.3125,1,0.1875
41748788203,-0.8125,1,-0.0625
41748809261,0.6875,0.8125,0
41748823608,2.625,0.5,0.1875
41748846858,2.5625,0.0625,0.4375
41748869384,0.5,-0.1875,0.1875
41748883715,-0.5625,-0.1875,0.4375
41748906818,0,-0.6875,1.125
41748929380,1.8125,-0.6875,0.4375
41748943614,1.1875,-0.4375,0.3125
41748966784,1.0625,-0.375,0.3125
41748989325,-0.4375,-0.125,0.1875
41749003662,-0.1875,-0.125,-0.3125
41749026768,0.75,-0.5,-0.125
41749049430,0.5,-0.5,0.125
41749063705,0.5,-0.5,-0.0625
41749086839,0.0625,-0.4375,-0.0625
41749109311,0,-0.5625,-0.3125
41749123723,-0.625,-0.625,0.125
41749146813,-0.9375,-0.125,0
41749169340,-0.5,0.125,0.3125
41749183684,1.1875,0.4375,0.1875
41749206171,1.625,0.75,-0.1875
41749228619,2,0.5,0.0625
41749251811,1.6875,-0.125,0.3125
41749266112,-0.1875,0.0625,-0.125
41749288688,-0.0625,-0.1875,-0.3125
41749305143,1,-0.1875,-0.125
41749326176,0,-0.375,-0.0625
41749348649,-0.1875,-0.5,0.0625
41749363715,0.8125,-0.5,0.3125
41749386142,1.375,-0.375,0.5
41749408658,0.4375,-0.5625,0.3125
41749423667,-0.1875,-0.5625,-0.1875
41749446164,-0.75,-0.4375,-0.0625
41749468625,0.0625,-0.4375,0.125
41749483704,0.625,-0.5,0.125
41749506105,0.125,-0.5625,0.0625
41749528578,-0.5625,-0.5625,0.0625
41749543683,-0.625,-0.8125,-0.125
41749566156,0,-0.9375,0.125
41749588688,1.125,-0.875,0.1875
41749603677,1.125,-0.875,0
41749626085,0.5,-0.8125,-0.0625
41749648556,0.375,-0.75,0.25
41749671744,1.375,-0.25,0.625
41749686115,2.3125,-0.125,0.4375
41749710024,1.4375,-0.3125,0.5625
41749723591,-0.8125,-0.5,-0.1875
41749746108,-0.1875,-0.25,-0.0625
41749768610,2.25,0,0
41749785076,3.3125,0,0
41749806095,1.125,-0.0625,-0.125
41749828579,-2.5625,-0.125,-0.1875
41749845150,-3.1875,0.125,-0.4375
41749866193,0,-0.1875,-0.75
41749888699,1.3125,-0.4375,-0.375
41749905076,-0.5,-0.875,-0.375
41749926123,-2.8125,-1.3125,-0.25
41749948666,-3.125,-1.25,-0.25
41749965155,-0.5625,-1.375,-0.0625
41749986172,1.75,-1.4375,0.4375
41750008703,1.1875,-1.25,0.6875
41750025090,-0.5,-0.875,0.875
41750046198,-1.1875,-0.875,0.625
41750068727,0.3125,-0.25,1
41750085187,1.9375,0,0.875
41750106233,0.375,-0.375,0.5625
41750128688,-1.6875,-0.375,0.4375
41750145034,-2,-0.1875,0.625
41750166179,-0.5,-0.375,0.5
41750188628,0.125,-0.1875,0.5
41750205129,-0.25,-0.25,0.3125
41750226349,-0.5,-0.4375,0.1875
41750248643,-0.875,-0.625,0.0625
41750265057,-0.125,-0.375,-0.125
41750286239,1.25,0.0625,-0.3125
41750308683,1.75,0.3125,-0.375
41750325128,1.6875,0.625,-0.0625
41750346150,1.125,0.625,0.1875
41750368699,-0.8125,0.4375,0.1875
41750385107,-0.8125,0.5,0.4375
41750406219,1.0625,0.6875,0.625
41750428685,1.9375,0.4375,0.5625
41750445192,0.4375,0.5625,0.4375
41750466115,-1.0625,0.5625,0.25
41750488649,-0.3125,0.5,0.1875
41750505029,0.875,0.625,0.25
41750526173,0.5,0.625,-0.3125
41750548678,-0.6875,0.375,0
41750565081,-1.375,0.1875,0.0625
41750586237,-1.4375,-0.3125,0.375
41750608586,-0.5625,-0.25,0.6875
41750625154,1.125,-0.5,0.5625
41750646243,0.25,-0.5625,0.6875
41750668673,-1.4375,-0.625,0.4375
41750685113,-0.625,-0.1875,0.375
41750707625,0.5,0.4375,0.3125
41750728698,0.8125,0.4375,-0.3125
41750745188,-0.0625,0.5,-0.5
41750767643,0.5625,0.8125,-0.3125
41750788728,2.4375,1.5625,-0.3125
41750805123,2.8125,1.8125,-0.5625
41750827668,1.75,2.25,-0.75
41750848710,1.75,2.125,-0.5
41750865182,1.75,1.75,-0.375
41750887620,0.125,1.375,-0.0625
41750908747,0.375,1.0625,-0.3125
41750925111,2.25,0.375,-0.1875
41750947679,0.9375,-0.0625,-0.125
41750968728,-1.3125,-0.3125,-0.0625
41750985145,-0.6875,-0.25,-0.1875
41751007693,0.875,-0.375,-0.0625
41751028749,1,-0.125,0.125
41751045129,0.3125,0.3125,-0.1875
41751067614,-0.1875,0.875,-0.25
41751088668,-0.1875,1.1875,-0.3125
41751111110,1,1,0
41751127575,1.25,1.0625,0.125
41751148640,0.3125,1.0625,-0.125
41751165093,0.1875,1.0625,0.25
41751187564,1,0.75,0.3125
41751208593,1.5625,0.3125,0.0625
41751225057,1.375,0.0625,0
41751247696,-0.1875,-0.0625,0.0625
41751269359,-0.75,-0.25,-0.25
41751284287,-0.0625,-0.125,-0.0625
41751306865,0.5625,-0.75,1
