myot,x,y,z
151290967262,1.125,-0.6875,1.875,1464789079633
151290989742,1.3125,-0.75,1.8125,1464789079655
151291006765,1.5625,-0.6875,1.875,1464789079672
151291027480,1.5,-0.625,1.9375,1464789079692
151291049737,1.375,-0.75,2.0625,1464789079715
151291071053,0.875,-0.625,2.1875,1464789079736
151291087561,0.5,-0.5625,2.75,1464789079753
151291122748,-0.4375,-0.25,3.25,1464789079788
151291147330,-1.5625,-0.1875,3.75,1464789079812
151291148166,-1.0625,0.0625,3.5625,1464789079813
151291167745,-0.8125,0.25,3.875,1464789079833
151291190869,-1.1875,0.375,3.6875,1464789079856
151291206708,-0.5625,0.5625,3.3125,1464789079872
151291227750,-0.5,0.5625,3.375,1464789079893
151291244163,-0.125,0.6875,3.375,1464789079909
151291266713,0.6875,0.625,3.1875,1464789079932
151291287795,1.125,0.6875,2.5625,1464789079953
151291304104,0.9375,0.5625,2.0625,1464789079969
151291326622,0.875,0.5625,1.4375,1464789079992
151291347724,0.4375,0.25,1.3125,1464789080013
151291364139,1,0.375,0.5,1464789080029
151291386650,0.4375,0.125,0.375,1464789080052
151291407780,-0.5,0.125,0.1875,1464789080073
151291424146,-0.5625,0,0.0625,1464789080089
151291446733,-0.375,0.4375,0.1875,1464789080112
151291467780,-1.5,0.5,0.4375,1464789080133
151291484168,-1.625,0.875,0.5625,1464789080149
151291506728,-1.1875,1.125,0.6875,1464789080172
151291529138,-1.25,1.25,1.1875,1464789080194
151291544208,-1.125,1.25,1.3125,1464789080209
151291566740,-1.8125,1.125,1.3125,1464789080232
151291589135,-0.25,0.8125,1.1875,1464789080254
151291604134,-0.5625,0.625,1.1875,1464789080269
151291626713,0.4375,0.1875,0.875,1464789080292
151291649117,3.8125,0,1.125,1464789080314
151291670185,3.1875,0,1.25,1464789080335
151291686714,2.4375,0.5,0.9375,1464789080352
151291709148,2.5,0.8125,0.75,1464789080374
151291724134,1.6875,0.875,0.4375,1464789080389
151291746749,1.4375,0.75,0.3125,1464789080412
151291769144,1.75,0.8125,0.125,1464789080434
151291784152,1.5,0.6875,-0.125,1464789080449
151291806754,1.5625,0.9375,-0.4375,1464789080472
151291829155,1.8125,1.125,-0.5,1464789080494
151291844140,1.1875,1.4375,-0.0625,1464789080509
151291866722,0.0625,1.75,0.4375,1464789080532
151291889165,-0.625,1.875,0.5625,1464789080554
151291904148,-1.1875,2.0625,0.625,1464789080569
151291936263,-0.625,1.9375,0.9375,1464789080601
151291948373,-0.9375,1.8125,1.1875,1464789080613
151291970892,-0.875,1.75,1.1875,1464789080636
151291985879,-1.0625,1.75,1.25,1464789080651
151292024060,-1.6875,1.625,1.5,1464789080689
151292030897,-0.8125,1.3125,1.4375,1464789080696
151292047318,1.4375,0.5,1.625,1464789080712
151292068364,1.8125,-0.375,1.4375,1464789080733
151292098158,1.5625,-0.5625,1.0625,1464789080763
151292108847,0.875,-0.8125,0.625,1464789080774
151292128419,1.375,-0.8125,0.5,1464789080793
151292158830,0.8125,-1.0625,0.9375,1464789080824
151292167340,0.5,-0.9375,1.1875,1464789080833
151292188341,0.1875,-0.75,1.4375,1464789080853
151292210844,0.0625,-0.9375,1.4375,1464789080876
151292225887,0.8125,-1.125,1.3125,1464789080891
151292248361,1,-1.125,1.5,1464789080913
151292279035,1.5625,-1,1.9375,1464789080944
151292285861,2.125,-0.5,2.8125,1464789080951
151292309105,1,0.625,3.8125,1464789080974
151292330886,-2.25,1.4375,4.9375,1464789080996
151292347296,-2.875,0.0625,5.0625,1464789081012
151292375642,0.375,-1.4375,4.0625,1464789081041
151292390875,3.8125,-2.4375,2.6875,1464789081056
151292405830,2.8125,-2.3125,1.8125,1464789081071
151292428453,0.3125,-1.625,1.9375,1464789081093
151292459072,-0.4375,-1.125,2.75,1464789081124
151292465897,-0.625,-0.4375,3.6875,1464789081131
151292488412,-0.4375,1.25,5.25,1464789081153
151292512285,-0.1875,3.3125,6.5625,1464789081177
151292525906,-2.5625,13.5625,13.8125,1464789081191
151292564046,-9.5625,23.5625,17.375,1464789081229
151292570898,-6,16.4375,12.25,1464789081236
151292594788,-4.1875,9.5,8.125,1464789081260
151292608373,-0.5,5.1875,6.5625,1464789081273
151292647926,1.5625,2.5625,4.9375,1464789081313
151292650348,2.6875,0.6875,3.8125,1464789081315
151292675888,3.375,-1,2.5,1464789081341
151292692284,4.9375,-1.75,1.875,1464789081357
151292707338,5.25,-2.4375,1.0625,1464789081372
151292735888,2.5,-4.4375,0,1464789081401
151292744158,2.9375,-5.5,-1.1875,1464789081409
151292767317,5.4375,-6.375,-1.125,1464789081432
151292789838,4.6875,-7.375,-1.875,1464789081455
151292804196,3.0625,-7.4375,-2.0625,1464789081469
151292834827,4.1875,-6.5,-1.375,1464789081500
151292855973,3.8125,-5.375,-0.9375,1464789081521
151292872360,1.8125,-4.625,-0.5,1464789081537
151292887390,1.625,-3.75,-0.375,1464789081552
151292916301,2.375,-3,0,1464789081581
151292925672,2,-2.6875,0.0625,1464789081590
151292947373,0.25,-3.5,-0.125,1464789081612
151292968530,-0.8125,-3.5,-0.8125,1464789081633
151292984302,0.5625,-3.3125,-1.3125,1464789081649
151293008101,0.9375,-3.5625,-1.625,1464789081673
151293028458,-1.9375,-4.75,-1.5625,1464789081693
151293044266,-2.0625,-4.4375,-1.875,1464789081709
151293067331,-0.8125,-3.8125,-1.5,1464789081732
151293095963,-0.3125,-3.625,-1.25,1464789081761
151293104227,-0.1875,-4,-1,1464789081769
151293127386,1.75,-3.9375,-0.4375,1464789081792
151293149879,3,-3.625,-0.0625,1464789081815
151293178432,0.5625,-3,-0.0625,1464789081843
151293194932,0.3125,-2.3125,0.125,1464789081860
151293208438,0.4375,-2.1875,0.625,1464789081873
151293224270,0.375,-2.375,0.625,1464789081889
151293247389,2.3125,-2,0.5625,1464789081912
151293268460,1.4375,-1.6875,0.6875,1464789081933
151293284265,1,-1.375,1.0625,1464789081949
151293314877,1,-1,0.9375,1464789081980
151293328446,1,-0.625,0.9375,1464789081993
151293344225,0.5,-0.5,1.4375,1464789082009
151293374867,0.3125,-0.4375,1.625,1464789082040
151293389810,0.0625,-0.3125,1.5,1464789082055
151293410943,-0.3125,-0.25,1.4375,1464789082076
151293427172,0.125,-0.3125,1.5,1464789082092
151293455910,-0.125,0,1.5,1464789082121
151293472346,-2,0.375,1.625,1464789082137
151293486785,-2.625,0.8125,1.5625,1464789082152
151293509849,-3.0625,0.8125,1.75,1464789082175
151293524203,-3.125,1.0625,1.875,1464789082189
151293554866,-3.8125,1.1875,2,1464789082220
151293575898,-4.125,1.25,1.8125,1464789082241
151293590908,-4.0625,1.25,1.4375,1464789082256
151293606736,-3.75,1.3125,1.5625,1464789082272
151293629907,-2.875,1.25,1.8125,1464789082295
151293652452,-1.5625,1.4375,1.625,1464789082317
151293666764,-0.625,1.25,1.375,1464789082332
151293690348,-0.4375,1,0.5,1464789082355
151293704709,-2.25,0.25,-0.25,1464789082370
151293734913,-4.125,-0.75,-1.5625,1464789082400
151293749933,-0.625,-1.125,-2.25,1464789082415
151293770959,1,-1.25,-2,1464789082436
151293786793,0.1875,-0.875,-1.625,1464789082452
151293816037,-1,-0.625,-0.8125,1464789082481
151293832409,-0.5,0.125,-0.6875,1464789082497
151293846797,-0.125,0.3125,0.125,1464789082512
151293869922,-0.625,0.5625,0.625,1464789082535
151293884227,-0.625,0.625,0.875,1464789082549
151293906802,-0.625,0.6875,0.6875,1464789082572
151293929977,-1.0625,0.6875,0.75,1464789082595
151293944257,-0.625,0.4375,0.8125,1464789082609
151293966759,0.5,0.4375,0.8125,1464789082632
151293989877,0.5,0.3125,1.125,1464789082655
151294028753,0.8125,0.3125,1.3125,1464789082694
151294033419,1.25,0.375,1.5625,1464789082698
151294050348,1.5,0.5625,1.5625,1464789082715
151294070934,1.25,0.4375,1.4375,1464789082736
151294095305,-0.125,-0.25,1.125,1464789082760
151294111309,-1.8125,-0.75,-0.25,1464789082776
151294132415,-5.25,-1.4375,-1.5,1464789082797
151294146775,-2.3125,-2.0625,-2.125,1464789082812
151294170565,-0.875,-2.25,-2.75,1464789082835
151294190932,-0.375,-2.1875,-2.3125,1464789082856
151294206719,-0.5625,-1.9375,-2.25,1464789082872
151294229841,-0.5625,-1.875,-2,1464789082895
151294251044,2.6875,-2.1875,-1.4375,1464789082916
151294266768,3.1875,-2.4375,-1.6875,1464789082932
151294289878,5.8125,-2.8125,-2.0625,1464789082955
151294311027,6.75,-2.5625,-2.625,1464789082976
151294326766,3.9375,-2.875,-3.25,1464789082992
151294349256,6.5625,-2.5,-3.4375,1464789083014
151294378499,3.625,-1.5,-2.25,1464789083043
151294386731,-0.125,-0.4375,-0.9375,1464789083052
151294409258,-0.1875,0.875,-0.25,1464789083074
151294430959,-2.625,1.5,0.375,1464789083096
151294446779,-2.125,1.625,1.0625,1464789083112
151294469298,-1.0625,1.375,1.6875,1464789083134
151294492362,1.375,0.1875,1.6875,1464789083157
151294506780,3,-0.6875,0.5,1464789083172
151294529209,1.6875,-1.9375,0.4375,1464789083194
151294552398,-0.875,-2.75,0.25,1464789083217
151294566766,2.125,-3.25,0.6875,1464789083231
151294604871,1.875,-3.125,0.125,1464789083270
151294612419,2.6875,-3.3125,-0.4375,1464789083277
151294626713,1.625,-2.4375,0,1464789083291
151294649296,2.3125,-1.3125,-0.6875,1464789083314
151294678439,0.5625,-0.125,-0.5625,1464789083343
151294686743,-2.0625,1,0.1875,1464789083351
151294709326,-4.375,2.3125,2.3125,1464789083374
151294732481,-4.75,3.25,4.4375,1464789083397
151294746755,-1.875,0.125,1.0625,1464789083412
151294777388,-9.8125,-7.625,1.25,1464789083442
151294792856,-4.8125,-2.25,-3.1875,1464789083458
151294814878,4.3125,3.4375,-1.8125,1464789083480
151294829238,1.1875,0.125,1.1875,1464789083494
151294859955,-5.625,2.4375,-2.375,1464789083525
151294873436,-5.4375,-2,-1.25,1464789083538
151294889323,-3.6875,0.9375,-0.5,1464789083554
151294912440,-1,1.125,-1.4375,1464789083577
151294942422,0.8125,1.625,-0.9375,1464789083607
