myoTS,myox,myoy,myoz
1450288409,myox,myoy,myoz
487654452217,0.231934,0.325684,0.919434
487654467232,0.234375,0.32373,0.918945
487654488588,0.230957,0.325195,0.916992
487654512241,0.229492,0.32373,0.921387
487654527275,0.229004,0.320312,0.913086
487654549739,0.233398,0.329102,0.927734
487654603741,0.230957,0.324707,0.924316
487654604531,0.23291,0.323242,0.922852
487654613138,0.232422,0.320312,0.92041
487654632940,0.229492,0.321289,0.915527
487654647706,0.230957,0.328125,0.922852
487654668584,0.231934,0.324707,0.921387
487654683700,0.236328,0.327148,0.918945
487654729813,0.233887,0.323242,0.918945
487654730559,0.233398,0.333008,0.920898
487654744059,0.22998,0.32666,0.92334
487654766584,0.228027,0.317871,0.925781
487654789084,0.228027,0.325684,0.922852
487654805507,0.229004,0.329102,0.91748
487654828042,0.233398,0.329102,0.921875
487654850487,0.236816,0.326172,0.919922
487654865484,0.230957,0.324219,0.919434
487654888033,0.23291,0.32666,0.919434
487654910511,0.228027,0.320312,0.924805
487654925475,0.23291,0.321289,0.924316
487654948048,0.234863,0.321289,0.916992
487654970506,0.233398,0.326172,0.924316
487654985524,0.235352,0.322754,0.921875
487655015599,0.230469,0.319824,0.916992
487655030538,0.23291,0.325195,0.915039
487655044873,0.233398,0.322754,0.920898
487655067995,0.231445,0.328125,0.91748
487655090482,0.227539,0.327637,0.921875
487655104922,0.225586,0.324707,0.928711
487655128037,0.226074,0.314941,0.929688
487655150489,0.230957,0.32373,0.928711
487655164877,0.234375,0.32959,0.922363
487655187966,0.234863,0.329102,0.911133
487655216566,0.234863,0.322754,0.916016
487655224905,0.241699,0.326172,0.920898
487655255498,0.237305,0.320312,0.918945
487655270566,0.231445,0.32666,0.918945
487655284900,0.234863,0.327148,0.917969
487655308164,0.231934,0.329102,0.929688
487655330932,0.230469,0.324707,0.927734
487655344909,0.228027,0.331055,0.923828
487655368013,0.231445,0.329102,0.918945
487655390537,0.234863,0.333496,0.911621
487655411583,0.227539,0.322266,0.922852
487655427993,0.236328,0.317871,0.924805
487655450575,0.234375,0.3125,0.918945
487655471590,0.23877,0.313965,0.922852
487655488519,0.241699,0.318359,0.92041
487655510530,0.235352,0.318359,0.917969
487655531580,0.236328,0.332031,0.918945
487655547993,0.230469,0.328125,0.918945
487655570852,0.234863,0.331055,0.91748
487655591595,0.239746,0.327637,0.919922
487655608039,0.237305,0.323242,0.921387
487655630504,0.230957,0.322266,0.92041
487655651535,0.22998,0.323242,0.918945
487655668048,0.222656,0.325684,0.919434
487655690496,0.228516,0.329102,0.916504
487655720524,0.227539,0.32666,0.921875
487655735490,0.232422,0.32373,0.92041
487655749886,0.229492,0.327148,0.929199
487655772997,0.237305,0.322266,0.916992
487655795509,0.235352,0.32666,0.92334
