timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
138465208446,-1,1,-2,-2,0,-3,0,-6
138465208446,-1,-1,-3,0,0,-2,1,-3
138465214773,-3,4,-2,2,-1,2,-3,-7
138465214773,-1,-3,0,-6,0,1,3,-3
138465215556,-3,1,-1,-2,0,0,1,-1
138465215556,-1,-1,1,-3,-1,1,0,0
138465216380,-3,-5,-2,-2,0,-8,-1,0
138465216380,3,-6,1,-1,3,-1,1,-6
138465227670,-2,-7,0,-3,-1,-1,-1,-1
138465227670,1,-2,-1,-1,0,-2,-2,2
138465236886,-2,0,2,0,1,-1,-3,-11
138465236886,-1,4,-5,0,-7,1,-1,11
138465250203,1,4,1,1,0,-1,-2,-14
138465250203,-6,-2,-2,-2,-3,2,-1,3
138465258086,0,-2,-10,-1,-2,3,-1,-1
138465258086,-2,-5,-4,-6,0,-2,-2,3
138465264467,2,2,-4,8,1,0,0,1
138465264467,-3,2,5,-4,-3,-2,-2,-3
138465275898,-5,-4,6,-3,3,-1,0,5
138465275898,-4,-3,4,-2,5,-2,-3,-1
138465288794,2,-1,-8,4,-2,1,-7,8
138465288794,2,4,-8,5,0,-3,0,2
138465294548,-5,-6,-8,-2,0,-1,-7,5
138465294548,-2,6,-7,5,-8,-5,-7,3
138465341240,-4,-1,7,-5,5,-5,2,0
138465341240,2,2,3,3,0,-3,-4,-11
138465342028,0,1,0,4,5,1,-1,0
138465342028,2,-2,3,0,0,1,0,-4
138465342918,-4,0,-1,1,-3,-1,-2,-2
138465342918,-4,-1,1,-3,-4,-1,5,3
138465343649,1,1,8,-2,-2,-1,0,-3
138465343649,-4,-1,-2,-2,3,-3,-3,-1
138465354278,2,4,-15,2,-5,3,1,1
138465354278,2,-2,-8,4,2,-2,-3,1
138465361837,1,-1,-2,0,-1,-2,-3,-4
138465361837,3,2,9,2,-2,-4,-3,7
138465370742,1,0,14,-3,-2,-4,-4,-2
138465370742,-1,1,-5,2,-4,1,2,1
138465384294,1,-3,-10,3,-2,-5,0,-1
138465384294,-3,-3,-4,0,-2,-1,0,-5
138465393228,0,0,0,-3,0,-1,-4,4
138465393228,1,-1,-3,10,-2,0,-1,-1
138465399322,0,-1,14,-6,-1,-2,2,0
138465399322,-1,4,-2,-5,1,-5,0,-3
138465414273,0,-3,-15,9,-2,-3,1,1
138465414273,-3,-3,-10,6,-4,-1,-1,2
138465430602,1,2,-3,7,-3,0,-4,2
138465430602,0,-5,4,7,-4,-2,0,2
138465432227,3,-1,7,-3,1,-3,-5,-2
138465432227,0,0,1,-2,-1,-1,-4,-3
138465444306,-1,5,-16,6,-1,-1,0,-2
138465444306,-2,-1,-4,0,1,1,-1,-1
138465453249,2,-1,-7,-1,-3,2,6,1
138465453249,-1,-2,1,0,-7,1,-3,-3
138465459314,-5,-5,6,-4,0,-4,2,-5
138465459314,-1,0,-6,2,1,3,-2,-4
138465474263,-6,1,0,0,0,-5,3,-4
138465474263,1,-3,-6,-1,-1,-3,-4,1
138465481762,0,-1,-16,11,-11,-1,3,15
138465481762,4,-3,2,-4,-3,0,-3,7
138465490756,-3,0,1,-3,0,0,-4,-2
138465490756,1,2,7,-9,2,3,-1,-1
138465504292,-3,-4,7,-11,0,-6,-4,-12
138465504292,-7,-3,-7,-1,-2,-2,1,-6
138465513238,3,-2,-6,3,-6,1,-3,6
138465513238,-5,0,2,-4,5,0,5,-10
138465519229,0,1,-7,2,-5,-1,-1,-7
138465519229,-5,2,-4,-1,-1,1,-5,-4
138465534247,-2,-4,-5,-1,-1,-7,-7,-9
138465534247,-4,-4,-7,-3,5,-4,-2,-1
138465541753,-5,0,2,-8,1,2,-4,-3
138465541753,-1,1,1,2,2,-2,1,-4
