myoTS,x,y,z
42406064131,-0.4375,-0.3125,0.25
42406079109,-0.25,-0.0625,0.5
42406100406,0.125,0.0625,0.125
42406124117,0.5,-0.0625,-0.5
42406139171,0.5,0.0625,-0.9375
42406160528,0.1875,-0.1875,-1.1875
42406199753,1.3125,-0.5,-1.125
42406201843,3,-0.875,-1.125
42406221884,3.625,-0.5625,-0.6875
42406244237,1.9375,0.1875,-0.0625
42406261941,-0.6875,0.875,0.3125
42406282025,-1.6875,0.8125,0.3125
42406318579,-0.8125,0.375,0.125
42406350527,0.8125,0,0.1875
42406351347,1.5,0,0.1875
42406362857,0.6875,0.125,0.3125
42406379301,1.125,0.0625,0.3125
42406401668,2.25,0.125,0.1875
42406422828,2.0625,0.1875,-0.25
42406439257,-0.0625,-0.0625,-0.3125
42406461839,-1.4375,-1.125,-0.25
42406482855,-1.6875,-1.6875,-0.25
42406499242,-1.75,-1.6875,-0.5
42406521743,-0.9375,-1.75,-0.5625
42406542784,0.0625,-1.5,-0.5
42406559263,-0.3125,-1.4375,-0.0625
42406581684,-0.125,-1.25,0.25
42406602739,-0.3125,-1.1875,0.25
42406626645,0.0625,-1.3125,0.0625
42406641772,0.875,-1.3125,0
42406662847,0.625,-1.1875,0.375
42406679317,-0.25,-1.3125,0.625
42406701670,-1.5,-1.75,0.25
42406722838,-1.3125,-1.875,-0.1875
42406739146,0.75,-1.8125,-0.1875
42406761689,1.0625,-1.125,-0.0625
42406782736,-0.25,-0.5,0.3125
42406799135,-1.8125,-0.375,0.0625
42406821642,-3.5,-0.25,-0.1875
42406842722,-2.5,-0.25,-0.25
42406859163,-0.125,-0.25,0
42406881686,1.3125,-0.1875,0.3125
42406902724,1.625,-0.375,0.125
42406919180,1.4375,-0.375,0.1875
42406941768,1.0625,-0.125,0.0625
42406964277,1.0625,0.1875,-0.375
42406979223,1.25,0.0625,-0.4375
42407001728,1.0625,-0.125,-0.375
42407024192,0.9375,-0.5625,-0.3125
42407039277,0.625,-0.5,-0.0625
42407061739,0.5,-0.25,-0.4375
42407084175,0.125,-0.0625,-0.5
42407099228,-0.0625,-0.1875,-0.0625
42407121727,-1.0625,-0.25,0.125
42407144311,-1.5,-0.1875,0.125
42407159220,-0.1875,-0.3125,0.125
42407180963,-0.375,-0.375,0.1875
42407203514,-1.1875,-0.25,0.3125
42407218389,-2.5625,-0.25,0.25
42407240926,-3.375,-0.625,0.125
42407263464,-2.6875,-0.625,-0.375
42407278467,-0.75,-0.1875,-0.125
42407300911,1,0.5,0.3125
42407323405,1.75,0.8125,0.125
42407339956,1.6875,0.4375,-0.25
42407368521,2.6875,-2.1875,0.25
42407383462,4.6875,-4.5625,1.4375
42407399876,1.875,-1.9375,1.125
42407421009,-0.625,0.8125,-0.9375
42407443523,-2.9375,1.9375,-2.25
42407459906,-1.875,1.4375,-1.375
42407480944,-2,-0.125,-0.3125
42407503454,-5.6875,-0.5,-0.5625
42407519849,-6.375,-0.5625,-0.6875
42407540970,-5.375,0.1875,-0.9375
42407563438,-3.8125,0.6875,-1.125
42407579855,-1.3125,0.5625,-0.125
42407600891,2.125,0.4375,0.8125
42407623434,3.1875,0.375,0.625
42407639889,2.8125,0.625,-0.0625
42407661048,1.5625,0.625,-0.1875
42407683522,1.6875,0.8125,-0.0625
42407699981,1.875,1.0625,0.0625
42407721000,2.125,1.5,0.5
42407743536,1.75,1.9375,0.875
42407759928,0.375,2.6875,0.8125
42407780901,-0.9375,3.1875,0.625
42407803541,0,2.625,0.25
42407819928,1.4375,1.0625,0.25
42407840999,1.625,-1.0625,0.375
42407863389,0.5625,-2.375,0.6875
42407879216,-0.1875,-2.25,0.5625
42407900903,-1.6875,-1.1875,-0.125
42407923455,-0.625,-0.1875,-0.1875
42407939213,0.8125,0.8125,0.375
42407961000,1.8125,0.75,1.25
42407983468,3.0625,0.125,1
42407999276,4.625,0.25,0.3125
42408020940,7.25,0,0.375
42408043474,11.125,-1.1875,1.875
42408059302,14.625,-1.5,3.0625
42408082430,19.5625,2.375,4.625
42408103458,25.0625,7.9375,2.5625
42408119268,22.5,11.625,0.3125
42408142376,25.1875,14.1875,2.3125
42408163410,33.3125,15.1875,4.1875
42408179201,44.5,17.8125,9.9375
42408202394,47.6875,19.75,10.5
42408223415,43.5625,24.25,9.875
42408239244,30.125,28.1875,10.3125
42408262474,13.3125,29.8125,11.5
42408283509,5.4375,31.8125,15.4375
42408299245,1.9375,36.25,13.5625
42408322427,10.25,40.6875,13.8125
42408343533,9.8125,41.75,19.9375
42408359898,2.4375,45.375,21.5625
42408382456,-7.3125,50.3125,22.3125
42408403509,-7.5625,54.5,26.75
42408427436,4.8125,55.6875,35.6875
42408442416,16.5,56.5,41.125
42408463496,15.75,54.875,43.4375
42408479224,21.8125,51.3125,45.4375
42408502385,30.4375,48.875,44.1875
42408523435,37.8125,46.625,38.375
42408539212,40.375,41.3125,33.375
42408562353,32,35.375,30.375
42408583594,20.9375,28.5625,32.4375
42408599302,3.6875,22.4375,33.8125
42408622475,-13.3125,15.75,31.5
42408643495,-11.8125,7.25,25.4375
42408659328,-2.6875,1.1875,21.875
42408682463,-3.875,-1.125,22.5625
42408703488,-9.875,-2.875,25.4375
42408719257,-17.375,-3.375,26.0625
42408742455,-12.75,-5,23.25
42408763538,-3.5,-8.3125,20.4375
42408779340,0.125,-8.4375,19.5
42408802525,-4.5625,-8.25,19.875
42408823502,-9.25,-8.4375,17.9375
42408839303,-8.4375,-9.625,14.8125
42408861816,-2.4375,-12.5625,14.125
42408883565,-3.5625,-13.3125,16.9375
42408899375,-11.75,-12.125,19.125
42408921712,-12.9375,-10.625,18.5625
42408943445,-6.25,-9.75,17.9375
42408959248,-0.8125,-9.6875,18.1875
42408981722,0.3125,-8.1875,14.625
42409003491,-1.375,-6.5,6.75
42409019304,-5.0625,-6.6875,-0.1875
42409041817,-2.5625,-8.4375,-4.125
42409064980,2.5625,-11.3125,-5.0625
42409079270,3.8125,-11.625,-5.125
42409101767,0.375,-8.375,-4.8125
42409124924,-0.75,-1.875,-3.5
42409139364,3.625,4.75,-2.3125
42409161768,12.125,8.625,-1.625
42409184990,20.1875,7.875,-2.6875
42409199218,23.4375,6.25,1.6875
42409221744,28.1875,2.3125,2.75
42409244856,21.0625,-0.6875,2.625
42409265958,5,-0.3125,1.6875
42409282394,-4.1875,0.6875,-0.8125
42409304984,-0.5,-0.5,-1.8125
42409326018,4.5625,-3.5,-1.25
42409350000,3.75,-6.125,-0.75
42409365049,0.3125,-8.125,1.625
42409379280,-3.25,-9.0625,4.1875
42409401786,-3.3125,-10.4375,4.5
42409424990,-2.5625,-11,1.875
42409439251,-4.0625,-8.9375,-0.5
42409461823,-6.5625,-5.4375,-0.25
42409485002,-4.8125,-3.4375,0.125
42409499342,-0.25,-3.375,0.3125
42409521742,3.9375,-2.6875,0.3125
42409544871,6.0625,-1,1.8125
42409565967,3.6875,0.625,2.1875
42409589905,2.5625,0.625,1.875
42409604955,3.3125,0.5625,1.1875
42409625786,0.8125,0.4375,1.3125
42409641863,-1,0.5625,1.375
42409664965,0.875,-0.125,1.5
42409686021,2.625,-1.0625,1.3125
42409701724,5.875,-2.125,1.1875
42409725105,8.125,-2.6875,2.9375
42409746107,4.5,-2.25,3.6875
42409761787,-3.6875,-1.125,2.1875
42409784357,-6.0625,-1.1875,-1.25
42409805999,-0.9375,-2.75,-3.125
42409821775,4.25,-3.1875,-2.3125
42409844267,6.6875,-1.875,0.3125
42409867400,4,0.0625,1.5625
42409881736,-0.5,-0.0625,0.3125
42409904269,-0.75,-1.6875,-0.9375
42409926018,1.75,-2.5625,-1
42409941869,-1,-0.8125,-1.8125
42409964303,-2.25,1.125,-2
42409987508,2.625,0.9375,-0.0625
42410001752,5.875,0.6875,1
42410024337,5.0625,0.375,0.375
42410047550,0.9375,0.0625,-1
42410061820,-0.5,-0.6875,-2
42410084392,0.5,-0.8125,-1.4375
42410107484,-1.25,-0.6875,-0.3125
42410121872,-3.125,-0.125,-0.4375
42410144290,-2.1875,0.4375,0.125
42410167483,-1,0.6875,0.5625
42410189932,-0.0625,0.25,1.0625
42410204255,0.6875,0.375,1.8125
42410227398,0.625,0.25,2.4375
42410241767,0.125,0.75,2.1875
42410272433,0.1875,1.3125,2
42410287426,0,1.4375,0.5
42410301746,2.5,2.125,-0.9375
42410324373,6.4375,2.3125,-1.25
42410347501,3.4375,2.875,0.125
42410361781,-0.3125,3.5,0.375
42410384324,3.4375,2.4375,0.5
42410407497,7.375,1.0625,0.875
42410422356,5.8125,0.4375,2.1875
42410444305,5.25,0.125,2.1875
42410467498,4.5,0.3125,1.25
42410488554,1.1875,0.3125,1.0625
42410504364,-0.375,0.25,1.75
42410527450,3,-0.5,2
42410548276,5.3125,-0.6875,2.125
42410564282,2.9375,-1.0625,1.375
42410587447,-1.125,-2.125,1.125
42410608489,-4.1875,-2,0.375
42410624345,-2.3125,-1.375,-1.875
42410647508,-4.125,-0.375,-3.0625
42410668551,-5.5625,0.125,-2.0625
42410684361,-3.3125,-0.1875,-1.125
42410707564,-0.9375,-1.125,-2.4375
42410728543,0.75,-0.5,-2.8125
42410744352,0.5,1.1875,-2.375
42410766779,-1,2.625,-2.1875
42410788601,0.4375,3.3125,-2.0625
42410804309,4.6875,3.5,-1.9375
42410826868,7.125,4.0625,-1.4375
42410848455,6.6875,5.375,-0.5625
42410864248,5.375,6.25,-0.6875
42410886757,6.6875,6.625,-1.75
42410908555,6.375,6.75,-2.4375
42410924365,3.1875,6,-2.625
42410946891,-6.75,3.6875,-3.3125
42410970029,-18.3125,1.1875,-6.5
42410984342,-29.5,-0.75,-9.1875
42411006863,-37.6875,-1.5,-9.1875
42411021840,-32.4375,-0.875,-6.25
42411043557,-17.1875,-1.1875,-4.3125
42411057872,-10.5,-2.3125,-2.5625
42411080500,-12.6875,-3.625,-2
42411103534,-17.9375,-4.3125,-1.375
42411117935,-18.0625,-5.5,-1.9375
42411140453,-13.9375,-5.875,-1
42411163556,-4.875,-5.5,-0.0625
42411177953,6.75,-4.625,1.6875
42411200490,13.875,-3.8125,3.0625
42411223605,12.4375,-2.75,3.4375
42411237963,6.25,-2,2.3125
42411260309,-1,-0.75,1.5625
42411283519,0.25,0.1875,1.375
42411297786,8.375,0.5,1.5
42411320354,14.375,0.5,1.75
42411343490,12.375,1,2.5
42411357866,8.9375,1.25,3
42411380364,10.0625,0.9375,3.3125
42411403483,13,0.5625,3.6875
42411417808,13.3125,0.0625,2.6875
42411440427,7.3125,0.6875,0.8125
42411463559,0.5625,1.5625,-0.9375
42411477971,-0.375,2.1875,-1.125
42411500483,5.5,2.0625,0.25
42411523650,10.75,1.625,2.1875
42411537948,11.1875,0.6875,1.9375
42411560390,9.75,-0.375,1.4375
42411583598,7.875,0,2.125
42411597913,4.625,1.25,2.9375
42411620452,4.25,1.75,2.625
42411643599,5.5,1.8125,1.625
42411657841,4.1875,1.4375,0
42411680402,1,1.25,0.0625
42411704928,-0.75,1.25,1.4375
42411717799,1.125,1.0625,3.1875
42411748490,5,0.5625,4.375
42411763538,7.875,0.6875,4.5
42411777856,8.5,1.0625,3.375
42411808573,7.875,1.1875,1.9375
42411823670,3.6875,0.5,0.125
42411837972,1,-0.125,-0.875
42411860488,0.125,0.1875,-0.5
42411882935,-0.3125,0.8125,0.3125
42411897943,0.25,0.875,0.375
42411920442,2.5625,-0.125,0.125
42411942881,5.0625,-1.1875,0.5625
42411957978,3.6875,-1,0.9375
42411980416,-0.625,0.0625,0.8125
42412002847,-2.375,1.3125,0.5
42412017838,-0.5625,1.1875,0
42412040380,1.875,0.3125,-0.1875
42412062845,3.25,-0.625,-0.0625
42412086067,0.5625,-0.75,0.5625
42412100500,-2.8125,-0.375,0.8125
42412125780,-2,-0.25,0.625
42412137909,0.125,-0.8125,0.625
42412168535,0.4375,-1.5625,0.8125
42412182921,-0.125,-1.9375,1.1875
42412197978,-1.625,-1.875,1.25
42412220428,-2.9375,-1.75,1.0625
42412242992,-2.4375,-1.8125,0.625
42412257845,-0.4375,-1.9375,0.375
42412280466,-0.0625,-1.9375,0.25
42412302929,-0.75,-1.625,-0.0625
42412317967,-1.375,-1.25,0.125
42412340411,-0.125,-1,0.125
42412364425,0.3125,-0.6875,-0.125
42412377996,0.625,-0.3125,-0.25
42412400412,1,-0.375,-0.4375
42412422878,0.6875,-0.4375,-0.1875
42412437877,0.0625,-0.4375,0.1875
42412460376,-0.3125,-0.5625,0
42412482856,-0.3125,-0.5625,0.25
42412497866,0.6875,-0.625,0.3125
42412520439,0.3125,-0.75,0.0625
42412542965,-0.375,-0.375,0.25
42412557969,-0.1875,-0.1875,0.25
42412580437,0.4375,-0.375,0.25
42412602976,0.5625,-0.375,0.25
42412617927,0.5,-0.1875,0.125
42412640449,0.3125,-0.0625,0.0625
42412662920,0.75,-0.3125,0.0625
42412679415,0.6875,-0.6875,0.1875
42412700472,-0.0625,-0.9375,-0.0625
42412722893,-0.5,-0.8125,-0.125
42412739296,-0.25,-0.5625,0
42412768670,0.3125,-0.4375,-0.4375
42412782843,0.625,-0.25,-0.4375
