myot,x,y,z
138368666303,-5.125,3,0.375
138368688991,-2.75,3.0625,1
138368704048,-2.5,3.3125,0.75
138368735201,-2.125,3.75,0.75
138368751478,0.125,4.1875,1.375
138368765326,0.3125,4.1875,1.6875
138368786646,0.9375,4.5625,1.1875
138368834176,1.5,5.125,1.6875
138368835019,2.4375,4.875,1.5
138368847265,3.125,5.3125,1.9375
138368870869,4.1875,5.0625,1.4375
138368892158,1.375,3.5,1.6875
138368907246,-0.75,2,1.6875
138368943806,-0.0625,0.625,1.9375
138368952374,-2,0.3125,2.6875
138368967771,-0.75,-0.75,3.125
138368988902,-1.5625,-1,3.4375
138369005338,-1.75,-0.75,3.4375
138369027806,-0.4375,-0.375,3.9375
138369048801,-0.625,-0.25,4.1875
138369065246,-0.0625,-0.0625,3.5625
138369087852,0.0625,-0.0625,3.8125
138369108894,0.125,0,4.0625
138369125315,0.125,0.4375,3.4375
138369147790,-0.375,1.375,2.75
138369168815,-0.25,1.0625,2.4375
138369185263,-0.5625,0.8125,1.4375
138369207809,0.1875,-0.1875,2.1875
138369228813,0.875,-1.625,1.875
138369245270,1,-2.5,2.125
138369267823,0.875,-3,1.5
138369288945,1.375,-3.75,1.5
138369305382,1.1875,-4.25,1.25
138369327764,2.625,-4.8125,1.75
138369348884,2.0625,-4.375,1.3125
138369365299,1.75,-3.8125,1.0625
138369387783,1.8125,-3.0625,0.6875
138369408813,1.0625,-2.125,0.5
138369425245,1.4375,-0.75,0.375
138369447755,1,0.1875,0.375
138369468818,0.5,0.6875,0.5625
138369485286,-0.75,1.25,0.125
138369507747,-0.9375,1.375,0.3125
138369528843,-1.0625,1.1875,0.125
138369545291,-1.5625,0.6875,0.375
138369567811,-2.4375,0.375,-0.3125
138369590306,-3.1875,0.375,-0.375
138369605301,-1.75,0.5,-0.5
138369627781,-2.375,0.75,-0.5625
138369650245,-1.9375,1.125,-1.25
138369665265,-1.75,1.375,-1.5625
138369687750,-1.3125,1.4375,-1.875
138369710239,-0.25,1,-1.9375
138369725247,0.4375,0.6875,-1.75
138369747730,1.125,0.6875,-2.25
138369770231,1.8125,0.875,-2.375
138369785232,2.3125,0.9375,-2.9375
138369807776,2,0.5,-2.875
138369830278,2.375,0.4375,-3
138369854256,1.875,0.4375,-2.75
138369867765,1.5625,0.25,-2.875
138369890245,0.8125,-0.1875,-2.5625
138369905254,0.25,-0.5,-2.5
138369927750,-0.25,-0.75,-2.25
138369950237,-1.5625,-0.9375,-2.4375
138369966747,-1.1875,-0.8125,-2.75
138369987798,-0.3125,-0.25,-2.875
138370010330,0.3125,0,-3.3125
138370026721,-0.125,0,-3.625
138370047134,0.6875,-0.0625,-3.625
138370069562,0.625,-0.8125,-2.9375
138370092047,0.9375,-1.6875,-2.125
138370107080,1.1875,-1.9375,-1.6875
138370129465,2.25,-2.375,-1
138370152019,1.25,-2.75,-1.0625
138370167003,1.5625,-2.9375,-1.0625
138370189503,2.75,-2.6875,-1.0625
138370212049,3.0625,-2.25,-1.125
138370226994,4.3125,-1.75,-0.6875
138370249519,4.8125,-1.8125,-0.25
138370272021,4.9375,-1.6875,-0.3125
138370287010,4.75,-1.875,0.75
138370309488,5,-1.9375,1.125
138370331995,4.75,-1.1875,1.6875
138370347055,5.8125,-1.125,2
138370369539,3.5,-0.3125,1.75
138370400162,1.375,0.25,1.25
138370407007,1.125,0.0625,1.0625
138370429465,-1.5,-0.1875,0.75
138370452001,-2.6875,-0.8125,1.5625
138370466989,-3,-1.3125,1.6875
138370489480,-5.4375,-1.6875,1.875
138370512089,-5.0625,-1.9375,2.1875
138370527010,-4.3125,-2.25,3.375
138370549539,-4.75,-2.4375,3.75
138370572104,-3.4375,-1.875,3.9375
138370587024,-3.375,-0.8125,3.6875
138370609614,-2,0.5,3.5625
138370625328,-0.5625,1.3125,3.625
138370647071,-0.1875,2.375,3.375
138370669569,1.1875,2.875,3.5
138370685332,0.625,3,3.3125
138370707076,0.3125,2.875,2.8125
138370729570,0,3,2.5625
138370745320,-0.1875,2.75,2.3125
138370768540,-0.625,2.1875,2
138370789563,-0.5625,2.0625,2.0625
138370805335,-0.4375,2.0625,1.9375
138370828538,0,2.0625,1.5625
138370849555,0.875,2.3125,1.375
138370865306,0.125,1.9375,1.0625
138370888425,0.0625,1.625,0.625
138370909554,-0.625,0.8125,0.625
138370925348,-0.125,0.6875,-0.5625
138370955987,-0.4375,1,-0.5625
138370969610,-0.1875,1.125,-1.1875
138370985326,-0.3125,1,-1.5
138371008440,-0.3125,1.0625,-2.125
138371029533,0.6875,1,-2.125
138371045307,1.3125,1.0625,-2.5
138371076499,0.75,0.8125,-2.6875
138371089578,0.8125,0.5625,-3
138371105374,0.5625,0.1875,-2.8125
138371128498,0.8125,-0.3125,-3
138371149499,0.1875,-0.8125,-2.5
138371165354,1,-0.9375,-2.375
138371188467,0.75,-1.0625,-2.125
138371209574,0.4375,-1.25,-1.9375
138371225316,0.625,-1.625,-1.625
138371248514,0.25,-1.9375,-1.625
138371269518,0.3125,-1.75,-1.4375
138371293556,0.125,-1.375,-1.5
138371308963,0.1875,-1.25,-1.75
138371329512,0.3125,-1.1875,-1.5625
138371345295,0.6875,-1.1875,-2.0625
138371368486,0.75,-0.6875,-2.125
138371389498,0.25,-0.875,-2.1875
138371405314,-0.375,-0.9375,-2.75
138371428503,-0.5,-0.875,-2.9375
138371457069,-1,-1.25,-2.3125
138371465370,-2.25,-1.875,-2.4375
138371487800,-1.1875,-1.75,-2.0625
138371509574,-1.1875,-1.875,-2.1875
138371525374,-2,-2.0625,-2.0625
138371547824,-0.875,-2.3125,-1
138371569477,0.1875,-2.25,-0.3125
138371585324,-0.3125,-1.875,0.75
138371607814,0.375,-1.8125,1.1875
138371629594,0.8125,-1.375,1.5625
138371645312,0.3125,-1,2
138371667855,0.375,-1.0625,2.125
138371691003,0.5,-0.1875,2.5
138371705383,0.125,0.125,2.25
138371727815,-0.25,0.8125,1.8125
138371750954,-0.5625,1.0625,2.5
138371765317,0.9375,0.6875,2.75
138371787915,-0.625,0.1875,3.0625
138371811009,-0.1875,-0.5625,3.1875
138371825324,-0.5625,-1,3.625
138371847842,-0.8125,-1.9375,3.8125
138371871067,-1.3125,-2.8125,3.875
138371885372,-2.3125,-3.6875,3.8125
138371907832,-3.125,-4.0625,3.75
138371931040,-3.1875,-3.5625,3.375
138371945336,-4,-2.8125,2.8125
138371967898,-4.375,-2,2.375
138371990988,-4.4375,-1.125,2.0625
138372005378,-4.6875,-0.6875,1.75
138372027828,-4.125,0.3125,1.4375
138372050935,0.4375,1.375,1.5625
138372065380,0,1.3125,1.1875
138372087863,-0.8125,1.1875,0.8125
138372111066,-0.25,1.375,0.5625
138372125420,0.125,1.0625,0.25
138372147877,-0.125,1.125,0.3125
138372170807,0.3125,1.375,-0.125
138372192147,0.5,1.375,-0.125
138372207874,-0.1875,1.375,-0.375
138372231013,0.375,1.6875,-0.5
138372252034,0.6875,2.125,-0.625
138372267823,0.5625,2.4375,-0.875
138372291063,1,2.6875,-1.0625
138372312067,1.125,2.8125,-0.9375
138372327806,1.1875,2.6875,-1.125
138372350952,0.875,2.625,-1.1875
138372372064,1.875,2.875,-1.0625
138372387926,3.1875,3,-0.75
138372410347,3.4375,2.875,-0.6875
