timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
138368835826,-4,1,1,2,0,-3,1,-3
138368835826,-4,-5,0,-1,2,-1,-3,-2
138368836606,-1,0,-5,-3,-2,-1,-3,-6
138368836606,-3,-2,5,0,-3,-4,3,4
138368839986,1,-2,0,3,-1,0,-2,-1
138368839986,0,0,0,2,-2,-4,2,-3
138368841590,0,-2,-2,-2,4,2,-6,1
138368841590,1,3,-4,1,-3,3,-3,0
138368847945,2,-2,-5,-3,1,0,-2,-3
138368847945,-3,2,1,6,-4,1,1,2
138368855136,1,1,-3,6,-1,-1,3,-4
138368855136,0,-2,-3,1,0,-2,-5,3
138368872920,-3,0,-2,2,-3,-2,-1,0
138368872920,1,-5,-1,0,0,2,0,7
138368876429,1,-3,2,2,-5,3,0,-2
138368876429,-2,1,-3,3,-3,2,-2,3
138368892936,-5,-2,2,-2,-2,-5,-6,-3
138368892936,1,-1,-8,-2,-4,-4,1,5
138368900127,-1,-2,4,0,-3,-2,-1,2
138368900127,-1,3,-2,3,-1,-4,2,-1
138368908020,1,0,1,-4,-5,0,-2,3
138368908020,0,1,0,2,-3,1,-5,-14
138368953178,1,-5,3,0,-2,-3,-1,-2
138368953178,-1,2,-1,-4,0,-1,-4,0
138368960129,-2,1,-4,-5,-3,1,-3,-1
138368960129,2,-4,1,-1,-1,-1,-2,-2
138368960954,-1,-1,-5,-4,2,0,-1,9
138368960954,-1,-1,1,1,-1,-3,0,-8
138368961633,4,-5,6,-8,5,-3,0,1
138368961633,-5,0,0,-1,2,-2,2,3
138368966964,4,-3,-2,-1,-6,1,2,-3
138368966964,0,-7,2,-3,0,-5,0,2
138368973817,3,0,-8,1,1,-2,0,3
138368973817,3,2,-2,1,-3,1,2,-2
138368981321,2,2,1,-5,0,3,-3,-2
138368981321,-4,0,-6,5,-1,6,-2,7
138368996227,-4,-2,-5,1,-12,-4,-1,0
138368996227,0,1,-1,1,-3,0,0,1
138369004486,4,-1,-1,-2,-2,-1,1,-3
138369004486,1,0,0,0,0,3,0,-2
138369011331,-5,-2,-6,3,-9,-1,0,-4
138369011331,0,-3,0,-6,-1,-1,-1,2
138369027025,-3,6,-8,2,0,-1,5,-6
138369027025,0,0,-2,0,-3,-1,0,-1
138369033797,-2,-3,2,-4,4,-2,-6,-4
138369033797,0,4,1,1,-1,-2,-2,-1
138369041325,-3,-4,2,-1,0,-1,-1,-5
138369041325,-1,3,-4,0,-1,-1,2,0
138369056289,-2,-2,-2,-2,-3,2,1,-2
138369056289,-1,-3,2,-5,-1,-6,-2,-3
138369064480,-3,-2,-2,2,1,2,-1,3
138369064480,-3,-1,3,3,5,-4,-4,-5
138369071326,3,-4,1,-7,8,-2,-2,-7
138369071326,1,-1,-3,2,-1,2,-4,0
138369087062,0,1,-3,3,-3,-2,1,0
138369087062,2,-8,-2,0,-8,-1,-2,0
138369093845,-3,3,-2,-1,1,4,-1,0
138369093845,2,-1,1,2,-2,3,0,-2
