timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
41618721910,-1,-2,-2,-2,-1,-9,-8,0
41618721910,1,-1,-1,-3,-1,-1,-1,3
41618723564,-2,-1,-1,-3,-2,0,-2,-3
41618723564,0,-1,-2,0,0,2,1,1
41618726991,-1,-1,0,0,0,0,2,0
41618726991,-2,-1,-4,-3,-1,-1,-2,-2
41618729846,0,-1,0,0,-1,-2,-2,1
41618729846,-2,0,0,0,0,-4,-3,-2
41618733407,0,0,-2,2,1,2,1,0
41618733407,-1,-1,0,0,-1,0,-1,0
41618744889,-1,1,-2,-1,-3,-3,0,0
41618744889,0,-2,0,-3,-1,-4,-2,-2
41618757767,2,-2,-2,-1,0,2,-1,-1
41618757767,-2,0,1,0,4,4,1,-3
41618763451,-1,-2,-2,0,-2,3,-1,2
41618763451,0,-1,-1,0,-3,-16,-3,-2
41618772174,-1,-2,-1,-3,-3,-1,-1,-1
41618772174,0,-1,-1,-3,-3,-3,0,-2
41618787196,-1,-3,-1,0,3,5,2,-2
41618787196,-1,-1,-1,-1,1,10,-1,0
41618793557,-1,-1,0,-2,-4,-5,-1,3
41618793557,-2,-2,-1,0,-4,-14,-3,1
41618832235,2,0,0,-1,1,1,0,1
41618832235,-2,-2,1,-1,0,0,-2,2
41618840274,1,-2,1,-1,5,3,-1,0
41618840274,0,0,-1,-1,-5,0,-1,-2
41618841094,-1,-1,-1,-1,-2,-1,-1,1
41618841094,1,-1,-2,-1,-3,-3,-1,-3
41618842667,-3,-2,0,-1,0,-2,0,-2
41618842667,-1,0,0,-1,0,-2,-3,-2
41618853291,-2,-1,-2,-1,-2,-1,-2,-2
41618853291,-1,1,-2,-1,-1,-1,0,0
41618862194,-2,-1,0,-1,-4,-1,-1,0
41618862194,-1,0,0,0,0,0,0,1
41618868268,-1,-2,1,-1,0,0,-1,-2
41618868268,1,0,-2,-1,0,0,-2,-1
41618883255,-2,-2,-1,-1,-2,-1,-1,-1
