myot,myox,myoy,myoz
1464753954,myox,myoy,myoz
138511969164,0.962891,0.0415039,0.124512
138511984127,0.967285,0.0683594,0.140625
138512005483,0.976074,0.0791016,0.164062
138512029179,0.977051,0.0732422,0.131836
138512044151,0.954102,0.0834961,0.134277
138512065602,0.961426,0.0805664,0.133301
138512103004,0.969727,0.0908203,0.134277
138512113602,0.955566,0.10791,0.144043
138512129377,0.944336,0.109863,0.155273
138512147950,0.952148,0.11377,0.152344
138512164347,0.955566,0.122559,0.150879
138512186903,0.949707,0.107422,0.161133
138512209128,0.958008,0.090332,0.149414
138512238433,0.963867,0.0913086,0.148926
138512248956,0.96582,0.102051,0.152832
138512268391,0.955566,0.0991211,0.14502
138512282782,0.970703,0.106445,0.157227
138512306002,0.979004,0.0981445,0.152832
138512328468,0.95459,0.0961914,0.152832
138512342820,0.960449,0.0908203,0.162109
138512365996,0.963379,0.0932617,0.158203
138512388471,0.94873,0.106934,0.157715
138512402817,0.960449,0.0913086,0.154785
138512425969,0.960449,0.0839844,0.151855
138512448577,0.956055,0.0986328,0.154297
138512462843,0.955078,0.107422,0.146484
138512486041,0.964355,0.117676,0.148438
138512508488,0.955566,0.102539,0.141113
138512522819,0.950195,0.106445,0.142578
138512546014,0.967773,0.0722656,0.155273
138512568471,0.989258,0.0410156,0.172363
138512582805,0.980957,0.0615234,0.164062
138512605311,0.955566,0.0874023,0.151855
138512628492,0.971191,0.0810547,0.149902
138512642784,0.966797,0.090332,0.154785
138512665282,0.953125,0.0898438,0.147461
138512688476,0.960938,0.102539,0.148438
138512702807,0.966309,0.100098,0.154297
138512725322,0.959473,0.0864258,0.157715
138512748506,0.95459,0.0986328,0.164062
138512762793,0.961426,0.0932617,0.166504
138512785249,0.952637,0.102539,0.161133
138512809899,0.966797,0.0976562,0.157227
138512822787,0.968262,0.0849609,0.172363
138512853469,0.962402,0.097168,0.156738
138512868488,0.978516,0.0927734,0.146973
138512884203,0.940918,0.116211,0.163086
138512905340,0.953613,0.128906,0.164062
138512928471,0.952148,0.130859,0.151855
138512944272,0.939941,0.139648,0.151367
138512965336,0.962402,0.127441,0.156738
138512988466,0.95166,0.122559,0.162598
138513004256,0.950684,0.123047,0.164062
138513025349,0.947266,0.11377,0.159668
138513048494,0.961914,0.113281,0.156738
138513064269,0.958008,0.112793,0.157715
138513085337,0.967285,0.112793,0.156738
138513109909,0.966309,0.100098,0.163086
138513124253,0.956055,0.11377,0.159668
138513153491,0.961426,0.106934,0.157227
138513169714,0.958984,0.116211,0.155762
138513184274,0.951172,0.118164,0.15918
138513205338,0.947266,0.123047,0.15918
138513227891,0.952148,0.110352,0.155762
138513245709,0.953125,0.118164,0.157715
138513265280,0.94043,0.133301,0.150879
138513287820,0.956543,0.11084,0.148438
138513304257,0.977539,0.0771484,0.15332
138513325390,0.975586,0.0786133,0.144043
138513347868,0.96582,0.0981445,0.130859
138513364318,0.960938,0.0913086,0.130859
138513388275,0.971191,0.0791016,0.143066
138513407867,0.982422,0.074707,0.155273
138513431817,0.964844,0.0737305,0.150391
138513453558,0.960449,0.0649414,0.167969
138513476073,0.97168,0.0991211,0.157715
138513484268,0.95752,0.0952148,0.15625
138513505378,0.970703,0.0737305,0.160645
138513527884,0.969238,0.0820312,0.151367
138513544303,0.959961,0.0888672,0.15625
