myot,x,y,z
150344672388,0.5,0.5625,-19.25,1464788133
150344679868,-2.0625,3.375,-17.6875,1464788133
150344702403,-2.9375,5.5,-14.125,1464788133
150344724848,-5.5625,6.3125,-11.875,1464788133
150344739891,-6.9375,6.5625,-9.875,1464788133
150344762479,-6.5,6.1875,-9.1875,1464788133
150344792406,-4.5625,5.8125,-8.5625,1464788133
150344799855,-4.125,5.5625,-7.75,1464788133
150344822478,-1.6875,5.8125,-6.4375,1464788133
150344844935,-1.3125,6.0625,-4.5,1464788133
150344859870,-2.5625,5.75,-3.5625,1464788133
150344883594,0.75,5.25,-0.75,1464788133
150344904905,6.125,3.5625,0.3125,1464788133
150344919930,8.6875,2.125,-0.6875,1464788133
150344942495,5.1875,1.625,-1.6875,1464788133
150344964957,1.375,1.1875,-1.6875,1464788133
150344979971,0.25,0.5625,-2.125,1464788133
150345002399,2.125,0.125,-2,1464788133
150345024913,0.625,-0.25,-1.875,1464788133
150345039907,-1,-0.75,-2.1875,1464788133
150345062429,-0.3125,-1,-1.875,1464788133
150345077368,-1.0625,-1.625,-1.9375,1464788133
150345099929,-0.75,-1.6875,-1.3125,1464788133
150345122395,-1.125,-1.625,-1.125,1464788133
150345137466,-2.125,-1.6875,-0.6875,1464788133
150345159904,-2.5,-1.3125,-0.1875,1464788133
150345182376,-2.6875,-1,0.375,1464788133
150345197451,-1,-0.6875,1.375,1464788133
150345219959,-1.875,-0.625,1.75,1464788133
150345242433,-1.4375,-0.625,2.25,1464788133
150345257333,-1,-0.6875,2.5,1464788133
150345279897,-1,-0.6875,3,1464788133
150345302333,-0.875,-0.625,3,1464788134
150345317411,-0.625,-0.625,3.375,1464788134
150345339851,-0.1875,-0.8125,3.4375,1464788134
150345362414,0.0625,-0.8125,3.6875,1464788134
150345377450,-0.375,-0.8125,3.375,1464788134
150345399930,-0.6875,-0.8125,3.4375,1464788134
150345422370,0.0625,-0.5625,3,1464788134
150345437411,-1.375,-0.1875,3.75,1464788134
150345459959,-2.5625,0.6875,4.5,1464788134
150345482331,-1.0625,1.4375,5,1464788134
150345497381,-1.0625,1.8125,5.5625,1464788134
150345519869,-2,1.75,5.1875,1464788134
150345542354,-0.625,1.875,5.25,1464788134
150345557443,-0.4375,1.8125,5.875,1464788134
150345579997,-1.375,1.5,5.875,1464788134
150345602438,-0.5,1.125,5.9375,1464788134
150345617408,-0.75,0.9375,5.5,1464788134
150345639992,-0.6875,0.5625,6,1464788134
150345662401,0.0625,0,5.875,1464788134
150345677414,-0.4375,-1.125,5.75,1464788134
150345699958,1.5625,-1.4375,5.4375,1464788134
150345722468,1.75,-3.625,5,1464788134
150345737482,4.8125,-4.6875,2.5,1464788134
150345759970,3.5,-6.1875,1.9375,1464788134
150345782369,2.6875,-7.375,0.3125,1464788134
150345797495,4.375,-8,0.375,1464788134
150345819965,4.4375,-8.4375,-0.125,1464788134
150345842463,4.3125,-7.8125,0.25,1464788134
150345857372,4.0625,-7,0.875,1464788134
150345879857,3.4375,-5.5,1.5625,1464788134
150345902439,3.5,-4.1875,1.9375,1464788134
150345917434,3.3125,-2.8125,2.3125,1464788134
150345939904,2.625,-1.875,3.375,1464788134
150345962418,1.875,-1.375,3.3125,1464788134
150345977433,2.875,-1.1875,3.125,1464788134
150345999931,2.4375,-0.9375,3.3125,1464788134
150346022416,1.625,-0.8125,3.0625,1464788134
150346037435,2.5,-0.5,3.0625,1464788134
150346059836,1.625,-0.375,3.125,1464788134
150346082422,1.25,-0.1875,2.75,1464788134
150346097483,1.8125,0.25,2.9375,1464788134
150346119968,0.5,0.5625,2.9375,1464788134
150346142443,0.5,1.0625,2.9375,1464788134
150346157511,0.625,1.875,3.0625,1464788134
150346179896,-1.125,2.9375,3.6875,1464788134
150346202453,-1.6875,3.5625,4,1464788134
150346217449,-0.9375,4.125,4.375,1464788134
150346239936,-1.5,4.4375,4.0625,1464788134
150346262473,-1,4.4375,4.1875,1464788134
150346277489,-0.9375,5.125,4.8125,1464788134
150346299894,-2.5,5.125,4.5625,1464788135
150346322451,-1.375,4.875,4.25,1464788135
150346337439,-1.3125,4.5625,3.8125,1464788135
150346359935,-0.75,3.875,3.3125,1464788135
150346382362,-0.5,3.4375,3.125,1464788135
150346397464,-1,2.5,2.375,1464788135
150346419939,0.0625,1.9375,1.9375,1464788135
150346442383,0.25,1.3125,1.75,1464788135
150346457407,-0.125,0.625,1.4375,1464788135
150346479921,-0.3125,0,0.625,1464788135
150346502451,1,-0.25,0.6875,1464788135
150346517432,0.1875,-0.375,0.5,1464788135
150346540046,0.125,-0.1875,0.4375,1464788135
150346562424,0.25,-0.0625,0.5625,1464788135
150346577376,0.3125,0,0.625,1464788135
150346599925,0.125,0,0.625,1464788135
150346622468,0,-0.125,0.4375,1464788135
150346637477,0.3125,-0.375,0.3125,1464788135
150346660007,0.4375,-0.3125,0.125,1464788135
150346682493,0.0625,-0.4375,0.125,1464788135
150346697470,0.1875,-0.4375,-0.125,1464788135
150346719982,0.4375,-0.5625,0,1464788135
150346742451,0.375,-0.625,-0.125,1464788135
150346757417,0.5,-0.5625,-0.0625,1464788135
150346780012,0.1875,-0.4375,0.125,1464788135
150346802373,0.375,-0.3125,0.0625,1464788135
150346817418,0.3125,-0.1875,0,1464788135
150346839971,0.125,-0.25,0,1464788135
150346862460,0.25,-0.25,0.0625,1464788135
150346877468,0.1875,-0.3125,0,1464788135
150346900019,0.0625,-0.3125,-0.0625,1464788135
150346922500,0.1875,-0.1875,-0.1875,1464788135
150346937403,0.375,-0.25,0.125,1464788135
150346959983,0.0625,-0.3125,0.125,1464788135
150346982455,0.375,-0.25,-0.0625,1464788135
150346997463,0.375,-0.5,-0.3125,1464788135
150347019983,0.5,-0.6875,-0.1875,1464788135
150347042510,0.5,-0.625,-0.375,1464788135
150347057405,0.5,-0.625,-0.25,1464788135
150347080035,0.125,-0.75,-0.4375,1464788135
150347102482,0.625,-0.8125,-0.5,1464788135
150347124975,0.5625,-0.625,-0.375,1464788135
150347139980,0.25,-0.75,-0.375,1464788135
150347162451,0.625,-0.6875,-0.5,1464788135
150347177461,0.75,-0.9375,-0.5625,1464788135
150347207502,0.875,-0.5625,-0.5,1464788135
150347222498,0.6875,-0.5,0,1464788135
150347237487,0.5,-0.125,0.125,1464788135
150347259884,0.25,0.375,0.5,1464788135
150347282522,-0.3125,0.625,0.75,1464788135
150347297519,0.375,0.625,0.75,1464788136
150347319992,0.8125,0.5625,0.75,1464788136
150347342411,-0.625,0.25,0.625,1464788136
150347357440,0.375,0.1875,0.4375,1464788136
150347380485,0.125,0.1875,0.5,1464788136
150347402477,-0.125,0.1875,0.625,1464788136
150347424903,-0.5625,0.25,0.6875,1464788136
150347439981,-0.25,0.0625,0.5625,1464788136
150347462475,-0.3125,-0.1875,0.5625,1464788136
150347477456,-0.0625,-0.3125,0.5,1464788136
150347499977,0.0625,-0.5,0.5,1464788136
150347522586,0,-0.625,0.25,1464788136
150347537480,-0.3125,-1,0.0625,1464788136
150347559979,-0.1875,-1.125,-0.0625,1464788136
150347582451,0.0625,-1.4375,-0.0625,1464788136
150347597439,-0.25,-1.875,0,1464788136
150347619957,0.375,-2.25,-0.8125,1464788136
150347642430,1,-2,-0.625,1464788136
150347657495,-0.1875,-2.3125,-0.5,1464788136
150347679921,0.5,-2.4375,-0.875,1464788136
150347702482,1.6875,-2.6875,-0.875,1464788136
150347717505,0.75,-2.625,-1.1875,1464788136
150347740007,1.0625,-2.25,-1,1464788136
150347762551,0.9375,-2.3125,-1.125,1464788136
150347777463,1.125,-2.5625,-1.125,1464788136
150347800471,0.9375,-2.625,-1.5,1464788136
150347822485,1.5625,-2.75,-1.0625,1464788136
150347837387,1.0625,-2.5,-1.3125,1464788136
150347859951,1.0625,-2.6875,-1.625,1464788136
150347882422,1.1875,-2.25,-1.375,1464788136
150347897460,0.9375,-1.875,-0.875,1464788136
150347920019,0.3125,-1.75,-0.875,1464788136
150347942460,0.9375,-1.6875,-1.0625,1464788136
150347957467,1.375,-1.625,-1.0625,1464788136
150347980044,0.8125,-1.5,-0.9375,1464788136
150348002492,1.125,-1.1875,-0.5625,1464788136
150348024942,0.5,-1.1875,-0.9375,1464788136
150348040000,0.5,-1.5625,-0.875,1464788136
150348062493,1.125,-1.625,-0.9375,1464788136
150348077368,0.875,-1.5625,-0.9375,1464788136
150348100007,1.625,-1.5,-0.5625,1464788136
150348122481,1.5625,-1.4375,-0.5625,1464788136
150348137458,3.875,-1.25,0,1464788136
150348159947,5.625,-1.3125,-0.625,1464788136
150348182486,4.1875,-1.625,-0.375,1464788136
150348197513,5.1875,-1.875,-1.375,1464788136
150348220056,2.875,-1.9375,-1.25,1464788136
150348242397,1.1875,-2.1875,-1.5,1464788136
150348272395,2.125,-1.9375,-1.4375,1464788136
150348279930,0.625,-1.6875,-1.3125,1464788136
150348302978,0.8125,-0.875,-0.75,1464788137
150348332454,-0.0625,0,-0.375,1464788137
150348339953,-0.5,0.625,0.125,1464788137
150348378229,-0.9375,1.1875,0.25,1464788137
150348379025,-1.4375,1.5625,0.4375,1464788137
150348399929,-2.0625,1.625,0.3125,1464788137
150348422502,-2.25,1.8125,0.375,1464788137
150348437430,-2.375,2.125,0.6875,1464788137
150348459948,-2.875,2.125,0.6875,1464788137
150348482469,-2.8125,2.375,0.9375,1464788137
150348497413,-2.625,2.625,1.0625,1464788137
150348519975,-2.5625,2.5,1.5625,1464788137
150348542542,-2.3125,2.375,1.3125,1464788137
150348557516,-1.5,2,1.3125,1464788137
150348579921,-1.4375,1.8125,1.1875,1464788137
150348602451,-1.5,1.75,1.125,1464788137
150348617502,-1.125,1.9375,1,1464788137
150348639985,-1.5,1.75,1.125,1464788137
150348662418,-0.9375,1.6875,1,1464788137
150348677547,-0.75,1.4375,0.875,1464788137
150348699965,-0.375,1.25,0.875,1464788137
150348730069,0.0625,1.1875,0.8125,1464788137
150348737520,0.3125,1,0.875,1464788137
150348759969,0.25,0.6875,0.8125,1464788137
150348782426,0.5,0.5,0.5625,1464788137
150348797417,0.8125,0.5625,0.6875,1464788137
150348820853,0.5,0.4375,0.75,1464788137
150348849966,0.875,0.5,0.6875,1464788137
150348857458,0.5,0.4375,0.75,1464788137
150348880086,0.625,0.4375,0.75,1464788137
150348902485,0.6875,0.4375,0.75,1464788137
150348917492,0.5,0.375,0.6875,1464788137
150348939965,0.5625,0.3125,0.625,1464788137
150348962427,0.25,0.3125,0.6875,1464788137
150348977533,0.375,0.5,0.75,1464788137
150349000043,0.25,0.5,0.8125,1464788137
150349022540,0.0625,0.5,0.75,1464788137
150349037480,-0.1875,0.5625,0.75,1464788137
150349060076,0.125,0.5,0.625,1464788137
150349082506,0,0.375,0.8125,1464788137
150349097516,-0.0625,0.25,0.5,1464788137
150349127466,0.1875,0.25,0.6875,1464788137
150349142508,-0.0625,0.0625,0.4375,1464788137
150349157444,0.1875,0.25,0.5,1464788137
150349179985,0.1875,0.125,0.5625,1464788137
150349202545,-0.1875,0,0.5,1464788137
150349217570,0.125,0.25,0.3125,1464788137
150349240061,-0.125,0.1875,0.625,1464788137
150349262531,0.0625,0.125,0.5,1464788137
150349277510,0.0625,0.1875,0.5,1464788137
150349299988,-0.5,0.125,0.3125,1464788138
150349322456,-0.1875,0.125,0.25,1464788138
150349337513,-0.3125,0.125,0.25,1464788138
150349360095,-0.1875,0.125,0.1875,1464788138
150349382520,0,-0.0625,0.25,1464788138
150349397509,-0.125,0.0625,0.1875,1464788138
150349420042,-0.1875,0.0625,0.0625,1464788138
150349442525,-0.125,0.25,0.1875,1464788138
150349457515,-0.25,0.1875,0.3125,1464788138
150349479980,-0.1875,0.3125,0.375,1464788138
150349502440,-0.3125,0.3125,0.375,1464788138
150349517484,-0.0625,0.25,0.4375,1464788138
150349540034,-0.0625,0.25,0.375,1464788138
150349562489,0.25,0,0.4375,1464788138
150349577484,-0.0625,0,0.25,1464788138
150349600033,0.25,0.0625,0.1875,1464788138
150349622533,0.5,0,0.375,1464788138
150349637567,0.125,0.125,0.5,1464788138
150349659967,0.5,0.0625,0.5625,1464788138
150349682986,0.3125,0.125,0.5625,1464788138
150349697574,0.3125,0.0625,0.5,1464788138
150349720010,0.625,-0.0625,0.375,1464788138
150349742546,0.375,-0.0625,0.3125,1464788138
150349757548,0.5625,0,0.25,1464788138
150349780055,0.3125,0.0625,0.3125,1464788138
150349802567,0.5,0,0.3125,1464788138
150349817530,0.5,-0.0625,0.3125,1464788138
150349840479,0,0,0.3125,1464788138
150349862531,0.5,-0.125,0.25,1464788138
150349877519,0.375,0.125,0.375,1464788138
150349899927,0.1875,0.0625,0.4375,1464788138
150349922532,0.375,0.125,0.4375,1464788138
150349937500,0.125,0.125,0.375,1464788138
150349960055,-0.1875,0.375,0.625,1464788138
150349982562,-0.0625,0.5625,0.6875,1464788138
150349997527,-0.1875,0.625,0.8125,1464788138
150350020406,-0.4375,0.875,0.8125,1464788138
150350042513,-0.375,1.1875,1.25,1464788138
150350057585,-0.4375,1.375,1.5,1464788138
150350080105,-1,1.5,1.8125,1464788138
150350102551,-0.9375,1.1875,1.25,1464788138
150350117421,-0.3125,0.5,1.0625,1464788138
150350140035,0,-0.0625,0.8125,1464788138
150350162427,0,-0.375,0.5,1464788138
150350177446,0.25,-0.5,0.5625,1464788138
150350200029,0.25,-0.5,0.3125,1464788138
150350222526,0.3125,-0.5,0.375,1464788138
150350237524,0.5,-0.625,0.4375,1464788138
150350260025,0.4375,-0.6875,0.3125,1464788138
150350282507,0.6875,-0.5625,0.3125,1464788138
150350297458,0.375,-0.5,0.125,1464788139
150350320112,0.3125,-0.4375,0.25,1464788139
150350342503,0.625,-0.25,0.375,1464788139
150350357456,0.25,-0.125,0.5,1464788139
150350380104,0.3125,-0.1875,0.375,1464788139
150350402560,0.5,-0.1875,0.4375,1464788139
150350417551,0.4375,-0.3125,0.4375,1464788139
150350440095,0.25,-0.3125,0.375,1464788139
150350462561,0.5625,-0.1875,0.4375,1464788139
150350477546,0.4375,-0.3125,0.4375,1464788139
150350500034,0.6875,-0.375,0.5,1464788139
150350522508,0.625,-0.4375,0.25,1464788139
150350537499,0.875,-0.3125,0.4375,1464788139
150350560011,0.8125,-0.25,0.5,1464788139
150350582587,0.5,-0.1875,0.5,1464788139
150350597535,0.5,0,0.5625,1464788139
150350620059,0.4375,-0.125,0.5625,1464788139
150350642533,0.4375,-0.0625,0.5,1464788139
150350657442,0.3125,-0.1875,0.625,1464788139
150350680055,0.3125,-0.1875,0.4375,1464788139
150350702569,0.125,-0.1875,0.5,1464788139
