myot,x,y,z
152168708798,1.5625,1.3125,-1.625,1464789957339
152168730128,1.625,1.25,-1.1875,1464789957360
152168745145,1.3125,1.375,-0.6875,1464789957375
152168768825,0.9375,1.4375,-0.4375,1464789957399
152168790217,0.4375,1.5625,-0.0625,1464789957420
152168805220,-0.3125,1.625,-0.0625,1464789957435
152168844464,-0.1875,1.75,0,1464789957474
152168852123,-0.375,1.625,-0.125,1464789957482
152168865128,-0.3125,1.625,-0.375,1464789957495
152168889484,-0.75,1.5625,-0.3125,1464789957519
152168910854,-1.125,1.625,0,1464789957541
152168925224,-1.1875,1.625,-0.1875,1464789957555
152168963160,-1.625,1.375,0.0625,1464789957593
152168971948,-1.1875,1,0,1464789957602
152168986370,-0.75,0.8125,-0.25,1464789957616
152169007490,0.25,0.8125,-1.3125,1464789957637
152169038107,0.0625,-0.125,-0.25,1464789957668
152169046393,-0.3125,0.0625,-0.625,1464789957676
152169067505,-0.375,0.0625,-0.6875,1464789957697
152169090654,-0.25,-0.125,-0.75,1464789957720
152169106421,0.0625,-0.25,-0.75,1464789957736
152169127474,0,-0.1875,-0.6875,1464789957757
152169150651,0,-0.1875,-0.5625,1464789957780
152169166431,0.5,-0.0625,-0.1875,1464789957796
152169187500,0,0,0.125,1464789957817
152169210676,0.125,0.0625,0.375,1464789957840
152169226419,-0.125,0.25,0.4375,1464789957856
152169255637,0.25,0.1875,0.6875,1464789957885
152169270688,0.3125,0.3125,0.6875,1464789957900
152169286432,0.5,0.125,1,1464789957916
152169307492,0.3125,0.1875,1.25,1464789957937
152169330638,0.375,0.0625,1.3125,1464789957960
152169346431,0.125,0.5,1.5,1464789957976
152169367488,0.375,0.375,1.5,1464789957997
152169390599,0.0625,0.5,1.8125,1464789958020
152169406384,-0.1875,0.5,2.25,1464789958036
152169427449,-0.0625,1,2.625,1464789958057
152169449942,-0.25,0.8125,3.3125,1464789958080
152169466434,0,1.25,4.0625,1464789958096
152169487485,0.5625,1.375,4.625,1464789958117
152169510025,0.625,1.5,5.5,1464789958140
152169526421,0.5625,1.375,6.1875,1464789958156
152169547472,0.125,1.3125,6.6875,1464789958177
152169569974,0.1875,1.0625,6.875,1464789958200
152169586386,0.25,0.8125,6.4375,1464789958216
152169607615,0.4375,0.75,5.75,1464789958237
152169630014,0.875,0.8125,5.1875,1464789958260
152169646510,-0.75,-0.375,4.1875,1464789958276
152169667476,-0.5,-0.1875,2.9375,1464789958297
152169689957,0,-0.375,2.1875,1464789958320
152169706401,0.6875,-0.9375,1.6875,1464789958336
152169727467,0.125,-0.9375,1.8125,1464789958357
152169750006,0.5,-0.8125,1.9375,1464789958380
152169766440,1,-0.8125,2.125,1464789958396
152169789576,0.1875,-0.875,2.125,1464789958419
152169809980,1,-0.875,2.3125,1464789958440
152169826430,0.125,-1.375,2.4375,1464789958456
152169848887,0.75,-1.5,2.25,1464789958479
152169869983,1.0625,-1.5625,2.125,1464789958500
152169886412,0.625,-1.375,1.9375,1464789958516
152169908924,-0.75,-1.375,1,1464789958539
152169930017,-0.75,-1.75,0.375,1464789958560
152169946420,-1,-1.4375,-0.5625,1464789958576
152169968950,-0.125,-1.75,-0.5625,1464789958599
152169990007,0.4375,-2.125,-1.125,1464789958620
152170006425,0.625,-1.9375,-0.875,1464789958636
152170028918,-0.0625,-1.625,-0.875,1464789958659
152170049933,0.25,-1.5625,-0.6875,1464789958680
152170066503,0.4375,-1.5,-0.3125,1464789958696
152170088952,-0.4375,-1.375,-0.3125,1464789958719
152170110042,-0.125,-1.4375,-0.3125,1464789958740
152170126458,0.3125,-1.3125,-0.1875,1464789958756
152170148988,0.6875,-1.3125,0.125,1464789958779
152170170185,0.75,-1.125,0.5625,1464789958800
152170186436,0.25,-1,0.9375,1464789958816
152170208947,0.3125,-1,1.125,1464789958839
152170230079,0.75,-1.125,1.3125,1464789958860
152170246481,0.4375,-1.1875,1.4375,1464789958876
152170269038,1.5625,-1.4375,1.75,1464789958899
152170290149,2.25,-1,2.125,1464789958920
152170306530,2.125,-0.9375,2.3125,1464789958936
