timestamp,x,y,z,w
42694460345,0.684509,0.046936,0.707336,-0.1698
42694482958,0.684509,0.046936,0.707336,-0.1698
42694506624,0.684509,0.046936,0.707336,-0.1698
42694521654,0.684509,0.0469971,0.707336,-0.169739
42694543081,0.684509,0.0469971,0.707336,-0.169739
42694566673,0.684509,0.0469971,0.707397,-0.169739
42694620815,0.684448,0.0469971,0.707397,-0.169739
42694621459,0.684448,0.0469971,0.707397,-0.169739
42694628765,0.684448,0.0469971,0.707397,-0.169739
42694642440,0.684448,0.0470581,0.707458,-0.169739
42694663666,0.684448,0.0470581,0.707458,-0.169739
42694687281,0.684448,0.0470581,0.707397,-0.169739
42694731079,0.684448,0.0470581,0.707458,-0.169739
42694731896,0.684448,0.0470581,0.707458,-0.169739
42694745362,0.684509,0.0470581,0.707336,-0.1698
42694761772,0.684631,0.0471191,0.707214,-0.1698
42694784248,0.684875,0.0471802,0.706909,-0.169922
42694805280,0.685181,0.0473022,0.706604,-0.170166
42694821784,0.685425,0.0474243,0.70636,-0.170166
42694844264,0.685669,0.0475464,0.706055,-0.170227
42694865256,0.685974,0.0476685,0.70575,-0.170288
42694881696,0.686218,0.0479126,0.705505,-0.170349
42694904200,0.686523,0.0479736,0.7052,-0.170288
42694925281,0.686523,0.0480957,0.705139,-0.170471
42694948434,0.686584,0.0484619,0.705017,-0.170776
42694964194,0.686584,0.0488892,0.704895,-0.171021
42694993753,0.685547,0.0494995,0.705688,-0.171936
42695003181,0.683655,0.0507812,0.706909,-0.173828
42695024192,0.681274,0.0530396,0.708435,-0.17627
42695045302,0.679688,0.0551147,0.709412,-0.177734
42695069905,0.679077,0.0563354,0.709839,-0.177979
42695084274,0.679382,0.0568848,0.709656,-0.177429
42695105482,0.679871,0.057251,0.709167,-0.177429
42695121751,0.680847,0.0580444,0.70813,-0.177551
42695144905,0.682251,0.0585938,0.706787,-0.177307
42695165327,0.684082,0.0588379,0.7052,-0.176636
42695181726,0.686218,0.0593262,0.703369,-0.175354
42695204254,0.68866,0.0597534,0.701355,-0.173889
42695225343,0.690796,0.0605469,0.699524,-0.172485
42695241033,0.693542,0.0617065,0.697144,-0.170654
42695264321,0.696899,0.062439,0.694214,-0.168579
42695286185,0.701477,0.0637817,0.690125,-0.166016
42695301158,0.706543,0.06604,0.685425,-0.162903
42695323472,0.711304,0.0701294,0.68103,-0.158752
42695345952,0.707397,0.0824585,0.684143,-0.157104
42695360659,0.705017,0.0776978,0.689331,-0.147217
42695383448,0.705505,0.0740356,0.691162,-0.137817
42695405930,0.708374,0.0714722,0.690247,-0.128601
42695420928,0.713501,0.069519,0.686768,-0.119934
42695443910,0.720642,0.067749,0.680481,-0.113892
42695474111,0.725281,0.0649414,0.675964,-0.113159
42695480924,0.726501,0.0635376,0.6745,-0.114807
42695503593,0.725281,0.0609741,0.675598,-0.117126
42695525978,0.721741,0.0578003,0.678955,-0.121521
42695540909,0.714844,0.053894,0.685425,-0.127258
42695563476,0.704651,0.0500488,0.694885,-0.134155
42695585988,0.690063,0.0460205,0.708374,-0.140808
42695602365,0.675659,0.0414429,0.721558,-0.144958
42695639117,0.658447,0.0344849,0.737427,-0.146423
42695654147,0.639343,0.0257568,0.754395,-0.146484
42695661368,0.619202,0.0171509,0.770996,-0.147583
42695683467,0.598083,0.010437,0.786987,-0.15094
42695705936,0.576416,0.00561523,0.801758,-0.157288
42695721832,0.553711,0.00354004,0.815613,-0.167664
42695743027,0.530212,0.00476074,0.82843,-0.180115
42695766129,0.507812,0.00836182,0.839172,-0.194214
42695780401,0.486328,0.0132446,0.848816,-0.206848
42695802851,0.467468,0.0180664,0.856812,-0.216675
42695834138,0.460571,0.0219727,0.858582,-0.223999
42695840317,0.458862,0.0227661,0.857971,-0.229614
42695862834,0.465759,0.0224609,0.85376,-0.231384
42695886626,0.481079,0.0216064,0.84552,-0.230469
42695901742,0.501831,0.0204468,0.834595,-0.226257
42695922767,0.513062,0.0194702,0.828857,-0.221985
42695945939,0.513245,0.0112915,0.828918,-0.221985
42695968441,0.528931,0.0336914,0.81842,-0.221863
42695982786,0.54425,0.0406494,0.806702,-0.226379
42696014126,0.561523,0.0424805,0.793701,-0.229858
42696020255,0.573853,0.0515137,0.781494,-0.239136
42696042755,0.584229,0.057312,0.771301,-0.245789
