myoTS,myox,myoy,myoz
1449674362,myox,myoy,myoz
265078176112,0.592285,0.653809,0.530273
265078198690,0.514648,0.712891,0.467285
265078213631,0.483887,0.673828,0.458496
265078237872,0.427734,0.644043,0.472656
265078258642,0.407715,0.630371,0.385254
265078273616,0.380371,0.681641,0.373047
265078297292,0.345703,0.754395,0.32373
265078327342,0.411621,0.749512,0.345215
265078338635,0.456055,0.719238,0.383301
265078357945,0.446777,0.690918,0.409668
265078379302,0.446289,0.668457,0.406738
265078394283,0.452637,0.691895,0.369629
265078417244,0.486816,0.746094,0.356934
265078445968,0.524902,0.797363,0.361816
265078458587,0.524902,0.790039,0.380371
265078476786,0.527832,0.726562,0.408691
265078499223,0.52002,0.671875,0.456055
265078514299,0.498535,0.680176,0.454102
265078536822,0.510742,0.722656,0.425781
265078559266,0.53418,0.78125,0.404297
265078574173,0.553223,0.777832,0.416992
265078596810,0.577148,0.757812,0.424316
265078619336,0.571289,0.740723,0.437012
265078634334,0.555664,0.782227,0.454102
265078656677,0.51709,0.822266,0.450195
265078679303,0.483887,0.824707,0.435059
265078693625,0.46582,0.823242,0.413086
265078716605,0.428223,0.83252,0.423828
265078739134,0.379395,0.866699,0.446777
265078753589,0.352051,0.896484,0.463379
265078776745,0.32666,0.898926,0.450684
265078799276,0.338867,0.906738,0.452637
265078813476,0.32666,0.929199,0.453125
265078836751,0.324707,0.904785,0.452637
265078859301,0.296875,0.889648,0.461914
265078873527,0.274414,0.844238,0.494141
265078896801,0.260254,0.845703,0.526367
265078919279,0.27832,0.855469,0.5
265078933522,0.35791,0.869629,0.472656
265078956663,0.353516,0.826172,0.489746
265078979225,0.337402,0.754395,0.490723
265078993600,0.336914,0.74707,0.501465
265079016787,0.355469,0.817871,0.487793
265079039144,0.401367,0.869629,0.459961
265079053620,0.391113,0.817871,0.492676
265079076778,0.36377,0.734375,0.532715
265079099107,0.382812,0.704102,0.532715
265079113420,0.42041,0.742188,0.543457
265079136633,0.439453,0.810547,0.513672
265079159137,0.44873,0.842285,0.521484
265079173462,0.434082,0.801758,0.552734
265079196634,0.413574,0.709473,0.640625
265079219095,0.417969,0.678711,0.636719
265079233457,0.437988,0.73584,0.572754
265079256585,0.421387,0.817383,0.513672
265079279138,0.355469,0.796387,0.551758
265079293617,0.273438,0.677734,0.630371
265079316747,0.241699,0.612793,0.665527
265079339131,0.22998,0.605957,0.670898
265079353494,0.246582,0.629883,0.648926
265079376802,0.236816,0.641113,0.666992
265079399321,0.211426,0.599121,0.702637
265079413491,0.234863,0.536621,0.716797
265079436285,0.291992,0.509277,0.725098
265079458681,0.269531,0.474609,0.754395
265079473507,0.229004,0.495605,0.75
265079496132,0.208008,0.523926,0.760254
265079518492,0.202148,0.544922,0.763672
265079533436,0.177246,0.525391,0.792969
265079556083,0.12793,0.456543,0.822754
265079578720,0.0986328,0.408691,0.826172
265079593537,0.110352,0.4375,0.824707
265079616029,0.162109,0.544922,0.811523
265079638474,0.203125,0.567383,0.820801
265079653425,0.236328,0.535156,0.869141
265079676012,0.225098,0.518066,0.912109
265079698482,0.161133,0.589844,0.94873
265079713400,0.124512,0.760254,1.01758
265079735969,0.11377,0.787109,1.07031
265079758618,0.125977,0.625,1.13574
265079773530,0.146973,0.489746,1.15381
265079796098,0.119141,0.513672,1.12012
265079818687,0.0507812,0.555664,1.05957
265079834945,0.0629883,0.515625,0.96582
265079856028,0.119141,0.410156,0.895508
265079878678,0.111816,0.300781,0.880371
265079893562,0.187012,0.23877,0.82959
265079916280,0.177246,0.226562,0.699707
265079938513,-0.281738,0.249023,0.700195
265079954933,-0.433105,0.523926,0.642578
265079975952,-0.250977,0.77002,0.734375
265079998472,0.050293,0.696777,0.859375
265080014936,0.233398,0.42627,0.890625
265080035915,0.303223,0.205566,0.872559
265080058625,0.438965,0.179688,0.855957
265080074948,0.402832,0.26709,0.804199
265080096209,0.333496,0.323242,0.75293
265080118687,0.457031,0.355469,0.765625
265080134972,0.353027,0.236816,0.736816
265080156024,0.35498,0.126953,0.838867
