myot,myox,myoy,myoz,myost
myot,myox,myoy,myoz,myost
152168708798,0.980957,-0.0327148,0.0332031,1464789957339
152168730128,0.980957,-0.0283203,0.0239258,1464789957360
152168745145,0.978516,-0.0341797,0.0273438,1464789957375
152168768825,0.978027,-0.0336914,0.0249023,1464789957399
152168790217,0.979492,-0.0341797,0.0297852,1464789957420
152168805220,0.979492,-0.0361328,0.0268555,1464789957435
152168844464,0.979492,-0.0341797,0.0307617,1464789957474
152168852123,0.980957,-0.0322266,0.03125,1464789957482
152168865128,0.980957,-0.0302734,0.03125,1464789957495
152168889484,0.977051,-0.0283203,0.0317383,1464789957519
152168910854,0.971191,-0.0366211,0.0327148,1464789957541
152168925224,0.972168,-0.034668,0.0317383,1464789957555
152168963160,0.97998,-0.0341797,0.0395508,1464789957593
152168971948,0.976562,-0.0361328,0.0410156,1464789957602
152168986370,0.977051,-0.0356445,0.0424805,1464789957616
152169007490,0.965332,-0.019043,0.0429688,1464789957637
152169038107,0.974121,-0.0395508,0.0361328,1464789957668
152169046393,0.977539,-0.0302734,0.0327148,1464789957676
152169067505,0.977051,-0.0327148,0.0385742,1464789957697
152169090654,0.977051,-0.0351562,0.0390625,1464789957720
152169106421,0.980957,-0.0327148,0.03125,1464789957736
152169127474,0.978516,-0.0302734,0.0371094,1464789957757
152169150651,0.977051,-0.0317383,0.0317383,1464789957780
152169166431,0.976562,-0.0307617,0.0356445,1464789957796
152169187500,0.977539,-0.0288086,0.034668,1464789957817
152169210676,0.979004,-0.0297852,0.0375977,1464789957840
152169226419,0.975098,-0.0332031,0.0380859,1464789957856
152169255637,0.976074,-0.0302734,0.0380859,1464789957885
152169270688,0.979492,-0.0327148,0.0405273,1464789957900
152169286432,0.979492,-0.0268555,0.0400391,1464789957916
152169307492,0.978027,-0.0307617,0.0371094,1464789957937
152169330638,0.981934,-0.034668,0.0332031,1464789957960
152169346431,0.977539,-0.0380859,0.0478516,1464789957976
152169367488,0.976074,-0.0297852,0.0429688,1464789957997
152169390599,0.974609,-0.034668,0.0395508,1464789958020
152169406384,0.979492,-0.0322266,0.0356445,1464789958036
152169427449,0.977539,-0.0297852,0.0341797,1464789958057
152169449942,0.974609,-0.0302734,0.0371094,1464789958080
152169466434,0.970703,-0.0371094,0.0351562,1464789958096
152169487485,0.974121,-0.0380859,0.0366211,1464789958117
152169510025,0.979004,-0.0395508,0.0273438,1464789958140
152169526421,0.978027,-0.0380859,0.0385742,1464789958156
152169547472,0.983887,-0.0424805,0.0478516,1464789958177
152169569974,0.979004,-0.0473633,0.0478516,1464789958200
152169586386,0.977539,-0.0532227,0.0493164,1464789958216
152169607615,0.980957,-0.0639648,0.0517578,1464789958237
152169630014,0.977539,-0.0512695,0.0595703,1464789958260
152169646510,0.979004,-0.0615234,0.0507812,1464789958276
152169667476,0.972656,-0.0610352,0.0405273,1464789958297
152169689957,0.975586,-0.0654297,0.0405273,1464789958320
152169706401,0.980469,-0.0537109,0.0439453,1464789958336
152169727467,0.977539,-0.059082,0.0424805,1464789958357
152169750006,0.976074,-0.0610352,0.0449219,1464789958380
152169766440,0.974121,-0.0546875,0.0385742,1464789958396
152169789576,0.975586,-0.0634766,0.0390625,1464789958419
152169809980,0.979492,-0.0551758,0.0405273,1464789958440
152169826430,0.972656,-0.0625,0.0371094,1464789958456
152169848887,0.975586,-0.0610352,0.0419922,1464789958479
152169869983,0.975586,-0.0654297,0.0410156,1464789958500
152169886412,0.97998,-0.0664062,0.0478516,1464789958516
152169908924,0.975098,-0.0644531,0.0463867,1464789958539
152169930017,0.979492,-0.0688477,0.0366211,1464789958560
152169946420,0.976562,-0.0698242,0.0385742,1464789958576
152169968950,0.973145,-0.0673828,0.043457,1464789958599
152169990007,0.979492,-0.0600586,0.0375977,1464789958620
152170006425,0.976562,-0.0600586,0.0341797,1464789958636
152170028918,0.976074,-0.0551758,0.0327148,1464789958659
152170049933,0.974609,-0.0600586,0.0375977,1464789958680
152170066503,0.976074,-0.0566406,0.0322266,1464789958696
152170088952,0.972656,-0.0654297,0.03125,1464789958719
152170110042,0.975586,-0.0600586,0.0371094,1464789958740
152170126458,0.976562,-0.0610352,0.0390625,1464789958756
152170148988,0.978516,-0.0595703,0.03125,1464789958779
152170170185,0.976562,-0.0576172,0.0375977,1464789958800
152170186436,0.977539,-0.0600586,0.0336914,1464789958816
152170208947,0.975586,-0.059082,0.027832,1464789958839
152170230079,0.978516,-0.0571289,0.0297852,1464789958860
152170246481,0.977051,-0.0615234,0.0366211,1464789958876
152170269038,0.979004,-0.0600586,0.0322266,1464789958899
152170290149,0.976074,-0.0620117,0.0322266,1464789958920
152170306530,0.979004,-0.0629883,0.0341797,1464789958936
152170328996,0.986328,-0.0693359,0.0371094,1464789958959
152170350058,0.981445,-0.0595703,0.0361328,1464789958980
152170366482,0.974609,-0.0683594,0.0244141,1464789958996
152170388985,0.975098,-0.0683594,0.0302734,1464789959019
152170409993,0.975098,-0.065918,0.0297852,1464789959040
152170426528,0.978027,-0.0634766,0.0283203,1464789959056
152170448962,0.976562,-0.0620117,0.0327148,1464789959079
152170469987,0.977051,-0.0610352,0.0263672,1464789959100
152170486473,0.976562,-0.0649414,0.0244141,1464789959116
152170509004,0.980957,-0.0644531,0.0288086,1464789959139
152170530035,0.975098,-0.0620117,0.0288086,1464789959160
152170546442,0.978516,-0.0629883,0.0268555,1464789959176
152170568960,0.982422,-0.0751953,0.0317383,1464789959199
152170590033,0.975586,-0.0634766,0.0249023,1464789959220
152170605745,0.979004,-0.0639648,0.03125,1464789959235
152170628213,0.978516,-0.0629883,0.0288086,1464789959258
152170650678,0.983887,-0.0654297,0.0336914,1464789959280
152170665638,0.975586,-0.0668945,0.0283203,1464789959295
152170688184,0.976562,-0.0664062,0.0288086,1464789959318
152170710768,0.973145,-0.0698242,0.0273438,1464789959340
152170725732,0.977051,-0.0717773,0.0239258,1464789959355
152170748152,0.981445,-0.0683594,0.0273438,1464789959378
152170770750,0.974121,-0.0717773,0.034668,1464789959400
152170787112,0.979004,-0.0673828,0.0258789,1464789959417
152170808169,0.984863,-0.0693359,0.03125,1464789959438
152170830725,0.979492,-0.0717773,0.03125,1464789959460
152170847117,0.977051,-0.0683594,0.0263672,1464789959477
152170868229,0.977051,-0.0717773,0.0302734,1464789959498
152170890675,0.983398,-0.074707,0.0292969,1464789959520
152170907196,0.977051,-0.0678711,0.0273438,1464789959537
152170928202,0.978027,-0.0727539,0.0332031,1464789959558
152170952151,0.97998,-0.0712891,0.0219727,1464789959582
152170967132,0.97998,-0.0664062,0.0209961,1464789959597
152170988184,0.977539,-0.0712891,0.0268555,1464789959618
152171010673,0.977539,-0.0703125,0.0283203,1464789959640
152171027099,0.979004,-0.0708008,0.0273438,1464789959657
152171048199,0.978516,-0.0708008,0.0307617,1464789959678
152171070619,0.980957,-0.0737305,0.0253906,1464789959700
152171087114,0.977539,-0.0712891,0.0292969,1464789959717
152171108185,0.978516,-0.0727539,0.0166016,1464789959738
152171130721,0.973145,-0.0722656,0.0229492,1464789959760
152171147110,0.977539,-0.0717773,0.0283203,1464789959777
152171168153,0.977539,-0.0708008,0.0239258,1464789959798
152171190647,0.979004,-0.0751953,0.0244141,1464789959820
152171207092,0.975586,-0.0727539,0.0297852,1464789959837
152171229674,0.979492,-0.0751953,0.0234375,1464789959859
152171250718,0.977539,-0.074707,0.0249023,1464789959880
152171267143,0.977051,-0.0708008,0.0273438,1464789959897
152171288168,0.976562,-0.0668945,0.0249023,1464789959918
152171310865,0.979492,-0.0732422,0.0302734,1464789959940
152171327169,0.978516,-0.0737305,0.0224609,1464789959957
152171348182,0.975098,-0.0712891,0.0307617,1464789959978
152171370729,0.979004,-0.0722656,0.0258789,1464789960000
152171387151,0.979492,-0.0751953,0.0258789,1464789960017
152171408138,0.978027,-0.0737305,0.0317383,1464789960038
152171430763,0.976562,-0.0703125,0.0283203,1464789960060
152171447153,0.977539,-0.0727539,0.0288086,1464789960077
152171468236,0.980957,-0.0683594,0.0327148,1464789960098
