timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
11699469568,1,0,-2,-2,-1,-4,-2,-2
11699469568,-4,0,1,4,-5,0,-1,2
11699473823,0,-5,-2,-1,-1,-1,-1,-1
11699473823,-8,-7,-3,-2,12,1,-3,-5
11699474540,2,2,-2,1,-11,1,1,-3
11699474540,5,13,2,3,4,0,1,1
11699476137,0,2,-1,-5,-1,-6,-3,-2
11699476137,0,0,0,-3,-1,0,-1,-2
11699488287,-10,-9,-1,3,0,-1,-1,0
11699488287,-1,-2,1,-7,-5,5,2,-2
11699489927,-1,0,-2,2,0,-4,-3,0
11699489927,-1,-3,-1,2,-2,4,1,0
11699502809,-1,-1,-3,-3,3,-1,0,0
11699502809,2,-3,-2,-3,-5,-9,-2,-2
11699510829,-1,1,2,10,4,10,-1,-1
11699510829,0,-1,3,-1,-4,-2,1,1
11699517742,0,2,1,2,-4,-4,-4,1
11699517742,-2,-5,-2,0,19,5,1,0
11699541985,-3,-2,-1,-2,-16,-6,1,-1
11699541985,1,2,-3,-1,8,5,-3,-1
11699544091,2,-1,-2,-5,-1,-7,1,0
11699544091,-2,0,-4,-1,2,0,-2,-3
11699555532,0,0,-4,-5,-1,-1,0,1
11699555532,2,2,3,3,-4,0,-2,-1
11699596102,-2,-1,-1,-2,1,-3,1,-1
11699596102,2,0,-1,-4,-1,-4,-3,-1
11699596920,-5,-2,-1,1,-1,1,0,-4
11699596920,-4,-1,-3,0,-3,0,0,1
11699600759,1,-1,-1,-3,1,-5,-3,-2
11699600759,0,-2,1,3,-1,5,1,-1
11699601514,-1,1,-3,-3,-7,3,1,1
11699601514,2,-3,-3,-3,4,-9,-3,-1
11699606754,0,2,0,-1,0,0,-2,0
11699606754,-4,-3,1,1,5,-3,1,0
11699614255,1,0,-2,-2,-5,-5,-4,-3
11699614255,2,-1,-2,-2,-9,6,-1,-2
11699629438,-2,-1,-3,2,2,-8,0,0
11699629438,-1,0,-1,0,5,2,0,0
11699636972,-1,-1,-1,-2,3,-3,-1,-1
11699636972,-1,-1,-2,-2,-2,3,0,-1
11699645740,-3,-2,-2,3,-8,3,-2,-2
11699645740,0,0,-1,-1,3,-3,-2,-3
11699668104,-1,-1,3,-1,1,-5,0,0
11699668104,-3,-2,-3,-3,-2,-2,-1,-3
11699669673,-2,-1,1,-1,-1,2,0,-2
11699669673,-1,-2,-3,-2,-1,-2,-2,-1
11699681760,-1,0,-2,0,-5,3,-3,-1
11699681760,0,1,3,2,1,-8,1,-2
11699690736,1,-3,-1,-2,3,2,-1,-1
11699690736,-1,0,-2,-2,-10,-1,0,-2
11699705570,-1,-3,-1,1,-3,-3,-2,-1
11699705570,1,0,1,0,0,-3,-5,0
11699707156,0,0,-4,-2,2,-1,-1,-1
11699707156,-2,1,-3,2,0,5,-1,-2
11699728090,1,-1,-2,-2,3,-4,-2,0
11699728090,1,-1,1,-2,2,5,-1,-2
11699729693,-1,0,-1,-1,-6,-3,0,0
11699729693,0,0,1,-1,3,0,0,-1
11699741710,-1,-2,-1,1,9,-4,1,-2
11699741710,-1,-2,-1,3,-4,2,0,1
11699750705,0,-3,-2,-1,3,2,-2,-1
11699750705,1,0,5,2,1,4,0,0
11699765569,-2,-1,-2,-1,4,-6,0,-1
11699765569,-2,3,0,1,-9,-2,-1,1
11699767178,0,-4,-3,-1,1,2,-1,-1
11699767178,0,-3,-3,-1,-5,-5,-2,1
11699788105,1,-1,-1,-1,0,2,-1,-2
11699788105,1,-3,-1,-2,5,-1,-2,0
11699789698,-5,2,1,-1,-3,-10,-2,-3
11699789698,-3,-3,-2,-4,-3,3,-2,0
11699801698,-1,0,-2,0,-5,0,-2,-1
11699801698,-2,-2,-3,0,8,4,0,-1
11699810740,0,-1,0,1,-1,0,0,0
11699810740,-1,0,-3,-4,0,-8,-2,-1
11699825582,-2,-2,1,1,-4,-1,0,-1
11699825582,-1,-1,-2,1,-3,-1,0,-2
11699827177,-1,0,-1,1,4,3,2,0
11699827177,-2,-1,-1,-3,-2,0,-1,1
11699848136,0,0,0,2,0,0,-2,0
11699848136,-2,1,-2,-3,-1,-6,-2,-2
11699849642,-3,-1,-4,-3,6,-2,-3,-3
11699849642,1,-1,2,5,-13,0,1,-3
11699861782,-2,1,1,-2,2,6,1,1
11699861782,-1,-1,0,-1,-8,-10,-2,-2
11699876766,-1,-3,-2,-2,3,9,0,-2
11699876766,0,-2,-4,-1,0,-3,-1,-2
