timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
42138219126,0,3,-1,-2,-1,0,0,0
42138219126,0,2,4,1,-1,-1,-1,0
42138219897,-5,-6,-5,-1,-2,-5,-4,-5
42138219897,-1,-5,-5,-2,0,1,1,-1
42138220678,0,-5,-5,-1,1,-2,1,2
42138220678,2,3,0,-2,1,-1,-4,-1
42138221470,0,-8,-5,-1,10,18,2,-1
42138221470,0,2,0,-4,-6,-3,-1,-1
42138232162,-3,-1,0,-1,1,0,-1,-1
42138232162,-3,-2,-2,-1,4,-2,1,0
42138240800,-1,2,1,-2,-8,-4,-1,0
42138240800,1,-1,0,2,4,-1,-5,0
42138248603,0,-2,0,1,2,-2,-1,0
42138248603,0,-4,-1,-1,-7,-3,-2,0
42138262849,-1,1,-1,-2,-7,-3,-2,1
42138262849,-3,-3,-3,-2,-3,-1,-2,-3
42138270815,-3,-4,-5,-5,-6,0,-1,-3
42138270815,-2,-3,-1,0,0,-2,-2,-2
42138277302,3,3,3,0,0,-10,-2,0
42138277302,1,1,-1,2,5,1,0,0
42138292321,0,-3,-2,0,1,1,0,-1
42138292321,-2,-4,-5,-5,-3,8,2,-1
42138300698,0,0,0,2,5,-3,0,0
42138300698,-2,0,0,-4,-6,-4,-3,0
42138340441,0,-1,-1,0,8,-1,-1,-1
42138340441,-2,-2,0,-1,-5,-1,-1,-2
42138341137,0,2,3,3,-2,-1,-1,-1
42138341137,-2,2,-1,-3,-6,2,-1,-2
42138341961,-2,1,-2,-1,-3,-1,-2,-1
42138341961,1,-2,-3,-2,-2,2,2,0
42138345145,-2,-1,-1,0,3,1,-1,0
42138345145,0,-3,-2,-1,1,4,2,1
42138352030,-1,-2,-2,-1,-4,1,-1,-2
42138352030,-2,-1,-1,-1,-3,-6,-5,-1
42138359498,-3,-1,-2,-1,4,-5,0,-1
42138359498,-3,-2,-3,1,0,-2,-1,-1
42138368380,-1,-1,0,-2,0,1,1,0
42138368380,0,-2,-1,-1,-1,0,1,0
42138382592,1,-1,-1,-4,-5,-2,-1,-2
42138382592,-1,-1,1,0,1,-1,-1,0
42138389497,1,-1,-2,-1,1,8,0,-1
42138389497,-1,-1,-3,-1,2,-15,1,0
42138397074,-1,-2,-2,-2,-6,1,-3,-3
42138397074,-1,-3,0,-2,1,-1,-1,-1
42138411953,2,-3,1,0,-4,-1,0,0
42138411953,1,2,2,1,10,2,-1,0
42138419412,-1,0,0,-1,-3,3,-1,1
42138419412,-2,-1,-2,1,-3,-3,-1,-2
42138428507,-2,-3,-1,1,-3,2,3,1
42138428507,-5,1,-5,-2,0,0,-3,-2
42138442732,-2,2,2,1,7,0,1,0
42138442732,-1,0,-1,-2,-4,-4,-4,-2
42138449404,-2,1,-1,-2,-1,-2,-1,-2
42138449404,-1,-4,-2,-1,-5,-1,0,-2
42138456950,1,-2,-3,-1,-3,2,0,1
42138456950,0,-1,-2,-1,1,1,-1,-1
42138471959,-2,-2,-1,-1,0,-5,-3,-4
42138471959,-3,-3,-1,-1,-3,3,-1,0
42138479467,-1,4,3,1,-1,-8,-2,-1
42138479467,-1,2,7,2,-4,-5,-2,-2
